Check failed for (fp128): x = -6.276902121872406890448361479792446694e+00; diff = 1.534725424433578570403982422997363957e-33; -999/1000
Check failed for (fp128): x = -3.487167845484670494693534155440248506e+00; diff = 6.740754805355325485695922799047245615e-34; -555/1000
Check failed for (fp128): x = -3.480884660177490908216608868673688835e+00; diff = 1.925929944387235853055977942584927319e-34; -554/1000
Check failed for (fp128): x = -3.468318289563131735262758295140571033e+00; diff = 7.703719777548943412223911770339709274e-34; -552/1000
Check failed for (fp128): x = -3.462035104255952148785833008374012132e+00; diff = 1.925929944387235853055977942584927319e-34; -551/1000
Check failed for (fp128): x = -3.455751918948772562308907721607453231e+00; diff = 1.925929944387235853055977942584927319e-34; -550/1000
Check failed for (fp128): x = -3.449468733641592975831982434840893945e+00; diff = 4.814824860968089632639944856462318296e-34; -549/1000
Check failed for (fp128): x = -3.443185548334413389355057148074335044e+00; diff = 3.851859888774471706111955885169854637e-34; -548/1000
Check failed for (fp128): x = -3.436902363027233802878131861307776144e+00; diff = 2.888894916580853779583966913877390978e-34; -547/1000
Check failed for (fp128): x = -3.430619177720054216401206574541217243e+00; diff = 4.814824860968089632639944856462318296e-34; -546/1000
Check failed for (fp128): x = -3.424335992412874629924281287774658342e+00; diff = 1.925929944387235853055977942584927319e-34; -545/1000
Check failed for (fp128): x = -3.418052807105695043447356001008098671e+00; diff = 5.777789833161707559167933827754781956e-34; -544/1000
Check failed for (fp128): x = -3.405486436491335870493505427474980869e+00; diff = 3.851859888774471706111955885169854637e-34; -542/1000
Check failed for (fp128): x = -3.399203251184156284016580140708421968e+00; diff = 4.814824860968089632639944856462318296e-34; -541/1000
Check failed for (fp128): x = -3.386636880569797111062729567175303781e+00; diff = 3.851859888774471706111955885169854637e-34; -539/1000
Check failed for (fp128): x = -3.380353695262617524585804280408744881e+00; diff = 6.740754805355325485695922799047245615e-34; -538/1000
Check failed for (fp128): x = -3.374070509955437938108878993642185980e+00; diff = 2.888894916580853779583966913877390978e-34; -537/1000
Check failed for (fp128): x = -3.367787324648258351631953706875627079e+00; diff = 1.059261469412979719180787868421710025e-33; -536/1000
Check failed for (fp128): x = -3.361504139341078765155028420109068178e+00; diff = 3.851859888774471706111955885169854637e-34; -535/1000
Check failed for (fp128): x = -3.355220954033899178678103133342509277e+00; diff = 7.703719777548943412223911770339709274e-34; -534/1000
Check failed for (fp128): x = -3.348937768726719592201177846575949606e+00; diff = 8.666684749742561338751900741632172933e-34; -533/1000
Check failed for (fp128): x = -3.342654583419540005724252559809390705e+00; diff = 3.851859888774471706111955885169854637e-34; -532/1000
Check failed for (fp128): x = -3.336371398112360419247327273042832190e+00; diff = 1.925929944387235853055977942584927319e-34; -531/1000
Check failed for (fp128): x = -3.330088212805180832770401986276273289e+00; diff = 5.777789833161707559167933827754781956e-34; -530/1000
Check failed for (fp128): x = -3.317521842190821659816551412743154717e+00; diff = 1.059261469412979719180787868421710025e-33; -528/1000
Check failed for (fp128): x = -3.311238656883642073339626125976595816e+00; diff = 5.777789833161707559167933827754781956e-34; -527/1000
Check failed for (fp128): x = -3.304955471576462486862700839210036915e+00; diff = 1.155557966632341511833586765550956391e-33; -526/1000
Check failed for (fp128): x = -3.298672286269282900385775552443478014e+00; diff = 5.777789833161707559167933827754781956e-34; -525/1000
Check failed for (fp128): x = -3.292389100962103313908850265676919114e+00; diff = 4.814824860968089632639944856462318296e-34; -524/1000
Check failed for (fp128): x = -3.286105915654923727431924978910359828e+00; diff = 5.777789833161707559167933827754781956e-34; -523/1000
Check failed for (fp128): x = -3.279822730347744140954999692143800927e+00; diff = 5.777789833161707559167933827754781956e-34; -522/1000
Check failed for (fp128): x = -3.267256359733384968001149118610683125e+00; diff = 6.740754805355325485695922799047245615e-34; -520/1000
Check failed for (fp128): x = -3.260973174426205381524223831844124224e+00; diff = 5.777789833161707559167933827754781956e-34; -519/1000
Check failed for (fp128): x = -3.254689989119025795047298545077564553e+00; diff = 1.348150961071065097139184559809449123e-33; -518/1000
Check failed for (fp128): x = -3.242123618504666622093447971544446751e+00; diff = 1.540743955509788682444782354067941855e-33; -516/1000
Check failed for (fp128): x = -3.235840433197487035616522684777887851e+00; diff = 1.925929944387235853055977942584927319e-34; -515/1000
Check failed for (fp128): x = -3.229557247890307449139597398011328950e+00; diff = 1.444447458290426889791983456938695489e-33; -514/1000
Check failed for (fp128): x = -3.223274062583127862662672111244769664e+00; diff = 1.155557966632341511833586765550956391e-33; -513/1000
Check failed for (fp128): x = -3.216990877275948276185746824478210763e+00; diff = 4.333342374871280669375950370816086467e-34; -512/1000
Check failed for (fp128): x = -3.210707691968768689708821537711651862e+00; diff = 1.155557966632341511833586765550956391e-33; -511/1000
Check failed for (fp128): x = -3.204424506661589103231896250945092961e+00; diff = 4.333342374871280669375950370816086467e-34; -510/1000
Check failed for (fp128): x = -3.198141321354409516754970964178534060e+00; diff = 4.814824860968089632639944856462318296e-34; -509/1000
Check failed for (fp128): x = -3.191858136047229930278045677411975160e+00; diff = 3.370377402677662742847961399523622807e-34; -508/1000
Check failed for (fp128): x = -3.185574950740050343801120390645415488e+00; diff = 3.851859888774471706111955885169854637e-34; -507/1000
Check failed for (fp128): x = -3.179291765432870757324195103878856588e+00; diff = 3.611118645726067224479958642346738722e-34; -506/1000
Check failed for (fp128): x = -3.173008580125691170847269817112297687e+00; diff = 3.611118645726067224479958642346738722e-34; -505/1000
Check failed for (fp128): x = -3.166725394818511584370344530345738786e+00; diff = 3.129636159629258261215964156700506893e-34; -504/1000
Check failed for (fp128): x = -3.160442209511331997893419243579179885e+00; diff = 3.972230510298673946927954506581412594e-34; -503/1000
Check failed for (fp128): x = -3.129026282975434065508792809746384611e+00; diff = 4.212971753347078428559951749404528509e-34; -498/1000
Check failed for (fp128): x = -3.122743097668254479031867522979825710e+00; diff = 3.731489267250269465295957263758296680e-34; -497/1000
Check failed for (fp128): x = -3.116459912361074892554942236213266809e+00; diff = 3.851859888774471706111955885169854637e-34; -496/1000
Check failed for (fp128): x = -3.110176727053895306078016949446707908e+00; diff = 3.611118645726067224479958642346738722e-34; -495/1000
Check failed for (fp128): x = -3.103893541746715719601091662680149007e+00; diff = 3.370377402677662742847961399523622807e-34; -494/1000
Check failed for (fp128): x = -3.097610356439536133124166375913589721e+00; diff = 6.981496048403729967327920041870361530e-34; -493/1000
Check failed for (fp128): x = -3.091327171132356546647241089147030821e+00; diff = 6.259272319258516522431928313401013785e-34; -492/1000
Check failed for (fp128): x = -3.085043985825176960170315802380471920e+00; diff = 7.703719777548943412223911770339709274e-34; -491/1000
Check failed for (fp128): x = -3.078760800517997373693390515613912634e+00; diff = 4.333342374871280669375950370816086467e-34; -490/1000
Check failed for (fp128): x = -3.072477615210817787216465228847353733e+00; diff = 1.925929944387235853055977942584927319e-34; -489/1000
Check failed for (fp128): x = -3.053628059289279027785689368547676645e+00; diff = 1.925929944387235853055977942584927319e-34; -486/1000
Check failed for (fp128): x = -3.047344873982099441308764081781117744e+00; diff = 1.925929944387235853055977942584927319e-34; -485/1000
Check failed for (fp128): x = -3.034778503367740268354913508247999558e+00; diff = 5.777789833161707559167933827754781956e-34; -483/1000
Check failed for (fp128): x = -3.028495318060560681877988221481440657e+00; diff = 5.777789833161707559167933827754781956e-34; -482/1000
Check failed for (fp128): x = -3.015928947446201508924137647948322470e+00; diff = 9.629649721936179265279889712924636593e-34; -480/1000
Check failed for (fp128): x = -3.009645762139021922447212361181763569e+00; diff = 3.851859888774471706111955885169854637e-34; -479/1000
Check failed for (fp128): x = -3.003362576831842335970287074415204668e+00; diff = 1.925929944387235853055977942584927319e-34; -478/1000
Check failed for (fp128): x = -2.997079391524662749493361787648645767e+00; diff = 8.666684749742561338751900741632172933e-34; -477/1000
Check failed for (fp128): x = -2.990796206217483163016436500882086867e+00; diff = 7.703719777548943412223911770339709274e-34; -476/1000
Check failed for (fp128): x = -2.984513020910303576539511214115527581e+00; diff = 1.925929944387235853055977942584927319e-34; -475/1000
Check failed for (fp128): x = -2.978229835603123990062585927348968680e+00; diff = 5.777789833161707559167933827754781956e-34; -474/1000
Check failed for (fp128): x = -2.971946650295944403585660640582409779e+00; diff = 4.814824860968089632639944856462318296e-34; -473/1000
Check failed for (fp128): x = -2.965663464988764817108735353815850493e+00; diff = 2.888894916580853779583966913877390978e-34; -472/1000
Check failed for (fp128): x = -2.959380279681585230631810067049291592e+00; diff = 6.740754805355325485695922799047245615e-34; -471/1000
Check failed for (fp128): x = -2.953097094374405644154884780282732306e+00; diff = 2.888894916580853779583966913877390978e-34; -470/1000
Check failed for (fp128): x = -2.946813909067226057677959493516173405e+00; diff = 2.888894916580853779583966913877390978e-34; -469/1000
Check failed for (fp128): x = -2.940530723760046471201034206749614890e+00; diff = 2.888894916580853779583966913877390978e-34; -468/1000
Check failed for (fp128): x = -2.934247538452866884724108919983055604e+00; diff = 4.814824860968089632639944856462318296e-34; -467/1000
Check failed for (fp128): x = -2.927964353145687298247183633216496703e+00; diff = 1.925929944387235853055977942584927319e-34; -466/1000
Check failed for (fp128): x = -2.915397982531328125293333059683378516e+00; diff = 1.925929944387235853055977942584927319e-34; -464/1000
Check failed for (fp128): x = -2.909114797224148538816407772916819615e+00; diff = 9.629649721936179265279889712924636593e-34; -463/1000
Check failed for (fp128): x = -2.896548426609789365862557199383701428e+00; diff = 1.925929944387235853055977942584927319e-34; -461/1000
Check failed for (fp128): x = -2.890265241302609779385631912617142527e+00; diff = 6.740754805355325485695922799047245615e-34; -460/1000
Check failed for (fp128): x = -2.883982055995430192908706625850583627e+00; diff = 8.666684749742561338751900741632172933e-34; -459/1000
Check failed for (fp128): x = -2.877698870688250606431781339084024726e+00; diff = 7.703719777548943412223911770339709274e-34; -458/1000
Check failed for (fp128): x = -2.871415685381071019954856052317465440e+00; diff = 7.703719777548943412223911770339709274e-34; -457/1000
Check failed for (fp128): x = -2.858849314766711847001005478784347638e+00; diff = 3.851859888774471706111955885169854637e-34; -455/1000
Check failed for (fp128): x = -2.852566129459532260524080192017788352e+00; diff = 4.814824860968089632639944856462318296e-34; -454/1000
Check failed for (fp128): x = -2.839999758845173087570229618484670550e+00; diff = 1.925929944387235853055977942584927319e-34; -452/1000
Check failed for (fp128): x = -2.833716573537993501093304331718111650e+00; diff = 1.925929944387235853055977942584927319e-34; -451/1000
Check failed for (fp128): x = -2.827433388230813914616379044951552749e+00; diff = 3.851859888774471706111955885169854637e-34; -450/1000
Check failed for (fp128): x = -2.808583832309275155185603184651875661e+00; diff = 2.888894916580853779583966913877390978e-34; -447/1000
Check failed for (fp128): x = -2.802300647002095568708677897885316375e+00; diff = 2.888894916580853779583966913877390978e-34; -446/1000
Check failed for (fp128): x = -2.796017461694915982231752611118757474e+00; diff = 2.888894916580853779583966913877390978e-34; -445/1000
Check failed for (fp128): x = -2.783451091080556809277902037585639288e+00; diff = 2.888894916580853779583966913877390978e-34; -443/1000
Check failed for (fp128): x = -2.777167905773377222800976750819080387e+00; diff = 9.629649721936179265279889712924636593e-34; -442/1000
Check failed for (fp128): x = -2.764601535159018049847126177285962585e+00; diff = 6.740754805355325485695922799047245615e-34; -440/1000
Check failed for (fp128): x = -2.758318349851838463370200890519403684e+00; diff = 2.888894916580853779583966913877390978e-34; -439/1000
Check failed for (fp128): x = -2.745751979237479290416350316986285497e+00; diff = 3.851859888774471706111955885169854637e-34; -437/1000
Check failed for (fp128): x = -2.739468793930299703939425030219726211e+00; diff = 2.888894916580853779583966913877390978e-34; -436/1000
Check failed for (fp128): x = -2.733185608623120117462499743453167311e+00; diff = 2.888894916580853779583966913877390978e-34; -435/1000
Check failed for (fp128): x = -2.720619238008760944508649169920049509e+00; diff = 1.925929944387235853055977942584927319e-34; -433/1000
Check failed for (fp128): x = -2.708052867394401771554798596386931707e+00; diff = 8.666684749742561338751900741632172933e-34; -431/1000
Check failed for (fp128): x = -2.701769682087222185077873309620372421e+00; diff = 3.851859888774471706111955885169854637e-34; -430/1000
Check failed for (fp128): x = -2.695486496780042598600948022853813520e+00; diff = 1.348150961071065097139184559809449123e-33; -429/1000
Check failed for (fp128): x = -2.689203311472863012124022736087254234e+00; diff = 2.888894916580853779583966913877390978e-34; -428/1000
Check failed for (fp128): x = -2.682920126165683425647097449320695334e+00; diff = 3.851859888774471706111955885169854637e-34; -427/1000
Check failed for (fp128): x = -2.676636940858503839170172162554136433e+00; diff = 6.740754805355325485695922799047245615e-34; -426/1000
Check failed for (fp128): x = -2.657787384936965079739396302254459345e+00; diff = 1.059261469412979719180787868421710025e-33; -423/1000
Check failed for (fp128): x = -2.651504199629785493262471015487900444e+00; diff = 7.703719777548943412223911770339709274e-34; -422/1000
Check failed for (fp128): x = -2.645221014322605906785545728721341543e+00; diff = 2.888894916580853779583966913877390978e-34; -421/1000
Check failed for (fp128): x = -2.638937829015426320308620441954782257e+00; diff = 7.703719777548943412223911770339709274e-34; -420/1000
Check failed for (fp128): x = -2.632654643708246733831695155188223357e+00; diff = 7.703719777548943412223911770339709274e-34; -419/1000
Check failed for (fp128): x = -2.626371458401067147354769868421664456e+00; diff = 4.814824860968089632639944856462318296e-34; -418/1000
Check failed for (fp128): x = -2.613805087786707974400919294888546269e+00; diff = 2.407412430484044816319972428231159148e-34; -416/1000
Check failed for (fp128): x = -2.607521902479528387923994008121987368e+00; diff = 1.300002712461384200812785111244825940e-33; -415/1000
Check failed for (fp128): x = -2.601238717172348801447068721355428467e+00; diff = 3.370377402677662742847961399523622807e-34; -414/1000
Check failed for (fp128): x = -2.594955531865169214970143434588869566e+00; diff = 3.370377402677662742847961399523622807e-34; -413/1000
Check failed for (fp128): x = -2.588672346557989628493218147822310280e+00; diff = 7.222237291452134448959917284693477445e-34; -412/1000
Check failed for (fp128): x = -2.576105975943630455539367574289192094e+00; diff = 3.851859888774471706111955885169854637e-34; -410/1000
Check failed for (fp128): x = -2.563539605329271282585517000756074292e+00; diff = 3.851859888774471706111955885169854637e-34; -408/1000
Check failed for (fp128): x = -2.557256420022091696108591713989515006e+00; diff = 1.155557966632341511833586765550956391e-33; -407/1000
Check failed for (fp128): x = -2.544690049407732523154741140456397590e+00; diff = 4.574083617919685151007947613639202382e-34; -405/1000
Check failed for (fp128): x = -2.538406864100552936677815853689838304e+00; diff = 1.444447458290426889791983456938695489e-33; -404/1000
Check failed for (fp128): x = -2.525840493486193763723965280156720117e+00; diff = 4.694454239443887391823946235050760339e-34; -402/1000
Check failed for (fp128): x = -2.519557308179014177247039993390161216e+00; diff = 8.004646331359449014263908323868604168e-34; -401/1000
Check failed for (fp128): x = -2.513274122871834590770114706623602315e+00; diff = 6.357618968630366189502784524294731879e-34; -400/1000
Check failed for (fp128): x = -2.494424566950295831339338846323925227e+00; diff = 2.527783052008247057135971049642717106e-34; -397/1000
Check failed for (fp128): x = -2.475575011028757071908562986024248140e+00; diff = 4.814824860968089632639944856462318296e-34; -394/1000
Check failed for (fp128): x = -2.469291825721577485431637699257689239e+00; diff = 7.944461020597347893855909013162825189e-34; -393/1000
Check failed for (fp128): x = -2.463008640414397898954712412491130338e+00; diff = 6.259272319258516522431928313401013785e-34; -392/1000
Check failed for (fp128): x = -2.456725455107218312477787125724571052e+00; diff = 1.781485198558193164076779596891057770e-33; -391/1000
Check failed for (fp128): x = -2.450442269800038726000861838958012151e+00; diff = 6.259272319258516522431928313401013785e-34; -390/1000
Check failed for (fp128): x = -2.444159084492859139523936552191453250e+00; diff = 4.814824860968089632639944856462318296e-34; -389/1000
Check failed for (fp128): x = -2.437875899185679553047011265424894350e+00; diff = 1.925929944387235853055977942584927319e-34; -388/1000
Check failed for (fp128): x = -2.431592713878499966570085978658335449e+00; diff = 5.296307347064898595903939342108550126e-34; -387/1000
Check failed for (fp128): x = -2.425309528571320380093160691891776163e+00; diff = 1.059261469412979719180787868421710025e-33; -386/1000
Check failed for (fp128): x = -2.419026343264140793616235405125217262e+00; diff = 1.155557966632341511833586765550956391e-33; -385/1000
Check failed for (fp128): x = -2.412743157956961207139310118358657976e+00; diff = 2.888894916580853779583966913877390978e-34; -384/1000
Check failed for (fp128): x = -2.406459972649781620662384831592099075e+00; diff = 4.814824860968089632639944856462318296e-34; -383/1000
Check failed for (fp128): x = -2.400176787342602034185459544825540174e+00; diff = 7.703719777548943412223911770339709274e-34; -382/1000
Check failed for (fp128): x = -2.393893602035422447708534258058980888e+00; diff = 9.629649721936179265279889712924636593e-34; -381/1000
Check failed for (fp128): x = -2.387610416728242861231608971292421987e+00; diff = 5.777789833161707559167933827754781956e-34; -380/1000
Check failed for (fp128): x = -2.375044046113883688277758397759304186e+00; diff = 1.059261469412979719180787868421710025e-33; -378/1000
Check failed for (fp128): x = -2.362477675499524515323907824226185999e+00; diff = 1.925929944387235853055977942584927319e-34; -376/1000
Check failed for (fp128): x = -2.356194490192344928846982537459627098e+00; diff = 1.540743955509788682444782354067941855e-33; -375/1000
Check failed for (fp128): x = -2.349911304885165342370057250693068197e+00; diff = 7.703719777548943412223911770339709274e-34; -374/1000
Check failed for (fp128): x = -2.337344934270806169416206677159950010e+00; diff = 3.851859888774471706111955885169854637e-34; -372/1000
Check failed for (fp128): x = -2.331061748963626582939281390393391110e+00; diff = 2.888894916580853779583966913877390978e-34; -371/1000
Check failed for (fp128): x = -2.318495378349267409985430816860273308e+00; diff = 3.851859888774471706111955885169854637e-34; -369/1000
Check failed for (fp128): x = -2.312212193042087823508505530093714022e+00; diff = 8.666684749742561338751900741632172933e-34; -368/1000
Check failed for (fp128): x = -2.305929007734908237031580243327155121e+00; diff = 7.703719777548943412223911770339709274e-34; -367/1000
Check failed for (fp128): x = -2.299645822427728650554654956560596220e+00; diff = 2.888894916580853779583966913877390978e-34; -366/1000
Check failed for (fp128): x = -2.293362637120549064077729669794036934e+00; diff = 4.814824860968089632639944856462318296e-34; -365/1000
Check failed for (fp128): x = -2.280796266506189891123879096260918747e+00; diff = 2.888894916580853779583966913877390978e-34; -363/1000
Check failed for (fp128): x = -2.274513081199010304646953809494359847e+00; diff = 3.851859888774471706111955885169854637e-34; -362/1000
Check failed for (fp128): x = -2.268229895891830718170028522727800946e+00; diff = 5.777789833161707559167933827754781956e-34; -361/1000
Check failed for (fp128): x = -2.261946710584651131693103235961242045e+00; diff = 2.888894916580853779583966913877390978e-34; -360/1000
Check failed for (fp128): x = -2.255663525277471545216177949194683144e+00; diff = 2.888894916580853779583966913877390978e-34; -359/1000
Check failed for (fp128): x = -2.249380339970291958739252662428123858e+00; diff = 2.888894916580853779583966913877390978e-34; -358/1000
Check failed for (fp128): x = -2.230530784048753199308476802128446771e+00; diff = 1.925929944387235853055977942584927319e-34; -355/1000
Check failed for (fp128): x = -2.224247598741573612831551515361887870e+00; diff = 3.851859888774471706111955885169854637e-34; -354/1000
Check failed for (fp128): x = -2.217964413434394026354626228595328969e+00; diff = 1.925929944387235853055977942584927319e-34; -353/1000
Check failed for (fp128): x = -2.211681228127214439877700941828770068e+00; diff = 3.851859888774471706111955885169854637e-34; -352/1000
Check failed for (fp128): x = -2.205398042820034853400775655062211167e+00; diff = 2.888894916580853779583966913877390978e-34; -351/1000
Check failed for (fp128): x = -2.186548486898496093969999794762534080e+00; diff = 2.888894916580853779583966913877390978e-34; -348/1000
Check failed for (fp128): x = -2.167698930976957334539223934462856607e+00; diff = 2.888894916580853779583966913877390978e-34; -345/1000
Check failed for (fp128): x = -2.161415745669777748062298647696297706e+00; diff = 2.888894916580853779583966913877390978e-34; -344/1000
Check failed for (fp128): x = -2.129999819133879815677672213863502817e+00; diff = 2.888894916580853779583966913877390978e-34; -339/1000
Check failed for (fp128): x = -2.123716633826700229200746927096943916e+00; diff = 4.814824860968089632639944856462318296e-34; -338/1000
Check failed for (fp128): x = -2.104867077905161469769971066797266828e+00; diff = 2.888894916580853779583966913877390978e-34; -335/1000
Check failed for (fp128): x = -2.086017521983622710339195206497589740e+00; diff = 3.851859888774471706111955885169854637e-34; -332/1000
Check failed for (fp128): x = -2.073451151369263537385344632964471939e+00; diff = 6.740754805355325485695922799047245615e-34; -330/1000
Check failed for (fp128): x = -2.060884780754904364431494059431353752e+00; diff = 5.777789833161707559167933827754781956e-34; -328/1000
Check failed for (fp128): x = -2.048318410140545191477643485898235950e+00; diff = 1.925929944387235853055977942584927319e-34; -326/1000
Check failed for (fp128): x = -2.042035224833365605000718199131677049e+00; diff = 2.888894916580853779583966913877390978e-34; -325/1000
Check failed for (fp128): x = -2.029468854219006432046867625598558863e+00; diff = 1.925929944387235853055977942584927319e-34; -323/1000
Check failed for (fp128): x = -2.016902483604647259093017052065440676e+00; diff = 5.777789833161707559167933827754781956e-34; -321/1000
Check failed for (fp128): x = -2.010619298297467672616091765298881775e+00; diff = 4.814824860968089632639944856462318296e-34; -320/1000
Check failed for (fp128): x = -2.004336112990288086139166478532322489e+00; diff = 7.703719777548943412223911770339709274e-34; -319/1000
Check failed for (fp128): x = -1.991769742375928913185315904999204880e+00; diff = 2.888894916580853779583966913877390978e-34; -317/1000
Check failed for (fp128): x = -1.979203371761569740231465331466086693e+00; diff = 3.370377402677662742847961399523622807e-34; -315/1000
Check failed for (fp128): x = -1.966637001147210567277614757932968699e+00; diff = 3.370377402677662742847961399523622807e-34; -313/1000
Check failed for (fp128): x = -1.960353815840030980800689471166409798e+00; diff = 1.925929944387235853055977942584927319e-34; -312/1000
Check failed for (fp128): x = -1.954070630532851394323764184399850705e+00; diff = 4.814824860968089632639944856462318296e-34; -311/1000
Check failed for (fp128): x = -1.947787445225671807846838897633291804e+00; diff = 6.259272319258516522431928313401013785e-34; -310/1000
Check failed for (fp128): x = -1.941504259918492221369913610866732903e+00; diff = 2.407412430484044816319972428231159148e-34; -309/1000
Check failed for (fp128): x = -1.935221074611312634892988324100173617e+00; diff = 4.574083617919685151007947613639202382e-34; -308/1000
Check failed for (fp128): x = -1.928937889304133048416063037333614716e+00; diff = 8.185202263645752375487906255985941104e-34; -307/1000
Check failed for (fp128): x = -1.922654703996953461939137750567055815e+00; diff = 4.092601131822876187743953127992970552e-34; -306/1000
Check failed for (fp128): x = -1.910088333382594288985287177033937821e+00; diff = 2.648153673532449297951969671054275063e-34; -304/1000
Check failed for (fp128): x = -1.903805148075414702508361890267378535e+00; diff = 6.981496048403729967327920041870361530e-34; -303/1000
Check failed for (fp128): x = -1.897521962768235116031436603500819634e+00; diff = 6.740754805355325485695922799047245615e-34; -302/1000
Check failed for (fp128): x = -1.891238777461055529554511316734260733e+00; diff = 6.379642940782718763247926934812571743e-34; -301/1000
Check failed for (fp128): x = -1.878672406846696356600660743201142739e+00; diff = 1.925929944387235853055977942584927319e-34; -299/1000
Check failed for (fp128): x = -1.872389221539516770123735456434583453e+00; diff = 6.379642940782718763247926934812571743e-34; -298/1000
Check failed for (fp128): x = -1.866106036232337183646810169668024552e+00; diff = 4.092601131822876187743953127992970552e-34; -297/1000
Check failed for (fp128): x = -1.859822850925157597169884882901465844e+00; diff = 3.129636159629258261215964156700506893e-34; -296/1000
Check failed for (fp128): x = -1.847256480310798424216034309368347657e+00; diff = 1.925929944387235853055977942584927319e-34; -294/1000
Check failed for (fp128): x = -1.834690109696439251262183735835229663e+00; diff = 5.777789833161707559167933827754781956e-34; -292/1000
Check failed for (fp128): x = -1.828406924389259664785258449068670762e+00; diff = 5.296307347064898595903939342108550126e-34; -291/1000
Check failed for (fp128): x = -1.822123739082080078308333162302111476e+00; diff = 2.407412430484044816319972428231159148e-34; -290/1000
Check failed for (fp128): x = -1.815840553774900491831407875535552575e+00; diff = 1.925929944387235853055977942584927319e-34; -289/1000
Check failed for (fp128): x = -1.809557368467720905354482588768993675e+00; diff = 2.407412430484044816319972428231159148e-34; -288/1000
Check failed for (fp128): x = -1.803274183160541318877557302002434581e+00; diff = 6.740754805355325485695922799047245615e-34; -287/1000
Check failed for (fp128): x = -1.796990997853361732400632015235875680e+00; diff = 7.222237291452134448959917284693477445e-34; -286/1000
Check failed for (fp128): x = -1.790707812546182145923706728469316394e+00; diff = 3.370377402677662742847961399523622807e-34; -285/1000
Check failed for (fp128): x = -1.784424627239002559446781441702757493e+00; diff = 3.851859888774471706111955885169854637e-34; -284/1000
Check failed for (fp128): x = -1.778141441931822972969856154936198593e+00; diff = 2.888894916580853779583966913877390978e-34; -283/1000
Check failed for (fp128): x = -1.771858256624643386492930868169639499e+00; diff = 5.777789833161707559167933827754781956e-34; -282/1000
Check failed for (fp128): x = -1.765575071317463800016005581403080598e+00; diff = 4.814824860968089632639944856462318296e-34; -281/1000
Check failed for (fp128): x = -1.759291886010284213539080294636521698e+00; diff = 4.814824860968089632639944856462318296e-34; -280/1000
Check failed for (fp128): x = -1.740442330088745454108304434336844417e+00; diff = 1.925929944387235853055977942584927319e-34; -277/1000
Check failed for (fp128): x = -1.734159144781565867631379147570285516e+00; diff = 1.925929944387235853055977942584927319e-34; -276/1000
Check failed for (fp128): x = -1.727875959474386281154453860803726616e+00; diff = 1.925929944387235853055977942584927319e-34; -275/1000
Check failed for (fp128): x = -1.715309588860027108200603287270608621e+00; diff = 1.925929944387235853055977942584927319e-34; -273/1000
Check failed for (fp128): x = -1.702743218245667935246752713737490435e+00; diff = 1.925929944387235853055977942584927319e-34; -271/1000
Check failed for (fp128): x = -1.696460032938488348769827426970931534e+00; diff = 1.925929944387235853055977942584927319e-34; -270/1000
Check failed for (fp128): x = -1.690176847631308762292902140204372440e+00; diff = 1.925929944387235853055977942584927319e-34; -269/1000
Check failed for (fp128): x = -1.683893662324129175815976853437813540e+00; diff = 1.925929944387235853055977942584927319e-34; -268/1000
Check failed for (fp128): x = -1.665044106402590416385200993138136644e+00; diff = 2.888894916580853779583966913877390978e-34; -265/1000
Check failed for (fp128): x = -1.658760921095410829908275706371577358e+00; diff = 1.925929944387235853055977942584927319e-34; -264/1000
Check failed for (fp128): x = -1.652477735788231243431350419605018458e+00; diff = 1.925929944387235853055977942584927319e-34; -263/1000
Check failed for (fp128): x = -1.646194550481051656954425132838459557e+00; diff = 1.925929944387235853055977942584927319e-34; -262/1000
Check failed for (fp128): x = -1.627344994559512897523649272538782277e+00; diff = 2.888894916580853779583966913877390978e-34; -259/1000
Check failed for (fp128): x = -1.621061809252333311046723985772223376e+00; diff = 1.925929944387235853055977942584927319e-34; -258/1000
Check failed for (fp128): x = -1.614778623945153724569798699005664475e+00; diff = 1.925929944387235853055977942584927319e-34; -257/1000
Check failed for (fp128): x = -1.501681288415921167985143537207602334e+00; diff = 1.925929944387235853055977942584927319e-34; -239/1000
Check failed for (fp128): x = -1.457698991265664062646666529841689258e+00; diff = 1.925929944387235853055977942584927319e-34; -232/1000
Check failed for (fp128): x = -1.426283064729766130262040096008894176e+00; diff = 1.925929944387235853055977942584927319e-34; -227/1000
Check failed for (fp128): x = -1.419999879422586543785114809242335275e+00; diff = 1.925929944387235853055977942584927319e-34; -226/1000
Check failed for (fp128): x = -1.407433508808227370831264235709217281e+00; diff = 2.888894916580853779583966913877390978e-34; -224/1000
Check failed for (fp128): x = -1.401150323501047784354338948942658188e+00; diff = 1.925929944387235853055977942584927319e-34; -223/1000
Check failed for (fp128): x = -1.369734396965149851969712515109863106e+00; diff = 3.851859888774471706111955885169854637e-34; -218/1000
Check failed for (fp128): x = -1.363451211657970265492787228343304205e+00; diff = 3.851859888774471706111955885169854637e-34; -217/1000
Check failed for (fp128): x = -1.357168026350790679015861941576745304e+00; diff = 3.370377402677662742847961399523622807e-34; -216/1000
Check failed for (fp128): x = -1.350884841043611092538936654810186211e+00; diff = 2.888894916580853779583966913877390978e-34; -215/1000
Check failed for (fp128): x = -1.325752099814892746631235507743950222e+00; diff = 1.925929944387235853055977942584927319e-34; -211/1000
Check failed for (fp128): x = -1.319468914507713160154310220977391129e+00; diff = 3.851859888774471706111955885169854637e-34; -210/1000
