Check failed for (fp64): x = -3.34893776872672; diff = 2.35922392732846e-16; -533/1000
Check failed for (fp64): x = -3.34265458341954; diff = 2.08166817117217e-16; -532/1000
Check failed for (fp64): x = -3.33637139811236; diff = 2.08166817117217e-16; -531/1000
Check failed for (fp64): x = -3.33008821280518; diff = 2.4980018054066e-16; -530/1000
Check failed for (fp64): x = -3.323805027498; diff = 3.05311331771918e-16; -529/1000
Check failed for (fp64): x = -3.31752184219082; diff = 2.35922392732846e-16; -528/1000
Check failed for (fp64): x = -3.30495547157646; diff = 2.77555756156289e-16; -526/1000
Check failed for (fp64): x = -3.29867228626928; diff = 1.52655665885959e-16; -525/1000
Check failed for (fp64): x = -3.2923891009621; diff = 1.66533453693773e-16; -524/1000
Check failed for (fp64): x = -3.27353954504056; diff = 2.77555756156289e-16; -521/1000
Check failed for (fp64): x = -3.26725635973339; diff = 4.02455846426619e-16; -520/1000
Check failed for (fp64): x = -3.26097317442621; diff = 2.77555756156289e-16; -519/1000
Check failed for (fp64): x = -3.25468998911903; diff = 1.80411241501588e-16; -518/1000
Check failed for (fp64): x = -3.24840680381185; diff = 1.59594559789866e-16; -517/1000
Check failed for (fp64): x = -3.23584043319749; diff = 3.95516952522712e-16; -515/1000
Check failed for (fp64): x = -3.22955724789031; diff = 1.73472347597681e-16; -514/1000
Check failed for (fp64): x = -3.21070769196877; diff = 2.4980018054066e-16; -511/1000
Check failed for (fp64): x = -3.19814132135441; diff = 4.64905891561784e-16; -509/1000
Check failed for (fp64): x = -3.19185813604723; diff = 7.45931094670027e-16; -508/1000
Check failed for (fp64): x = -3.18557495074005; diff = 7.18175519054398e-16; -507/1000
Check failed for (fp64): x = -3.17929176543287; diff = 1.38430933382949e-15; -506/1000
Check failed for (fp64): x = -3.17300858012569; diff = 1.06512021424976e-15; -505/1000
Check failed for (fp64): x = -3.16672539481851; diff = 1.6306400674182e-15; -504/1000
Check failed for (fp64): x = -3.16044220951133; diff = 2.32452945780892e-15; -503/1000
Check failed for (fp64): x = -3.15415902420415; diff = 6.94756752128711e-16; -502/1000
Check failed for (fp64): x = -3.14787583889697; diff = 2.37960692817119e-15; -501/1000
