Check failed for (fp64): x = -3.07247761521082; diff = 6.03961325396085e-14; -489/1000
Check failed for (fp64): x = -3.06619442990364; diff = 4.2632564145606e-14; -488/1000
Check failed for (fp64): x = -3.05991124459646; diff = 2.1316282072803e-14; -487/1000
Check failed for (fp64): x = -3.05362805928928; diff = 4.08562073062058e-14; -486/1000
Check failed for (fp64): x = -3.0473448739821; diff = 3.01980662698043e-14; -485/1000
Check failed for (fp64): x = -3.04106168867492; diff = 1.4210854715202e-14; -484/1000
Check failed for (fp64): x = -3.03477850336774; diff = 1.24344978758018e-14; -483/1000
Check failed for (fp64): x = -3.02849531806056; diff = 1.59872115546023e-14; -482/1000
Check failed for (fp64): x = -3.02221213275338; diff = 1.06581410364015e-14; -481/1000
Check failed for (fp64): x = -3.0159289474462; diff = 2.66453525910038e-15; -480/1000
Check failed for (fp64): x = -3.00964576213902; diff = 8.88178419700125e-15; -479/1000
Check failed for (fp64): x = -3.00336257683184; diff = 7.105427357601e-15; -478/1000
Check failed for (fp64): x = -2.99707939152466; diff = 2.66453525910038e-15; -477/1000
Check failed for (fp64): x = -2.99079620621748; diff = 3.5527136788005e-15; -476/1000
Check failed for (fp64): x = -2.9845130209103; diff = 3.5527136788005e-15; -475/1000
Check failed for (fp64): x = -2.97822983560312; diff = 6.21724893790088e-15; -474/1000
Check failed for (fp64): x = -2.97194665029594; diff = 1.77635683940025e-15; -473/1000
Check failed for (fp64): x = -2.96566346498876; diff = 4.44089209850063e-15; -472/1000
Check failed for (fp64): x = -2.95938027968158; diff = 8.88178419700125e-16; -471/1000
Check failed for (fp64): x = -2.95309709437441; diff = 8.88178419700125e-16; -470/1000
Check failed for (fp64): x = -2.94053072376005; diff = 2.66453525910038e-15; -468/1000
Check failed for (fp64): x = -2.93424753845287; diff = 2.66453525910038e-15; -467/1000
Check failed for (fp64): x = -2.92168116783851; diff = 1.77635683940025e-15; -465/1000
Check failed for (fp64): x = -2.91539798253133; diff = 1.77635683940025e-15; -464/1000
Check failed for (fp64): x = -2.90911479722415; diff = 8.88178419700125e-16; -463/1000
Check failed for (fp64): x = -2.90283161191697; diff = 8.88178419700125e-16; -462/1000
Check failed for (fp64): x = -2.89654842660979; diff = 8.88178419700125e-16; -461/1000
Check failed for (fp64): x = -2.89026524130261; diff = 8.88178419700125e-16; -460/1000
Check failed for (fp64): x = -2.88398205599543; diff = 8.88178419700125e-16; -459/1000
Check failed for (fp64): x = -2.87769887068825; diff = 8.88178419700125e-16; -458/1000
Check failed for (fp64): x = -2.85884931476671; diff = 8.88178419700125e-16; -455/1000
Check failed for (fp64): x = -2.85256612945953; diff = 4.44089209850063e-16; -454/1000
Check failed for (fp64): x = -2.83999975884517; diff = 4.44089209850063e-16; -452/1000
Check failed for (fp64): x = -2.83371657353799; diff = 1.33226762955019e-15; -451/1000
Check failed for (fp64): x = -2.82743338823081; diff = 8.88178419700125e-16; -450/1000
Check failed for (fp64): x = -2.81486701761645; diff = 4.44089209850063e-16; -448/1000
Check failed for (fp64): x = -2.8023006470021; diff = 4.44089209850063e-16; -446/1000
Check failed for (fp64): x = -2.79601746169492; diff = 4.44089209850063e-16; -445/1000
Check failed for (fp64): x = -2.78973427638774; diff = 4.44089209850063e-16; -444/1000
Check failed for (fp64): x = -2.77716790577338; diff = 4.44089209850063e-16; -442/1000
Check failed for (fp64): x = -2.76460153515902; diff = 4.44089209850063e-16; -440/1000
Check failed for (fp64): x = -2.75831834985184; diff = 4.44089209850063e-16; -439/1000
Check failed for (fp64): x = -2.71433605270158; diff = 4.44089209850063e-16; -432/1000
Check failed for (fp64): x = -2.70176968208722; diff = 4.44089209850063e-16; -430/1000
Check failed for (fp64): x = -2.68920331147286; diff = 4.44089209850063e-16; -428/1000
Check failed for (fp64): x = -2.68292012616568; diff = 4.44089209850063e-16; -427/1000
Check failed for (fp64): x = -2.67035375555132; diff = 2.22044604925031e-16; -425/1000
Check failed for (fp64): x = -2.62637145840107; diff = 2.22044604925031e-16; -418/1000
Check failed for (fp64): x = -2.60752190247953; diff = 2.22044604925031e-16; -415/1000
Check failed for (fp64): x = -2.59495553186517; diff = 2.22044604925031e-16; -413/1000
Check failed for (fp64): x = -2.58867234655799; diff = 2.22044604925031e-16; -412/1000
Check failed for (fp64): x = -2.57610597594363; diff = 2.22044604925031e-16; -410/1000
Check failed for (fp64): x = -2.56982279063645; diff = 2.22044604925031e-16; -409/1000
Check failed for (fp64): x = -2.55725642002209; diff = 2.22044604925031e-16; -407/1000
Check failed for (fp64): x = -2.55097323471491; diff = 2.22044604925031e-16; -406/1000
Check failed for (fp64): x = -2.54469004940773; diff = 2.22044604925031e-16; -405/1000
Check failed for (fp64): x = -2.51955730817901; diff = 2.22044604925031e-16; -401/1000
Check failed for (fp64): x = -2.4944245669503; diff = 2.22044604925031e-16; -397/1000
Check failed for (fp64): x = -2.47557501102876; diff = 2.22044604925031e-16; -394/1000
Check failed for (fp64): x = -2.45044226980004; diff = 2.22044604925031e-16; -390/1000
Check failed for (fp64): x = -2.4315927138785; diff = 2.22044604925031e-16; -387/1000
Check failed for (fp64): x = -2.40645997264978; diff = 2.22044604925031e-16; -383/1000
Check failed for (fp64): x = -2.38761041672824; diff = 2.22044604925031e-16; -380/1000
Check failed for (fp64): x = -2.34991130488517; diff = 1.11022302462516e-16; -374/1000
Check failed for (fp64): x = -2.33106174896363; diff = 1.11022302462516e-16; -371/1000
Check failed for (fp64): x = -2.32477856365645; diff = 1.11022302462516e-16; -370/1000
Check failed for (fp64): x = -2.31849537834927; diff = 1.11022302462516e-16; -369/1000
Check failed for (fp64): x = -2.31221219304209; diff = 1.11022302462516e-16; -368/1000
Check failed for (fp64): x = -2.29964582242773; diff = 1.11022302462516e-16; -366/1000
Check failed for (fp64): x = -2.28707945181337; diff = 1.11022302462516e-16; -364/1000
Check failed for (fp64): x = -2.28079626650619; diff = 1.11022302462516e-16; -363/1000
Check failed for (fp64): x = -2.26194671058465; diff = 1.11022302462516e-16; -360/1000
Check failed for (fp64): x = -2.24938033997029; diff = 1.11022302462516e-16; -358/1000
Check failed for (fp64): x = -2.24309715466311; diff = 2.22044604925031e-16; -357/1000
Check failed for (fp64): x = -2.23681396935593; diff = 1.11022302462516e-16; -356/1000
Check failed for (fp64): x = -2.22424759874157; diff = 1.11022302462516e-16; -354/1000
Check failed for (fp64): x = -2.21168122812721; diff = 1.11022302462516e-16; -352/1000
Check failed for (fp64): x = -2.20539804282003; diff = 1.11022302462516e-16; -351/1000
Check failed for (fp64): x = -2.14884937505542; diff = 1.11022302462516e-16; -342/1000
Check failed for (fp64): x = -2.14256618974824; diff = 1.11022302462516e-16; -341/1000
Check failed for (fp64): x = -2.1237166338267; diff = 1.11022302462516e-16; -338/1000
Check failed for (fp64): x = -2.11115026321234; diff = 1.11022302462516e-16; -336/1000
Check failed for (fp64): x = -2.10486707790516; diff = 1.11022302462516e-16; -335/1000
Check failed for (fp64): x = -2.0923007072908; diff = 1.11022302462516e-16; -333/1000
Check failed for (fp64): x = -2.0608847807549; diff = 1.11022302462516e-16; -328/1000
Check failed for (fp64): x = -1.99176974237593; diff = 1.11022302462516e-16; -317/1000
Check failed for (fp64): x = -1.08699105814207; diff = 1.11022302462516e-16; -173/1000
Check failed for (fp64): x = -1.06185831691335; diff = 1.11022302462516e-16; -169/1000
Check failed for (fp64): x = -1.02415920507027; diff = 1.11022302462516e-16; -163/1000
Check failed for (fp64): x = -1.01787601976309; diff = 1.11022302462516e-16; -162/1000
