Check failed for (fp128): x = -6.283185307179586476925286766559005595e+00; diff = inf; -1000/1000
Check failed for (fp128): x = -2.877698870688250606431781339084024726e+00; diff = 3.851859888774471706111955885169854637e-34; -458/1000
Check failed for (fp128): x = -2.871415685381071019954856052317465440e+00; diff = 3.851859888774471706111955885169854637e-34; -457/1000
Check failed for (fp128): x = -2.865132500073891433477930765550906539e+00; diff = 3.851859888774471706111955885169854637e-34; -456/1000
Check failed for (fp128): x = -2.858849314766711847001005478784347638e+00; diff = 3.851859888774471706111955885169854637e-34; -455/1000
Check failed for (fp128): x = -2.852566129459532260524080192017788352e+00; diff = 3.851859888774471706111955885169854637e-34; -454/1000
Check failed for (fp128): x = -2.846282944152352674047154905251229451e+00; diff = 3.851859888774471706111955885169854637e-34; -453/1000
Check failed for (fp128): x = -2.839999758845173087570229618484670550e+00; diff = 3.851859888774471706111955885169854637e-34; -452/1000
Check failed for (fp128): x = -2.833716573537993501093304331718111650e+00; diff = 7.703719777548943412223911770339709274e-34; -451/1000
Check failed for (fp128): x = -2.827433388230813914616379044951552749e+00; diff = 1.155557966632341511833586765550956391e-33; -450/1000
Check failed for (fp128): x = -2.821150202923634328139453758184993463e+00; diff = 3.851859888774471706111955885169854637e-34; -449/1000
Check failed for (fp128): x = -2.814867017616454741662528471418434562e+00; diff = 3.851859888774471706111955885169854637e-34; -448/1000
Check failed for (fp128): x = -2.808583832309275155185603184651875661e+00; diff = 7.703719777548943412223911770339709274e-34; -447/1000
Check failed for (fp128): x = -2.802300647002095568708677897885316375e+00; diff = 3.851859888774471706111955885169854637e-34; -446/1000
Check failed for (fp128): x = -2.796017461694915982231752611118757474e+00; diff = 3.851859888774471706111955885169854637e-34; -445/1000
Check failed for (fp128): x = -2.789734276387736395754827324352198188e+00; diff = 7.703719777548943412223911770339709274e-34; -444/1000
Check failed for (fp128): x = -2.783451091080556809277902037585639288e+00; diff = 7.703719777548943412223911770339709274e-34; -443/1000
Check failed for (fp128): x = -2.777167905773377222800976750819080387e+00; diff = 3.851859888774471706111955885169854637e-34; -442/1000
Check failed for (fp128): x = -2.770884720466197636324051464052521486e+00; diff = 3.851859888774471706111955885169854637e-34; -441/1000
Check failed for (fp128): x = -2.764601535159018049847126177285962585e+00; diff = 3.851859888774471706111955885169854637e-34; -440/1000
Check failed for (fp128): x = -2.752035164544658876893275603752844398e+00; diff = 3.851859888774471706111955885169854637e-34; -438/1000
Check failed for (fp128): x = -2.745751979237479290416350316986285497e+00; diff = 3.851859888774471706111955885169854637e-34; -437/1000
Check failed for (fp128): x = -2.739468793930299703939425030219726211e+00; diff = 3.851859888774471706111955885169854637e-34; -436/1000
Check failed for (fp128): x = -2.733185608623120117462499743453167311e+00; diff = 3.851859888774471706111955885169854637e-34; -435/1000
Check failed for (fp128): x = -2.726902423315940530985574456686608410e+00; diff = 3.851859888774471706111955885169854637e-34; -434/1000
Check failed for (fp128): x = -2.720619238008760944508649169920049509e+00; diff = 3.851859888774471706111955885169854637e-34; -433/1000
Check failed for (fp128): x = -2.714336052701581358031723883153490608e+00; diff = 3.851859888774471706111955885169854637e-34; -432/1000
Check failed for (fp128): x = -2.701769682087222185077873309620372421e+00; diff = 3.851859888774471706111955885169854637e-34; -430/1000
