Check failed for (fp32): alpha = -6.283185; beta = -1.570796; diff = 1.192093e-07; -1000/1000
Check failed for (fp32): alpha = -3.367788; beta = -0.8419469; diff = 5.960464e-08; -536/1000
Check failed for (fp32): alpha = -3.361504; beta = -0.8403761; diff = 5.960464e-08; -535/1000
Check failed for (fp32): alpha = -3.355221; beta = -0.8388053; diff = 1.192093e-07; -534/1000
Check failed for (fp32): alpha = -3.342655; beta = -0.8356637; diff = 5.960464e-08; -532/1000
Check failed for (fp32): alpha = -3.330088; beta = -0.832522; diff = 5.960464e-08; -530/1000
Check failed for (fp32): alpha = -3.323805; beta = -0.8309513; diff = 5.960464e-08; -529/1000
Check failed for (fp32): alpha = -3.311239; beta = -0.8278097; diff = 5.960464e-08; -527/1000
Check failed for (fp32): alpha = -3.298672; beta = -0.824668; diff = 5.960464e-08; -525/1000
Check failed for (fp32): alpha = -3.292389; beta = -0.8230973; diff = 5.960464e-08; -524/1000
Check failed for (fp32): alpha = -3.279823; beta = -0.8199557; diff = 5.960464e-08; -522/1000
Check failed for (fp32): alpha = -3.267256; beta = -0.8168141; diff = 1.192093e-07; -520/1000
Check failed for (fp32): alpha = -3.248407; beta = -0.8121018; diff = 5.960464e-08; -517/1000
Check failed for (fp32): alpha = -3.23584; beta = -0.8089601; diff = 1.192093e-07; -515/1000
Check failed for (fp32): alpha = -3.229557; beta = -0.8073893; diff = 5.960464e-08; -514/1000
Check failed for (fp32): alpha = -3.204425; beta = -0.8011062; diff = 5.960464e-08; -510/1000
Check failed for (fp32): alpha = -3.198141; beta = -0.7995353; diff = 5.960464e-08; -509/1000
Check failed for (fp32): alpha = -3.191858; beta = -0.7979646; diff = 5.960464e-08; -508/1000
Check failed for (fp32): alpha = -3.185575; beta = -0.7963938; diff = 5.960464e-08; -507/1000
Check failed for (fp32): alpha = -3.179292; beta = -0.7948229; diff = 5.960464e-08; -506/1000
Check failed for (fp32): alpha = -3.166726; beta = -0.7916814; diff = 5.960464e-08; -504/1000
Check failed for (fp32): alpha = -3.154159; beta = -0.7885398; diff = 1.192093e-07; -502/1000
Check failed for (fp32): alpha = -3.141593; beta = -0.7853982; diff = 5.960464e-08; -500/1000
Check failed for (fp32): alpha = -3.13531; beta = -0.7838274; diff = 5.960464e-08; -499/1000
Check failed for (fp32): alpha = -3.122743; beta = -0.7806858; diff = 1.192093e-07; -497/1000
Check failed for (fp32): alpha = -3.091327; beta = -0.7728319; diff = 5.960464e-08; -492/1000
Check failed for (fp32): alpha = -3.085044; beta = -0.771261; diff = 5.960464e-08; -491/1000
Check failed for (fp32): alpha = -3.078761; beta = -0.7696902; diff = 5.960464e-08; -490/1000
Check failed for (fp32): alpha = -3.072478; beta = -0.7681194; diff = 5.960464e-08; -489/1000
Check failed for (fp32): alpha = -3.059911; beta = -0.7649778; diff = 5.960464e-08; -487/1000
Check failed for (fp32): alpha = -3.053628; beta = -0.7634071; diff = 5.960464e-08; -486/1000
Check failed for (fp32): alpha = -3.041062; beta = -0.7602654; diff = 5.960464e-08; -484/1000
Check failed for (fp32): alpha = -3.034779; beta = -0.7586946; diff = 5.960464e-08; -483/1000
Check failed for (fp32): alpha = -3.028495; beta = -0.7571238; diff = 1.192093e-07; -482/1000
Check failed for (fp32): alpha = -3.022212; beta = -0.7555531; diff = 5.960464e-08; -481/1000
Check failed for (fp32): alpha = -3.015929; beta = -0.7539822; diff = 5.960464e-08; -480/1000
Check failed for (fp32): alpha = -2.997079; beta = -0.7492698; diff = 5.960464e-08; -477/1000
Check failed for (fp32): alpha = -2.990796; beta = -0.7476991; diff = 5.960464e-08; -476/1000
Check failed for (fp32): alpha = -2.984513; beta = -0.7461283; diff = 5.960464e-08; -475/1000
Check failed for (fp32): alpha = -2.97823; beta = -0.7445575; diff = 5.960464e-08; -474/1000
Check failed for (fp32): alpha = -2.971947; beta = -0.7429867; diff = 5.960464e-08; -473/1000
Check failed for (fp32): alpha = -2.953097; beta = -0.7382743; diff = 5.960464e-08; -470/1000
Check failed for (fp32): alpha = -2.946814; beta = -0.7367035; diff = 1.192093e-07; -469/1000
Check failed for (fp32): alpha = -2.940531; beta = -0.7351327; diff = 5.960464e-08; -468/1000
Check failed for (fp32): alpha = -2.915398; beta = -0.7288495; diff = 1.192093e-07; -464/1000
Check failed for (fp32): alpha = -2.909115; beta = -0.7272787; diff = 5.960464e-08; -463/1000
Check failed for (fp32): alpha = -2.902832; beta = -0.7257079; diff = 5.960464e-08; -462/1000
Check failed for (fp32): alpha = -2.896549; beta = -0.7241371; diff = 5.960464e-08; -461/1000
Check failed for (fp32): alpha = -2.883982; beta = -0.7209955; diff = 1.192093e-07; -459/1000
Check failed for (fp32): alpha = -2.871416; beta = -0.7178539; diff = 1.788139e-07; -457/1000
Check failed for (fp32): alpha = -2.865133; beta = -0.7162831; diff = 1.192093e-07; -456/1000
Check failed for (fp32): alpha = -2.85885; beta = -0.7147124; diff = 5.960464e-08; -455/1000
Check failed for (fp32): alpha = -2.852566; beta = -0.7131416; diff = 5.960464e-08; -454/1000
Check failed for (fp32): alpha = -2.846283; beta = -0.7115708; diff = 5.960464e-08; -453/1000
Check failed for (fp32): alpha = -2.84; beta = -0.7099999; diff = 1.192093e-07; -452/1000
Check failed for (fp32): alpha = -2.833717; beta = -0.7084292; diff = 5.960464e-08; -451/1000
Check failed for (fp32): alpha = -2.82115; beta = -0.7052876; diff = 1.192093e-07; -449/1000
Check failed for (fp32): alpha = -2.814867; beta = -0.7037168; diff = 5.960464e-08; -448/1000
Check failed for (fp32): alpha = -2.796017; beta = -0.6990044; diff = 5.960464e-08; -445/1000
Check failed for (fp32): alpha = -2.789734; beta = -0.6974336; diff = 1.192093e-07; -444/1000
Check failed for (fp32): alpha = -2.783451; beta = -0.6958628; diff = 5.960464e-08; -443/1000
Check failed for (fp32): alpha = -2.777168; beta = -0.694292; diff = 5.960464e-08; -442/1000
Check failed for (fp32): alpha = -2.770885; beta = -0.6927212; diff = 1.192093e-07; -441/1000
Check failed for (fp32): alpha = -2.758318; beta = -0.6895796; diff = 1.192093e-07; -439/1000
Check failed for (fp32): alpha = -2.745752; beta = -0.686438; diff = 5.960464e-08; -437/1000
Check failed for (fp32): alpha = -2.726902; beta = -0.6817256; diff = 1.192093e-07; -434/1000
Check failed for (fp32): alpha = -2.714336; beta = -0.678584; diff = 5.960464e-08; -432/1000
Check failed for (fp32): alpha = -2.695487; beta = -0.6738716; diff = 8.940697e-08; -429/1000
Check failed for (fp32): alpha = -2.689204; beta = -0.6723009; diff = 5.960464e-08; -428/1000
Check failed for (fp32): alpha = -2.68292; beta = -0.6707301; diff = 5.960464e-08; -427/1000
Check failed for (fp32): alpha = -2.657788; beta = -0.6644469; diff = 8.940697e-08; -423/1000
Check failed for (fp32): alpha = -2.638938; beta = -0.6597344; diff = 1.192093e-07; -420/1000
Check failed for (fp32): alpha = -2.620088; beta = -0.6550221; diff = 8.940697e-08; -417/1000
Check failed for (fp32): alpha = -2.588672; beta = -0.6471681; diff = 1.192093e-07; -412/1000
Check failed for (fp32): alpha = -2.569823; beta = -0.6424558; diff = 5.960464e-08; -409/1000
Check failed for (fp32): alpha = -2.56354; beta = -0.6408849; diff = 8.940697e-08; -408/1000
Check failed for (fp32): alpha = -2.557256; beta = -0.6393141; diff = 5.960464e-08; -407/1000
Check failed for (fp32): alpha = -2.550973; beta = -0.6377433; diff = 5.960464e-08; -406/1000
Check failed for (fp32): alpha = -2.532124; beta = -0.633031; diff = 5.960464e-08; -403/1000
Check failed for (fp32): alpha = -2.519557; beta = -0.6298893; diff = 5.960464e-08; -401/1000
Check failed for (fp32): alpha = -2.500708; beta = -0.625177; diff = 5.960464e-08; -398/1000
Check failed for (fp32): alpha = -2.481858; beta = -0.6204646; diff = 5.960464e-08; -395/1000
Check failed for (fp32): alpha = -2.475575; beta = -0.6188937; diff = 5.960464e-08; -394/1000
Check failed for (fp32): alpha = -2.469292; beta = -0.617323; diff = 5.960464e-08; -393/1000
Check failed for (fp32): alpha = -2.463009; beta = -0.6157522; diff = 5.960464e-08; -392/1000
Check failed for (fp32): alpha = -2.456726; beta = -0.6141814; diff = 8.940697e-08; -391/1000
Check failed for (fp32): alpha = -2.450442; beta = -0.6126106; diff = 5.960464e-08; -390/1000
Check failed for (fp32): alpha = -2.437876; beta = -0.609469; diff = 1.192093e-07; -388/1000
Check failed for (fp32): alpha = -2.431593; beta = -0.6078982; diff = 8.940697e-08; -387/1000
Check failed for (fp32): alpha = -2.412743; beta = -0.6031858; diff = 5.960464e-08; -384/1000
Check failed for (fp32): alpha = -2.368761; beta = -0.5921903; diff = 5.960464e-08; -377/1000
Check failed for (fp32): alpha = -2.349911; beta = -0.5874779; diff = 5.960464e-08; -374/1000
Check failed for (fp32): alpha = -2.331062; beta = -0.5827655; diff = 5.960464e-08; -371/1000
Check failed for (fp32): alpha = -2.305929; beta = -0.5764823; diff = 5.960464e-08; -367/1000
Check failed for (fp32): alpha = -2.28708; beta = -0.5717699; diff = 8.940697e-08; -364/1000
Check failed for (fp32): alpha = -2.280796; beta = -0.5701991; diff = 5.960464e-08; -363/1000
Check failed for (fp32): alpha = -2.255664; beta = -0.5639159; diff = 1.117587e-07; -359/1000
Check failed for (fp32): alpha = -2.217964; beta = -0.5544911; diff = 1.117587e-07; -353/1000
Check failed for (fp32): alpha = -2.161416; beta = -0.540354; diff = 8.195639e-08; -344/1000
Check failed for (fp32): alpha = -2.13; beta = -0.5325; diff = 8.940697e-08; -339/1000
Check failed for (fp32): alpha = -2.104867; beta = -0.5262168; diff = 8.195639e-08; -335/1000
Check failed for (fp32): alpha = -2.098584; beta = -0.524646; diff = 8.05594e-08; -334/1000
Check failed for (fp32): alpha = -2.073451; beta = -0.5183628; diff = 6.332994e-08; -330/1000
Check failed for (fp32): alpha = -2.035752; beta = -0.508938; diff = 8.195639e-08; -324/1000
Check failed for (fp32): alpha = -2.010619; beta = -0.5026549; diff = 7.450581e-08; -320/1000
Check failed for (fp32): alpha = -2.004336; beta = -0.501084; diff = 7.450581e-08; -319/1000
Check failed for (fp32): alpha = -1.998053; beta = -0.4995132; diff = 6.705523e-08; -318/1000
Check failed for (fp32): alpha = -1.979203; beta = -0.4948009; diff = 6.705523e-08; -315/1000
Check failed for (fp32): alpha = -1.916372; beta = -0.4790929; diff = 7.450581e-08; -305/1000
Check failed for (fp32): alpha = -1.828407; beta = -0.4571018; diff = 5.960464e-08; -291/1000
Check failed for (fp32): alpha = -1.822124; beta = -0.4555309; diff = 5.960464e-08; -290/1000
Check failed for (fp32): alpha = -1.796991; beta = -0.4492478; diff = 7.450581e-08; -286/1000
Check failed for (fp32): alpha = -1.790708; beta = -0.447677; diff = 7.450581e-08; -285/1000
Check failed for (fp32): alpha = -1.771858; beta = -0.4429646; diff = 5.960464e-08; -282/1000
Check failed for (fp32): alpha = -1.709027; beta = -0.4272566; diff = 8.940697e-08; -272/1000
Check failed for (fp32): alpha = -1.702743; beta = -0.4256858; diff = 5.960464e-08; -271/1000
Check failed for (fp32): alpha = -1.69646; beta = -0.424115; diff = 5.960464e-08; -270/1000
Check failed for (fp32): alpha = -1.671327; beta = -0.4178318; diff = 5.960464e-08; -266/1000
Check failed for (fp32): alpha = -1.665044; beta = -0.416261; diff = 5.960464e-08; -265/1000
Check failed for (fp32): alpha = -1.658761; beta = -0.4146902; diff = 5.960464e-08; -264/1000
Check failed for (fp32): alpha = -1.639911; beta = -0.4099779; diff = 5.960464e-08; -261/1000
Check failed for (fp32): alpha = -1.633628; beta = -0.408407; diff = 5.960464e-08; -260/1000
Check failed for (fp32): alpha = -1.583363; beta = -0.3958407; diff = 5.960464e-08; -252/1000
Check failed for (fp32): alpha = -1.53938; beta = -0.3848451; diff = 5.960464e-08; -245/1000
Check failed for (fp32): alpha = -1.520531; beta = -0.3801327; diff = 5.960464e-08; -242/1000
Check failed for (fp32): alpha = -1.514248; beta = -0.3785619; diff = 5.960464e-08; -241/1000
Check failed for (fp32): alpha = -1.489115; beta = -0.3722787; diff = 8.940697e-08; -237/1000
Check failed for (fp32): alpha = -1.476549; beta = -0.3691371; diff = 8.940697e-08; -235/1000
Check failed for (fp32): alpha = -1.451416; beta = -0.362854; diff = 5.960464e-08; -231/1000
Check failed for (fp32): alpha = -1.426283; beta = -0.3565708; diff = 5.960464e-08; -227/1000
Check failed for (fp32): alpha = -1.42; beta = -0.355; diff = 5.960464e-08; -226/1000
Check failed for (fp32): alpha = -1.394867; beta = -0.3487168; diff = 5.960464e-08; -222/1000
Check failed for (fp32): alpha = -1.382301; beta = -0.3455752; diff = 5.960464e-08; -220/1000
Check failed for (fp32): alpha = -1.376018; beta = -0.3440044; diff = 5.960464e-08; -219/1000
Check failed for (fp32): alpha = -1.363451; beta = -0.3408628; diff = 5.960464e-08; -217/1000
Check failed for (fp32): alpha = -1.344602; beta = -0.3361504; diff = 5.960464e-08; -214/1000
Check failed for (fp32): alpha = -1.338318; beta = -0.3345796; diff = 5.960464e-08; -213/1000
Check failed for (fp32): alpha = -1.325752; beta = -0.331438; diff = 5.960464e-08; -211/1000
Check failed for (fp32): alpha = -1.319469; beta = -0.3298672; diff = 5.960464e-08; -210/1000
Check failed for (fp32): alpha = -1.313186; beta = -0.3282965; diff = 5.960464e-08; -209/1000
Check failed for (fp32): alpha = -1.306903; beta = -0.3267257; diff = 5.960464e-08; -208/1000
Check failed for (fp32): alpha = -1.294336; beta = -0.323584; diff = 5.960464e-08; -206/1000
Check failed for (fp32): alpha = -1.26292; beta = -0.3157301; diff = 5.960464e-08; -201/1000
Check failed for (fp32): alpha = -1.250354; beta = -0.3125885; diff = 5.960464e-08; -199/1000
Check failed for (fp32): alpha = -1.231504; beta = -0.3078761; diff = 5.960464e-08; -196/1000
Check failed for (fp32): alpha = -1.206372; beta = -0.3015929; diff = 5.960464e-08; -192/1000
Check failed for (fp32): alpha = -1.187522; beta = -0.2968805; diff = 5.960464e-08; -189/1000
Check failed for (fp32): alpha = -1.174956; beta = -0.2937389; diff = 5.960464e-08; -187/1000
Check failed for (fp32): alpha = -1.156106; beta = -0.2890265; diff = 5.960464e-08; -184/1000
Check failed for (fp32): alpha = -1.12469; beta = -0.2811725; diff = 5.960464e-08; -179/1000
Check failed for (fp32): alpha = -1.099557; beta = -0.2748893; diff = 5.960464e-08; -175/1000
Check failed for (fp32): alpha = -1.086991; beta = -0.2717478; diff = 5.960464e-08; -173/1000
Check failed for (fp32): alpha = -1.068142; beta = -0.2670354; diff = 5.960464e-08; -170/1000
Check failed for (fp32): alpha = -1.049292; beta = -0.262323; diff = 5.960464e-08; -167/1000
Check failed for (fp32): alpha = -1.036726; beta = -0.2591814; diff = 5.960464e-08; -165/1000
Check failed for (fp32): alpha = -1.030442; beta = -0.2576106; diff = 5.960464e-08; -164/1000
Check failed for (fp32): alpha = -1.017876; beta = -0.254469; diff = 5.960464e-08; -162/1000
Check failed for (fp32): alpha = -1.00531; beta = -0.2513274; diff = 5.960464e-08; -160/1000
Check failed for (fp32): alpha = -0.9864601; beta = -0.246615; diff = 5.960464e-08; -157/1000
Check failed for (fp32): alpha = -0.9613274; beta = -0.2403318; diff = 5.960464e-08; -153/1000
Check failed for (fp32): alpha = -0.9550442; beta = -0.238761; diff = 5.960464e-08; -152/1000
Check failed for (fp32): alpha = -0.9361947; beta = -0.2340487; diff = 5.960464e-08; -149/1000
Check failed for (fp32): alpha = -0.9299114; beta = -0.2324779; diff = 5.960464e-08; -148/1000
Check failed for (fp32): alpha = -0.9110619; beta = -0.2277655; diff = 5.960464e-08; -145/1000
Check failed for (fp32): alpha = -0.9047787; beta = -0.2261947; diff = 5.960464e-08; -144/1000
Check failed for (fp32): alpha = -0.8984956; beta = -0.2246239; diff = 5.960464e-08; -143/1000
Check failed for (fp32): alpha = -0.8859292; beta = -0.2214823; diff = 5.960464e-08; -141/1000
Check failed for (fp32): alpha = -0.8733628; beta = -0.2183407; diff = 5.960464e-08; -139/1000
Check failed for (fp32): alpha = -0.8607964; beta = -0.2151991; diff = 5.960464e-08; -137/1000
Check failed for (fp32): alpha = -0.8545133; beta = -0.2136283; diff = 5.960464e-08; -136/1000
Check failed for (fp32): alpha = -0.8482301; beta = -0.2120575; diff = 5.960464e-08; -135/1000
Check failed for (fp32): alpha = -0.8419469; beta = -0.2104867; diff = 5.960464e-08; -134/1000
Check failed for (fp32): alpha = -0.8293805; beta = -0.2073451; diff = 5.960464e-08; -132/1000
Check failed for (fp32): alpha = -0.8168141; beta = -0.2042035; diff = 1.192093e-07; -130/1000
Check failed for (fp32): alpha = -0.779115; beta = -0.1947787; diff = 5.960464e-08; -124/1000
Check failed for (fp32): alpha = -0.7665486; beta = -0.1916372; diff = 5.960464e-08; -122/1000
Check failed for (fp32): alpha = -0.7414159; beta = -0.185354; diff = 5.960464e-08; -118/1000
Check failed for (fp32): alpha = -0.7288495; beta = -0.1822124; diff = 5.960464e-08; -116/1000
Check failed for (fp32): alpha = -0.6974336; beta = -0.1743584; diff = 5.960464e-08; -111/1000
Check failed for (fp32): alpha = -0.678584; beta = -0.169646; diff = 5.960464e-08; -108/1000
Check failed for (fp32): alpha = -0.6471681; beta = -0.161792; diff = 5.960464e-08; -103/1000
Check failed for (fp32): alpha = -0.6408849; beta = -0.1602212; diff = 5.960464e-08; -102/1000
Check failed for (fp32): alpha = -0.6220354; beta = -0.1555088; diff = 5.960464e-08; -99/1000
Check failed for (fp32): alpha = -0.609469; beta = -0.1523672; diff = 5.960464e-08; -97/1000
Check failed for (fp32): alpha = -0.5906194; beta = -0.1476549; diff = 5.960464e-08; -94/1000
Check failed for (fp32): alpha = -0.5843363; beta = -0.1460841; diff = 5.960464e-08; -93/1000
Check failed for (fp32): alpha = -0.5717699; beta = -0.1429425; diff = 5.960464e-08; -91/1000
Check failed for (fp32): alpha = -0.5654867; beta = -0.1413717; diff = 5.960464e-08; -90/1000
Check failed for (fp32): alpha = -0.5592035; beta = -0.1398009; diff = 5.960464e-08; -89/1000
Check failed for (fp32): alpha = -0.5340708; beta = -0.1335177; diff = 5.960464e-08; -85/1000
Check failed for (fp32): alpha = -0.4900885; beta = -0.1225221; diff = 5.960464e-08; -78/1000
Check failed for (fp32): alpha = -0.4649557; beta = -0.1162389; diff = 5.960464e-08; -74/1000
Check failed for (fp32): alpha = -0.439823; beta = -0.1099557; diff = 5.960464e-08; -70/1000
Check failed for (fp32): alpha = -0.4272566; beta = -0.1068142; diff = 5.960464e-08; -68/1000
Check failed for (fp32): alpha = -0.4209734; beta = -0.1052434; diff = 5.960464e-08; -67/1000
Check failed for (fp32): alpha = -0.4021239; beta = -0.100531; diff = 5.960464e-08; -64/1000
Check failed for (fp32): alpha = -0.3832743; beta = -0.09581858; diff = 5.960464e-08; -61/1000
Check failed for (fp32): alpha = -0.3518584; beta = -0.0879646; diff = 5.960464e-08; -56/1000
Check failed for (fp32): alpha = -0.3455752; beta = -0.0863938; diff = 5.960464e-08; -55/1000
Check failed for (fp32): alpha = -0.339292; beta = -0.084823; diff = 5.960464e-08; -54/1000
Check failed for (fp32): alpha = -0.3330088; beta = -0.08325221; diff = 5.960464e-08; -53/1000
Check failed for (fp32): alpha = -0.3267257; beta = -0.08168142; diff = 5.960464e-08; -52/1000
Check failed for (fp32): alpha = -0.3015929; beta = -0.07539823; diff = 5.960464e-08; -48/1000
Check failed for (fp32): alpha = -0.2953097; beta = -0.07382743; diff = 5.960464e-08; -47/1000
Check failed for (fp32): alpha = -0.2576106; beta = -0.06440265; diff = 5.960464e-08; -41/1000
Check failed for (fp32): alpha = -0.2450442; beta = -0.06126106; diff = 5.960464e-08; -39/1000
Check failed for (fp32): alpha = -0.2324779; beta = -0.05811946; diff = 5.960464e-08; -37/1000
Check failed for (fp32): alpha = -0.2199115; beta = -0.05497787; diff = 5.960464e-08; -35/1000
Check failed for (fp32): alpha = -0.2010619; beta = -0.05026549; diff = 5.960464e-08; -32/1000
Check failed for (fp32): alpha = -0.1884956; beta = -0.04712389; diff = 5.960464e-08; -30/1000
Check failed for (fp32): alpha = -0.1759292; beta = -0.0439823; diff = 5.960464e-08; -28/1000
Check failed for (fp32): alpha = -0.1507965; beta = -0.03769911; diff = 5.960464e-08; -24/1000
Check failed for (fp32): alpha = -0.100531; beta = -0.02513274; diff = 5.960464e-08; -16/1000
Check failed for (fp32): alpha = -0.08168142; beta = -0.02042035; diff = 5.960464e-08; -13/1000
Check failed for (fp32): alpha = -0.05026549; beta = -0.01256637; diff = 5.960464e-08; -8/1000
Check failed for (fp32): alpha = -0.03769911; beta = -0.009424779; diff = 5.960464e-08; -6/1000
Check failed for (fp32): alpha = -0.01884956; beta = -0.004712389; diff = 5.960464e-08; -3/1000
Check failed for (fp32): alpha = -0.01256637; beta = -0.003141593; diff = 5.960464e-08; -2/1000
Check failed for (fp32): alpha = 0.01256637; beta = 0.003141593; diff = 5.960464e-08; 2/1000
Check failed for (fp32): alpha = 0.01884956; beta = 0.004712389; diff = 5.960464e-08; 3/1000
Check failed for (fp32): alpha = 0.03769911; beta = 0.009424779; diff = 5.960464e-08; 6/1000
Check failed for (fp32): alpha = 0.05026549; beta = 0.01256637; diff = 5.960464e-08; 8/1000
Check failed for (fp32): alpha = 0.08168142; beta = 0.02042035; diff = 5.960464e-08; 13/1000
Check failed for (fp32): alpha = 0.100531; beta = 0.02513274; diff = 5.960464e-08; 16/1000
Check failed for (fp32): alpha = 0.1507965; beta = 0.03769911; diff = 5.960464e-08; 24/1000
Check failed for (fp32): alpha = 0.1759292; beta = 0.0439823; diff = 5.960464e-08; 28/1000
Check failed for (fp32): alpha = 0.1884956; beta = 0.04712389; diff = 5.960464e-08; 30/1000
Check failed for (fp32): alpha = 0.2010619; beta = 0.05026549; diff = 5.960464e-08; 32/1000
Check failed for (fp32): alpha = 0.2199115; beta = 0.05497787; diff = 5.960464e-08; 35/1000
Check failed for (fp32): alpha = 0.2324779; beta = 0.05811946; diff = 5.960464e-08; 37/1000
Check failed for (fp32): alpha = 0.2450442; beta = 0.06126106; diff = 5.960464e-08; 39/1000
Check failed for (fp32): alpha = 0.2576106; beta = 0.06440265; diff = 5.960464e-08; 41/1000
Check failed for (fp32): alpha = 0.2953097; beta = 0.07382743; diff = 5.960464e-08; 47/1000
Check failed for (fp32): alpha = 0.3015929; beta = 0.07539823; diff = 5.960464e-08; 48/1000
Check failed for (fp32): alpha = 0.3267257; beta = 0.08168142; diff = 5.960464e-08; 52/1000
Check failed for (fp32): alpha = 0.3330088; beta = 0.08325221; diff = 5.960464e-08; 53/1000
Check failed for (fp32): alpha = 0.339292; beta = 0.084823; diff = 5.960464e-08; 54/1000
Check failed for (fp32): alpha = 0.3455752; beta = 0.0863938; diff = 5.960464e-08; 55/1000
Check failed for (fp32): alpha = 0.3518584; beta = 0.0879646; diff = 5.960464e-08; 56/1000
Check failed for (fp32): alpha = 0.3832743; beta = 0.09581858; diff = 5.960464e-08; 61/1000
Check failed for (fp32): alpha = 0.4021239; beta = 0.100531; diff = 5.960464e-08; 64/1000
Check failed for (fp32): alpha = 0.4209734; beta = 0.1052434; diff = 5.960464e-08; 67/1000
Check failed for (fp32): alpha = 0.4272566; beta = 0.1068142; diff = 5.960464e-08; 68/1000
Check failed for (fp32): alpha = 0.439823; beta = 0.1099557; diff = 5.960464e-08; 70/1000
Check failed for (fp32): alpha = 0.4649557; beta = 0.1162389; diff = 5.960464e-08; 74/1000
Check failed for (fp32): alpha = 0.4900885; beta = 0.1225221; diff = 5.960464e-08; 78/1000
Check failed for (fp32): alpha = 0.5340708; beta = 0.1335177; diff = 5.960464e-08; 85/1000
Check failed for (fp32): alpha = 0.5592035; beta = 0.1398009; diff = 5.960464e-08; 89/1000
Check failed for (fp32): alpha = 0.5654867; beta = 0.1413717; diff = 5.960464e-08; 90/1000
Check failed for (fp32): alpha = 0.5717699; beta = 0.1429425; diff = 5.960464e-08; 91/1000
Check failed for (fp32): alpha = 0.5843363; beta = 0.1460841; diff = 5.960464e-08; 93/1000
Check failed for (fp32): alpha = 0.5906194; beta = 0.1476549; diff = 5.960464e-08; 94/1000
Check failed for (fp32): alpha = 0.609469; beta = 0.1523672; diff = 5.960464e-08; 97/1000
Check failed for (fp32): alpha = 0.6220354; beta = 0.1555088; diff = 5.960464e-08; 99/1000
Check failed for (fp32): alpha = 0.6408849; beta = 0.1602212; diff = 5.960464e-08; 102/1000
Check failed for (fp32): alpha = 0.6471681; beta = 0.161792; diff = 5.960464e-08; 103/1000
Check failed for (fp32): alpha = 0.678584; beta = 0.169646; diff = 5.960464e-08; 108/1000
Check failed for (fp32): alpha = 0.6974336; beta = 0.1743584; diff = 5.960464e-08; 111/1000
Check failed for (fp32): alpha = 0.7288495; beta = 0.1822124; diff = 5.960464e-08; 116/1000
Check failed for (fp32): alpha = 0.7414159; beta = 0.185354; diff = 5.960464e-08; 118/1000
Check failed for (fp32): alpha = 0.7665486; beta = 0.1916372; diff = 5.960464e-08; 122/1000
Check failed for (fp32): alpha = 0.779115; beta = 0.1947787; diff = 5.960464e-08; 124/1000
Check failed for (fp32): alpha = 0.8168141; beta = 0.2042035; diff = 1.192093e-07; 130/1000
Check failed for (fp32): alpha = 0.8293805; beta = 0.2073451; diff = 5.960464e-08; 132/1000
Check failed for (fp32): alpha = 0.8419469; beta = 0.2104867; diff = 5.960464e-08; 134/1000
Check failed for (fp32): alpha = 0.8482301; beta = 0.2120575; diff = 5.960464e-08; 135/1000
Check failed for (fp32): alpha = 0.8545133; beta = 0.2136283; diff = 5.960464e-08; 136/1000
Check failed for (fp32): alpha = 0.8607964; beta = 0.2151991; diff = 5.960464e-08; 137/1000
Check failed for (fp32): alpha = 0.8733628; beta = 0.2183407; diff = 5.960464e-08; 139/1000
Check failed for (fp32): alpha = 0.8859292; beta = 0.2214823; diff = 5.960464e-08; 141/1000
Check failed for (fp32): alpha = 0.8984956; beta = 0.2246239; diff = 5.960464e-08; 143/1000
Check failed for (fp32): alpha = 0.9047787; beta = 0.2261947; diff = 5.960464e-08; 144/1000
Check failed for (fp32): alpha = 0.9110619; beta = 0.2277655; diff = 5.960464e-08; 145/1000
Check failed for (fp32): alpha = 0.9299114; beta = 0.2324779; diff = 5.960464e-08; 148/1000
Check failed for (fp32): alpha = 0.9361947; beta = 0.2340487; diff = 5.960464e-08; 149/1000
Check failed for (fp32): alpha = 0.9550442; beta = 0.238761; diff = 5.960464e-08; 152/1000
Check failed for (fp32): alpha = 0.9613274; beta = 0.2403318; diff = 5.960464e-08; 153/1000
Check failed for (fp32): alpha = 0.9864601; beta = 0.246615; diff = 5.960464e-08; 157/1000
Check failed for (fp32): alpha = 1.00531; beta = 0.2513274; diff = 5.960464e-08; 160/1000
Check failed for (fp32): alpha = 1.017876; beta = 0.254469; diff = 5.960464e-08; 162/1000
Check failed for (fp32): alpha = 1.030442; beta = 0.2576106; diff = 5.960464e-08; 164/1000
Check failed for (fp32): alpha = 1.036726; beta = 0.2591814; diff = 5.960464e-08; 165/1000
Check failed for (fp32): alpha = 1.049292; beta = 0.262323; diff = 5.960464e-08; 167/1000
Check failed for (fp32): alpha = 1.068142; beta = 0.2670354; diff = 5.960464e-08; 170/1000
Check failed for (fp32): alpha = 1.086991; beta = 0.2717478; diff = 5.960464e-08; 173/1000
Check failed for (fp32): alpha = 1.099557; beta = 0.2748893; diff = 5.960464e-08; 175/1000
Check failed for (fp32): alpha = 1.12469; beta = 0.2811725; diff = 5.960464e-08; 179/1000
Check failed for (fp32): alpha = 1.156106; beta = 0.2890265; diff = 5.960464e-08; 184/1000
Check failed for (fp32): alpha = 1.174956; beta = 0.2937389; diff = 5.960464e-08; 187/1000
Check failed for (fp32): alpha = 1.187522; beta = 0.2968805; diff = 5.960464e-08; 189/1000
