Check failed for (fp32): alpha = -5.409823; beta = -1.352456; diff = 1.192093e-07; -861/1000
Check failed for (fp32): alpha = -5.397256; beta = -1.349314; diff = 1.490116e-07; -859/1000
Check failed for (fp32): alpha = -5.390973; beta = -1.347743; diff = 2.682209e-07; -858/1000
Check failed for (fp32): alpha = -5.38469; beta = -1.346172; diff = 1.490116e-07; -857/1000
Check failed for (fp32): alpha = -5.378407; beta = -1.344602; diff = 1.490116e-07; -856/1000
Check failed for (fp32): alpha = -5.36584; beta = -1.34146; diff = 1.490116e-07; -854/1000
Check failed for (fp32): alpha = -5.359557; beta = -1.339889; diff = 2.384186e-07; -853/1000
Check failed for (fp32): alpha = -5.353274; beta = -1.338318; diff = 8.940697e-08; -852/1000
Check failed for (fp32): alpha = -5.346991; beta = -1.336748; diff = 1.192093e-07; -851/1000
Check failed for (fp32): alpha = -5.334424; beta = -1.333606; diff = 1.192093e-07; -849/1000
Check failed for (fp32): alpha = -5.328141; beta = -1.332035; diff = 2.384186e-07; -848/1000
Check failed for (fp32): alpha = -5.321858; beta = -1.330464; diff = 1.192093e-07; -847/1000
Check failed for (fp32): alpha = -5.315575; beta = -1.328894; diff = 1.192093e-07; -846/1000
Check failed for (fp32): alpha = -5.303009; beta = -1.325752; diff = 1.490116e-07; -844/1000
Check failed for (fp32): alpha = -5.296725; beta = -1.324181; diff = 2.980232e-07; -843/1000
Check failed for (fp32): alpha = -5.290442; beta = -1.32261; diff = 1.490116e-07; -842/1000
Check failed for (fp32): alpha = -5.284159; beta = -1.32104; diff = 8.940697e-08; -841/1000
Check failed for (fp32): alpha = -5.277875; beta = -1.319469; diff = 1.192093e-07; -840/1000
Check failed for (fp32): alpha = -5.271593; beta = -1.317898; diff = 1.192093e-07; -839/1000
Check failed for (fp32): alpha = -5.265309; beta = -1.316327; diff = 2.682209e-07; -838/1000
Check failed for (fp32): alpha = -5.259027; beta = -1.314757; diff = 2.384186e-07; -837/1000
Check failed for (fp32): alpha = -5.252743; beta = -1.313186; diff = 1.490116e-07; -836/1000
Check failed for (fp32): alpha = -5.240177; beta = -1.310044; diff = 1.192093e-07; -834/1000
Check failed for (fp32): alpha = -5.233893; beta = -1.308473; diff = 2.682209e-07; -833/1000
Check failed for (fp32): alpha = -5.227611; beta = -1.306903; diff = 2.682209e-07; -832/1000
Check failed for (fp32): alpha = -5.208761; beta = -1.30219; diff = 1.192093e-07; -829/1000
Check failed for (fp32): alpha = -5.202477; beta = -1.300619; diff = 2.682209e-07; -828/1000
Check failed for (fp32): alpha = -5.196195; beta = -1.299049; diff = 2.533197e-07; -827/1000
Check failed for (fp32): alpha = -5.177345; beta = -1.294336; diff = 1.192093e-07; -824/1000
Check failed for (fp32): alpha = -5.171062; beta = -1.292765; diff = 2.235174e-07; -823/1000
Check failed for (fp32): alpha = -5.164779; beta = -1.291195; diff = 2.682209e-07; -822/1000
Check failed for (fp32): alpha = -5.145929; beta = -1.286482; diff = 1.043081e-07; -819/1000
Check failed for (fp32): alpha = -5.139646; beta = -1.284912; diff = 1.341105e-07; -818/1000
