Check failed for (fp32): alpha = -4.567876; diff1 = 5.960464e-08; diff2 = 1.979152; -727/1000
Check failed for (fp32): alpha = -4.561593; diff1 = 5.960464e-08; diff2 = 1.977304; -726/1000
Check failed for (fp32): alpha = -4.55531; diff1 = 5.960464e-08; diff2 = 1.975377; -725/1000
Check failed for (fp32): alpha = -4.549026; diff1 = 5.960464e-08; diff2 = 1.973372; -724/1000
Check failed for (fp32): alpha = -4.542743; diff1 = 5.960464e-08; diff2 = 1.971289; -723/1000
Check failed for (fp32): alpha = -4.53646; diff1 = 5.960464e-08; diff2 = 1.969129; -722/1000
Check failed for (fp32): alpha = -4.511327; diff1 = 5.960464e-08; diff2 = 1.95971; -718/1000
Check failed for (fp32): alpha = -4.505044; diff1 = 5.960464e-08; diff2 = 1.957162; -717/1000
Check failed for (fp32): alpha = -4.498761; diff1 = 5.960464e-08; diff2 = 1.954536; -716/1000
Check failed for (fp32): alpha = -4.492477; diff1 = 5.960464e-08; diff2 = 1.951833; -715/1000
Check failed for (fp32): alpha = -4.429646; diff1 = 5.960464e-08; diff2 = 1.920587; -705/1000
Check failed for (fp32): alpha = -4.423363; diff1 = 5.960464e-08; diff2 = 1.917044; -704/1000
Check failed for (fp32): alpha = -4.410796; diff1 = 5.960464e-08; diff2 = 1.909729; -702/1000
Check failed for (fp32): alpha = -4.391947; diff1 = 5.960464e-08; diff2 = 1.898192; -699/1000
Check failed for (fp32): alpha = -4.385664; diff1 = 5.960464e-08; diff2 = 1.894197; -698/1000
Check failed for (fp32): alpha = -4.366814; diff1 = 5.960464e-08; diff2 = 1.881762; -695/1000
Check failed for (fp32): alpha = -4.354248; diff1 = 5.960464e-08; diff2 = 1.8731; -693/1000
Check failed for (fp32): alpha = -4.347964; diff1 = 5.960464e-08; diff2 = 1.868658; -692/1000
Check failed for (fp32): alpha = -4.329115; diff1 = 5.960464e-08; diff2 = 1.854891; -689/1000
Check failed for (fp32): alpha = -4.316548; diff1 = 5.960464e-08; diff2 = 1.845345; -687/1000
Check failed for (fp32): alpha = -4.291416; diff1 = 5.960464e-08; diff2 = 1.825383; -683/1000
Check failed for (fp32): alpha = -4.272566; diff1 = 5.960464e-08; diff2 = 1.809654; -680/1000
Check failed for (fp32): alpha = -4.26; diff1 = 5.960464e-08; diff2 = 1.798811; -678/1000
Check failed for (fp32): alpha = -4.253716; diff1 = 5.960464e-08; diff2 = 1.793282; -677/1000
Check failed for (fp32): alpha = -4.247433; diff1 = 5.960464e-08; diff2 = 1.787683; -676/1000
Check failed for (fp32): alpha = -4.24115; diff1 = 5.960464e-08; diff2 = 1.782013; -675/1000
Check failed for (fp32): alpha = -4.228584; diff1 = 5.960464e-08; diff2 = 1.770463; -673/1000
Check failed for (fp32): alpha = -4.209734; diff1 = 5.960464e-08; diff2 = 1.752614; -670/1000
Check failed for (fp32): alpha = -4.197168; diff1 = 5.960464e-08; diff2 = 1.740368; -668/1000
Check failed for (fp32): alpha = -4.184602; diff1 = 5.960464e-08; diff2 = 1.727847; -666/1000
