Check failed for (fp64): x = -4.78778720407084; diff = 2.22044604925031e-16; -762/1000
Check failed for (fp64): x = -4.75637127753495; diff = 2.22044604925031e-16; -757/1000
Check failed for (fp64): x = -4.75008809222777; diff = 2.22044604925031e-16; -756/1000
Check failed for (fp64): x = -4.74380490692059; diff = 2.22044604925031e-16; -755/1000
Check failed for (fp64): x = -4.73752172161341; diff = 2.22044604925031e-16; -754/1000
Check failed for (fp64): x = -4.73123853630623; diff = 2.22044604925031e-16; -753/1000
Check failed for (fp64): x = -4.71867216569187; diff = 2.22044604925031e-16; -751/1000
Check failed for (fp64): x = -4.70610579507751; diff = 2.22044604925031e-16; -749/1000
Check failed for (fp64): x = -4.69353942446315; diff = 2.22044604925031e-16; -747/1000
Check failed for (fp64): x = -4.68725623915597; diff = 2.22044604925031e-16; -746/1000
Check failed for (fp64): x = -4.68097305384879; diff = 2.22044604925031e-16; -745/1000
Check failed for (fp64): x = -4.67468986854161; diff = 2.22044604925031e-16; -744/1000
Check failed for (fp64): x = -4.66840668323443; diff = 2.22044604925031e-16; -743/1000
Check failed for (fp64): x = -4.5867252742411; diff = 2.22044604925031e-16; -730/1000
Check failed for (fp64): x = -4.56159253301238; diff = 2.22044604925031e-16; -726/1000
Check failed for (fp64): x = -4.54274297709084; diff = 2.22044604925031e-16; -723/1000
Check failed for (fp64): x = -4.53645979178366; diff = 2.22044604925031e-16; -722/1000
Check failed for (fp64): x = -4.44849519748315; diff = 2.22044604925031e-16; -708/1000
Check failed for (fp64): x = -4.38566334441135; diff = 2.22044604925031e-16; -698/1000
Check failed for (fp64): x = -4.36053060318263; diff = 2.22044604925031e-16; -694/1000
Check failed for (fp64): x = -4.35424741787545; diff = 2.22044604925031e-16; -693/1000
Check failed for (fp64): x = -4.34796423256827; diff = 2.22044604925031e-16; -692/1000
Check failed for (fp64): x = -4.32911467664673; diff = 2.22044604925031e-16; -689/1000
Check failed for (fp64): x = -4.32283149133955; diff = 2.22044604925031e-16; -688/1000
Check failed for (fp64): x = -4.3102651207252; diff = 2.22044604925031e-16; -686/1000
Check failed for (fp64): x = -4.29769875011084; diff = 2.22044604925031e-16; -684/1000
Check failed for (fp64): x = -4.29141556480366; diff = 2.22044604925031e-16; -683/1000
Check failed for (fp64): x = -4.2788491941893; diff = 2.22044604925031e-16; -681/1000
Check failed for (fp64): x = -4.25999963826776; diff = 2.22044604925031e-16; -678/1000
Check failed for (fp64): x = -4.2474332676534; diff = 2.22044604925031e-16; -676/1000
Check failed for (fp64): x = -4.22858371173186; diff = 2.22044604925031e-16; -673/1000
Check failed for (fp64): x = -4.2160173411175; diff = 2.22044604925031e-16; -671/1000
Check failed for (fp64): x = -4.20345097050314; diff = 2.22044604925031e-16; -669/1000
Check failed for (fp64): x = -4.19088459988878; diff = 2.22044604925031e-16; -667/1000
Check failed for (fp64): x = -4.16575185866007; diff = 4.44089209850063e-16; -663/1000
Check failed for (fp64): x = -4.15318548804571; diff = 2.22044604925031e-16; -661/1000
Check failed for (fp64): x = -4.12176956150981; diff = 2.22044604925031e-16; -656/1000
Check failed for (fp64): x = -4.10292000558827; diff = 2.22044604925031e-16; -653/1000
Check failed for (fp64): x = -4.09663682028109; diff = 2.22044604925031e-16; -652/1000
Check failed for (fp64): x = -4.07150407905237; diff = 2.22044604925031e-16; -648/1000
Check failed for (fp64): x = -4.05893770843801; diff = 2.22044604925031e-16; -646/1000
Check failed for (fp64): x = -4.05265452313083; diff = 2.22044604925031e-16; -645/1000
Check failed for (fp64): x = -4.01495541128776; diff = 6.66133814775094e-16; -639/1000
Check failed for (fp64): x = -4.00867222598058; diff = 2.22044604925031e-16; -638/1000
Check failed for (fp64): x = -3.98353948475186; diff = 2.22044604925031e-16; -634/1000
Check failed for (fp64): x = -3.97725629944468; diff = 2.22044604925031e-16; -633/1000
Check failed for (fp64): x = -3.96468992883032; diff = 2.22044604925031e-16; -631/1000
Check failed for (fp64): x = -3.95840674352314; diff = 4.44089209850063e-16; -630/1000
Check failed for (fp64): x = -3.95212355821596; diff = 4.44089209850063e-16; -629/1000
Check failed for (fp64): x = -3.94584037290878; diff = 2.22044604925031e-16; -628/1000
Check failed for (fp64): x = -3.93327400229442; diff = 6.66133814775094e-16; -626/1000
Check failed for (fp64): x = -3.92699081698724; diff = 4.44089209850063e-16; -625/1000
Check failed for (fp64): x = -3.92070763168006; diff = 4.44089209850063e-16; -624/1000
Check failed for (fp64): x = -3.87044214922263; diff = 4.44089209850063e-16; -616/1000
Check failed for (fp64): x = -3.83902622268673; diff = 4.44089209850063e-16; -611/1000
Check failed for (fp64): x = -3.83274303737955; diff = 4.44089209850063e-16; -610/1000
Check failed for (fp64): x = -3.79504392553647; diff = 4.44089209850063e-16; -604/1000
Check failed for (fp64): x = -3.78876074022929; diff = 4.44089209850063e-16; -603/1000
Check failed for (fp64): x = -3.77619436961493; diff = 4.44089209850063e-16; -601/1000
Check failed for (fp64): x = -3.76991118430775; diff = 4.44089209850063e-16; -600/1000
Check failed for (fp64): x = -3.76362799900057; diff = 4.44089209850063e-16; -599/1000
Check failed for (fp64): x = -3.75106162838621; diff = 4.44089209850063e-16; -597/1000
Check failed for (fp64): x = -3.74477844307903; diff = 4.44089209850063e-16; -596/1000
Check failed for (fp64): x = -3.73221207246467; diff = 4.44089209850063e-16; -594/1000
Check failed for (fp64): x = -3.72592888715749; diff = 4.44089209850063e-16; -593/1000
Check failed for (fp64): x = -3.71964570185032; diff = 4.44089209850063e-16; -592/1000
Check failed for (fp64): x = -3.71336251654314; diff = 4.44089209850063e-16; -591/1000
Check failed for (fp64): x = -3.70707933123596; diff = 4.44089209850063e-16; -590/1000
Check failed for (fp64): x = -3.70079614592878; diff = 4.44089209850063e-16; -589/1000
Check failed for (fp64): x = -3.6945129606216; diff = 4.44089209850063e-16; -588/1000
Check failed for (fp64): x = -3.68822977531442; diff = 4.44089209850063e-16; -587/1000
Check failed for (fp64): x = -3.68194659000724; diff = 4.44089209850063e-16; -586/1000
Check failed for (fp64): x = -3.67566340470006; diff = 1.33226762955019e-15; -585/1000
Check failed for (fp64): x = -3.6630970340857; diff = 8.88178419700125e-16; -583/1000
Check failed for (fp64): x = -3.65053066347134; diff = 8.88178419700125e-16; -581/1000
Check failed for (fp64): x = -3.64424747816416; diff = 8.88178419700125e-16; -580/1000
Check failed for (fp64): x = -3.63796429285698; diff = 8.88178419700125e-16; -579/1000
Check failed for (fp64): x = -3.62539792224262; diff = 8.88178419700125e-16; -577/1000
Check failed for (fp64): x = -3.61283155162826; diff = 8.88178419700125e-16; -575/1000
Check failed for (fp64): x = -3.60654836632108; diff = 8.88178419700125e-16; -574/1000
Check failed for (fp64): x = -3.59398199570672; diff = 8.88178419700125e-16; -572/1000
Check failed for (fp64): x = -3.57513243978518; diff = 8.88178419700125e-16; -569/1000
Check failed for (fp64): x = -3.568849254478; diff = 1.77635683940025e-15; -568/1000
Check failed for (fp64): x = -3.56256606917082; diff = 8.88178419700125e-16; -567/1000
Check failed for (fp64): x = -3.54371651324929; diff = 8.88178419700125e-16; -564/1000
Check failed for (fp64): x = -3.53743332794211; diff = 8.88178419700125e-16; -563/1000
Check failed for (fp64): x = -3.53115014263493; diff = 1.77635683940025e-15; -562/1000
Check failed for (fp64): x = -3.51230058671339; diff = 8.88178419700125e-16; -559/1000
Check failed for (fp64): x = -3.50601740140621; diff = 1.77635683940025e-15; -558/1000
Check failed for (fp64): x = -3.49345103079185; diff = 1.77635683940025e-15; -556/1000
Check failed for (fp64): x = -3.47460147487031; diff = 1.77635683940025e-15; -553/1000
Check failed for (fp64): x = -3.46203510425595; diff = 3.5527136788005e-15; -551/1000
Check failed for (fp64): x = -3.44318554833441; diff = 1.77635683940025e-15; -548/1000
Check failed for (fp64): x = -3.43061917772005; diff = 1.77635683940025e-15; -546/1000
Check failed for (fp64): x = -3.42433599241287; diff = 3.5527136788005e-15; -545/1000
Check failed for (fp64): x = -3.41176962179852; diff = 1.77635683940025e-15; -543/1000
Check failed for (fp64): x = -3.40548643649134; diff = 3.5527136788005e-15; -542/1000
Check failed for (fp64): x = -3.39920325118416; diff = 3.5527136788005e-15; -541/1000
Check failed for (fp64): x = -3.38035369526262; diff = 3.5527136788005e-15; -538/1000
Check failed for (fp64): x = -3.37407050995544; diff = 3.5527136788005e-15; -537/1000
Check failed for (fp64): x = -3.36150413934108; diff = 3.5527136788005e-15; -535/1000
Check failed for (fp64): x = -3.3552209540339; diff = 7.105427357601e-15; -534/1000
Check failed for (fp64): x = -3.34893776872672; diff = 7.105427357601e-15; -533/1000
Check failed for (fp64): x = -3.34265458341954; diff = 1.06581410364015e-14; -532/1000
Check failed for (fp64): x = -3.33637139811236; diff = 7.105427357601e-15; -531/1000
Check failed for (fp64): x = -3.33008821280518; diff = 7.105427357601e-15; -530/1000
Check failed for (fp64): x = -3.323805027498; diff = 3.5527136788005e-15; -529/1000
Check failed for (fp64): x = -3.31123865688364; diff = 7.105427357601e-15; -527/1000
Check failed for (fp64): x = -3.30495547157646; diff = 7.105427357601e-15; -526/1000
Check failed for (fp64): x = -3.2923891009621; diff = 7.105427357601e-15; -524/1000
Check failed for (fp64): x = -3.28610591565492; diff = 1.4210854715202e-14; -523/1000
Check failed for (fp64): x = -3.27982273034774; diff = 7.105427357601e-15; -522/1000
Check failed for (fp64): x = -3.26725635973339; diff = 7.105427357601e-15; -520/1000
Check failed for (fp64): x = -3.26097317442621; diff = 1.4210854715202e-14; -519/1000
Check failed for (fp64): x = -3.25468998911903; diff = 1.4210854715202e-14; -518/1000
Check failed for (fp64): x = -3.24840680381185; diff = 1.4210854715202e-14; -517/1000
Check failed for (fp64): x = -3.24212361850467; diff = 1.4210854715202e-14; -516/1000
Check failed for (fp64): x = -3.22955724789031; diff = 2.8421709430404e-14; -514/1000
Check failed for (fp64): x = -3.22327406258313; diff = 2.8421709430404e-14; -513/1000
Check failed for (fp64): x = -3.21699087727595; diff = 2.8421709430404e-14; -512/1000
Check failed for (fp64): x = -3.21070769196877; diff = 8.5265128291212e-14; -511/1000
Check failed for (fp64): x = -3.20442450666159; diff = 8.5265128291212e-14; -510/1000
Check failed for (fp64): x = -3.19814132135441; diff = 1.13686837721616e-13; -509/1000
Check failed for (fp64): x = -3.18557495074005; diff = 1.13686837721616e-13; -507/1000
Check failed for (fp64): x = -3.17300858012569; diff = 1.13686837721616e-13; -505/1000
Check failed for (fp64): x = -3.15415902420415; diff = 9.09494701772928e-13; -502/1000
Check failed for (fp64): x = -3.14159265358979; diff = 4.40440538346875e+27; -500/1000
Check failed for (fp64): x = -3.13530946828261; diff = 1.09139364212751e-11; -499/1000
Check failed for (fp64): x = -3.12902628297543; diff = 1.81898940354586e-12; -498/1000
Check failed for (fp64): x = -3.12274309766825; diff = 1.36424205265939e-12; -497/1000
