Check failed for (fp128): x = -5.409822549481623956632671906007303743e+00; diff = 1.925929944387235853055977942584927319e-34; -861/1000
Check failed for (fp128): x = -5.397256178867264783678821332474185942e+00; diff = 1.925929944387235853055977942584927319e-34; -859/1000
Check failed for (fp128): x = -5.384689808252905610724970758941068140e+00; diff = 1.925929944387235853055977942584927319e-34; -857/1000
Check failed for (fp128): x = -5.378406622945726024248045472174508469e+00; diff = 1.925929944387235853055977942584927319e-34; -856/1000
Check failed for (fp128): x = -5.372123437638546437771120185407949568e+00; diff = 1.925929944387235853055977942584927319e-34; -855/1000
Check failed for (fp128): x = -5.365840252331366851294194898641390667e+00; diff = 1.925929944387235853055977942584927319e-34; -854/1000
Check failed for (fp128): x = -5.359557067024187264817269611874831766e+00; diff = 1.925929944387235853055977942584927319e-34; -853/1000
Check failed for (fp128): x = -5.353273881717007678340344325108272866e+00; diff = 1.925929944387235853055977942584927319e-34; -852/1000
Check failed for (fp128): x = -5.340707511102648505386493751575154293e+00; diff = 1.925929944387235853055977942584927319e-34; -850/1000
Check failed for (fp128): x = -5.334424325795468918909568464808595393e+00; diff = 1.925929944387235853055977942584927319e-34; -849/1000
Check failed for (fp128): x = -5.328141140488289332432643178042036492e+00; diff = 1.925929944387235853055977942584927319e-34; -848/1000
Check failed for (fp128): x = -5.321857955181109745955717891275477591e+00; diff = 1.925929944387235853055977942584927319e-34; -847/1000
Check failed for (fp128): x = -5.284158843338032227094166170676123416e+00; diff = 1.925929944387235853055977942584927319e-34; -841/1000
Check failed for (fp128): x = -5.252742916802134294709539736843328912e+00; diff = 1.925929944387235853055977942584927319e-34; -836/1000
Check failed for (fp128): x = -5.240176546187775121755689163310210340e+00; diff = 1.925929944387235853055977942584927319e-34; -834/1000
Check failed for (fp128): x = -5.221326990266236362324913303010533637e+00; diff = 1.925929944387235853055977942584927319e-34; -831/1000
Check failed for (fp128): x = -5.208760619651877189371062729477415835e+00; diff = 1.925929944387235853055977942584927319e-34; -829/1000
Check failed for (fp128): x = -5.202477434344697602894137442710856935e+00; diff = 1.925929944387235853055977942584927319e-34; -828/1000
