Check failed for (fp80): alpha = -6.28318530717958647703; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp80): alpha = -3.70079614592877643498; diff1 = 1.08420217248550443401e-19; diff2 = 3.19570241367415867288; -589/1000
Check failed for (fp80): alpha = -3.69451296062159684837; diff1 = 2.16840434497100886801e-19; diff2 = 3.24080575582033887845; -588/1000
Check failed for (fp80): alpha = -3.68822977531441726219; diff1 = 3.25260651745651330202e-19; diff2 = 3.28683697774442365631; -587/1000
Check failed for (fp80): alpha = -3.67566340470005808896; diff1 = 1.08420217248550443401e-19; diff2 = 3.38181531157002249373; -585/1000
Check failed for (fp80): alpha = -3.66309703408569891617; diff1 = 1.08420217248550443401e-19; diff2 = 3.48091780292636491677; -583/1000
Check failed for (fp80): alpha = -3.65681384877851932977; diff1 = 1.08420217248550443401e-19; diff2 = 3.53211068797261002828; -582/1000
Check failed for (fp80): alpha = -3.65053066347133974316; diff1 = 2.16840434497100886801e-19; diff2 = 3.58445245554307682229; -581/1000
Check failed for (fp80): alpha = -3.64424747816416015654; diff1 = 1.08420217248550443401e-19; diff2 = 3.63798649456213255178; -580/1000
Check failed for (fp80): alpha = -3.63168110754980098375; diff1 = 3.25260651745651330202e-19; diff2 = 3.74881604398857071593; -578/1000
Check failed for (fp80): alpha = -3.62539792224262139714; diff1 = 3.25260651745651330202e-19; diff2 = 3.80620986622778006763; -577/1000
Check failed for (fp80): alpha = -3.61911473693544181074; diff1 = 1.08420217248550443401e-19; diff2 = 3.86499289856836394843; -576/1000
Check failed for (fp80): alpha = -3.61283155162826222413; diff1 = 3.25260651745651330202e-19; diff2 = 3.92522101101030116517; -575/1000
Check failed for (fp80): alpha = -3.60654836632108263795; diff1 = 1.08420217248550443401e-19; diff2 = 3.9869530886802265375; -574/1000
Check failed for (fp80): alpha = -3.60026518101390305133; diff1 = 2.16840434497100886801e-19; diff2 = 4.05025123838502004118; -573/1000
Check failed for (fp80): alpha = -3.59398199570672346472; diff1 = 2.16840434497100886801e-19; diff2 = 4.11518101237747473305; -572/1000
Check failed for (fp80): alpha = -3.58769881039954387854; diff1 = 2.16840434497100886801e-19; diff2 = 4.18181165103101864285; -571/1000
Check failed for (fp80): alpha = -3.58141562509236429193; diff1 = 6.50521303491302660404e-19; diff2 = 4.25021634631440552079; -570/1000
Check failed for (fp80): alpha = -3.56884925447800511892; diff1 = 2.16840434497100886801e-19; diff2 = 4.39266217619974060158; -568/1000
Check failed for (fp80): alpha = -3.5625660691708255323; diff1 = 4.33680868994201773603e-19; diff2 = 4.4668721591617470911; -567/1000
Check failed for (fp80): alpha = -3.55628288386364594612; diff1 = 2.16840434497100886801e-19; diff2 = 4.54319460546597321798; -566/1000
Check failed for (fp80): alpha = -3.54999969855646635951; diff1 = 4.33680868994201773603e-19; diff2 = 4.62172730776482127389; -565/1000
Check failed for (fp80): alpha = -3.54371651324928677289; diff1 = 2.16840434497100886801e-19; diff2 = 4.70257416551560782515; -564/1000
Check failed for (fp80): alpha = -3.5311501426349276001; diff1 = 2.16840434497100886801e-19; diff2 = 4.87165943435322265024; -562/1000
Check failed for (fp80): alpha = -3.5248669573277480137; diff1 = 2.16840434497100886801e-19; diff2 = 4.96014078062265804589; -561/1000
Check failed for (fp80): alpha = -3.51858377202056842709; diff1 = 4.33680868994201773603e-19; diff2 = 5.05142337889460998901; -560/1000
Check failed for (fp80): alpha = -3.51230058671338884048; diff1 = 2.16840434497100886801e-19; diff2 = 5.14564995647834482698; -559/1000
Check failed for (fp80): alpha = -3.5060174014062092543; diff1 = 2.16840434497100886801e-19; diff2 = 5.24297307839350362323; -558/1000
Check failed for (fp80): alpha = -3.49973421609902966768; diff1 = 4.33680868994201773603e-19; diff2 = 5.34355601036264139412; -557/1000
Check failed for (fp80): alpha = -3.48716784548467049489; diff1 = 2.16840434497100886801e-19; diff2 = 5.55521370782994977459; -555/1000
Check failed for (fp80): alpha = -3.48088466017749090828; diff1 = 6.50521303491302660404e-19; diff2 = 5.66667764205016825495; -554/1000
Check failed for (fp80): alpha = -3.47460147487031132188; diff1 = 1.08420217248550443401e-18; diff2 = 5.78218221191762559927; -553/1000
Check failed for (fp80): alpha = -3.46831828956313173527; diff1 = 2.16840434497100886801e-19; diff2 = 5.90196081837345384088; -552/1000
Check failed for (fp80): alpha = -3.46203510425595214865; diff1 = 4.33680868994201773603e-19; diff2 = 6.02626516226095600148; -551/1000
Check failed for (fp80): alpha = -3.45575191894877256247; diff1 = 6.50521303491302660404e-19; diff2 = 6.15536707435050680064; -550/1000
Check failed for (fp80): alpha = -3.44946873364159297586; diff1 = 2.16840434497100886801e-19; diff2 = 6.28956056944832849094; -549/1000
Check failed for (fp80): alpha = -3.43690236302723380285; diff1 = 8.67361737988403547206e-19; diff2 = 6.57452344830631227237; -547/1000
Check failed for (fp80): alpha = -3.43061917772005421623; diff1 = 1.08420217248550443401e-18; diff2 = 6.7260140996143821697; -546/1000
Check failed for (fp80): alpha = -3.42433599241287463005; diff1 = 6.50521303491302660404e-19; diff2 = 6.8840451533384372524; -545/1000
Check failed for (fp80): alpha = -3.41805280710569504344; diff1 = 6.50521303491302660404e-19; diff2 = 7.04906283051451423936; -544/1000
