Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 3.851859888774471706111955885169854637e-34; -999/1000
Check failed for (fp128): alpha = -4.077787264359551623524511111496795198e+00; beta = -1.019446816089887905881127777874198800e+00; diff = 1.925929944387235853055977942584927319e-34; -649/1000
Check failed for (fp128): alpha = -4.040088152516474104662959390897440252e+00; beta = -1.010022038129118526165739847724360063e+00; diff = 2.166671187435640334687975185408043233e-34; -643/1000
Check failed for (fp128): alpha = -4.021238596594935345232183530597763550e+00; beta = -1.005309649148733836308045882649440887e+00; diff = 1.925929944387235853055977942584927319e-34; -640/1000
Check failed for (fp128): alpha = -3.939557187601600721032154802632496298e+00; beta = -9.848892969004001802580387006581240746e-01; diff = 2.407412430484044816319972428231159148e-34; -627/1000
Check failed for (fp128): alpha = -3.926990816987241548078304229099378497e+00; beta = -9.817477042468103870195760572748446242e-01; diff = 2.407412430484044816319972428231159148e-34; -625/1000
Check failed for (fp128): alpha = -3.920707631680061961601378942332819596e+00; beta = -9.801769079200154904003447355832048990e-01; diff = 2.407412430484044816319972428231159148e-34; -624/1000
Check failed for (fp128): alpha = -3.581415625092364291847413456938632789e+00; beta = -8.953539062730910729618533642346581971e-01; diff = 1.925929944387235853055977942584927319e-34; -570/1000
Check failed for (fp128): alpha = -3.575132439785184705370488170172073888e+00; beta = -8.937831099462961763426220425430184719e-01; diff = 1.925929944387235853055977942584927319e-34; -569/1000
Check failed for (fp128): alpha = -3.462035104255952148785833008374012132e+00; beta = -8.655087760639880371964582520935030330e-01; diff = 2.407412430484044816319972428231159148e-34; -551/1000
Check failed for (fp128): alpha = -3.367787324648258351631953706875627079e+00; beta = -8.419468311620645879079884267189067698e-01; diff = 1.925929944387235853055977942584927319e-34; -536/1000
Check failed for (fp128): alpha = -3.355220954033899178678103133342509277e+00; beta = -8.388052385084747946695257833356273193e-01; diff = 1.925929944387235853055977942584927319e-34; -534/1000
Check failed for (fp128): alpha = -3.097610356439536133124166375913589721e+00; beta = -7.744025891098840332810415939783974303e-01; diff = 1.925929944387235853055977942584927319e-34; -493/1000
Check failed for (fp128): alpha = -3.003362576831842335970287074415204668e+00; beta = -7.508406442079605839925717686038011671e-01; diff = 1.925929944387235853055977942584927319e-34; -478/1000
Check failed for (fp128): alpha = -1.947787445225671807846838897633291804e+00; beta = -4.869468613064179519617097244083229509e-01; diff = 1.925929944387235853055977942584927319e-34; -310/1000
Check failed for (fp128): alpha = -1.928937889304133048416063037333614716e+00; beta = -4.822344723260332621040157593334036790e-01; diff = 1.925929944387235853055977942584927319e-34; -307/1000
Check failed for (fp128): alpha = -1.922654703996953461939137750567055815e+00; beta = -4.806636759992383654847844376417639538e-01; diff = 1.925929944387235853055977942584927319e-34; -306/1000
Check failed for (fp128): alpha = -1.796990997853361732400632015235875680e+00; beta = -4.492477494633404331001580038089689201e-01; diff = 1.925929944387235853055977942584927319e-34; -286/1000
Check failed for (fp128): alpha = -1.765575071317463800016005581403080598e+00; beta = -4.413937678293659500040013953507701496e-01; diff = 1.925929944387235853055977942584927319e-34; -281/1000
Check failed for (fp128): alpha = -1.652477735788231243431350419605018458e+00; beta = -4.131194339470578108578376049012546144e-01; diff = 1.925929944387235853055977942584927319e-34; -263/1000
Check failed for (fp128): alpha = -1.627344994559512897523649272538782277e+00; beta = -4.068362486398782243809123181346955691e-01; diff = 2.888894916580853779583966913877390978e-34; -259/1000
Check failed for (fp128): alpha = -1.621061809252333311046723985772223376e+00; beta = -4.052654523130833277616809964430558439e-01; diff = 1.925929944387235853055977942584927319e-34; -258/1000
Check failed for (fp128): alpha = -1.614778623945153724569798699005664475e+00; beta = -4.036946559862884311424496747514161187e-01; diff = 1.925929944387235853055977942584927319e-34; -257/1000
Check failed for (fp128): alpha = -1.476548547187202822077442390141366153e+00; beta = -3.691371367968007055193605975353415383e-01; diff = 1.925929944387235853055977942584927319e-34; -235/1000
Check failed for (fp128): alpha = -1.470265361880023235600517103374807445e+00; beta = -3.675663404700058089001292758437018612e-01; diff = 1.925929944387235853055977942584927319e-34; -234/1000
Check failed for (fp128): alpha = -1.463982176572843649123591816608248351e+00; beta = -3.659955441432109122808979541520620878e-01; diff = 1.925929944387235853055977942584927319e-34; -233/1000
Check failed for (fp128): alpha = -1.451415805958484476169741243075130165e+00; beta = -3.628539514896211190424353107687825411e-01; diff = 1.925929944387235853055977942584927319e-34; -231/1000
Check failed for (fp128): alpha = -1.426283064729766130262040096008894176e+00; beta = -3.565707661824415325655100240022235440e-01; diff = 1.925929944387235853055977942584927319e-34; -227/1000
Check failed for (fp128): alpha = -1.401150323501047784354338948942658188e+00; beta = -3.502875808752619460885847372356645469e-01; diff = 1.925929944387235853055977942584927319e-34; -223/1000
Check failed for (fp128): alpha = -1.394867138193868197877413662176099094e+00; beta = -3.487167845484670494693534155440247735e-01; diff = 1.925929944387235853055977942584927319e-34; -222/1000
Check failed for (fp128): alpha = -1.357168026350790679015861941576745304e+00; beta = -3.392920065876976697539654853941863260e-01; diff = 1.925929944387235853055977942584927319e-34; -216/1000
Check failed for (fp128): alpha = -1.350884841043611092538936654810186211e+00; beta = -3.377212102609027731347341637025465527e-01; diff = 1.925929944387235853055977942584927319e-34; -215/1000
Check failed for (fp128): alpha = -1.344601655736431506062011368043627117e+00; beta = -3.361504139341078765155028420109067793e-01; diff = 1.925929944387235853055977942584927319e-34; -214/1000
Check failed for (fp128): alpha = -1.319468914507713160154310220977391129e+00; beta = -3.298672286269282900385775552443477822e-01; diff = 1.925929944387235853055977942584927319e-34; -210/1000
Check failed for (fp128): alpha = -1.306902543893353987200459647444273134e+00; beta = -3.267256359733384968001149118610682836e-01; diff = 1.925929944387235853055977942584927319e-34; -208/1000
Check failed for (fp128): alpha = -1.288052987971815227769683787144596047e+00; beta = -3.220132469929538069424209467861490117e-01; diff = 1.925929944387235853055977942584927319e-34; -205/1000
Check failed for (fp128): alpha = -1.281769802664635641292758500378037146e+00; beta = -3.204424506661589103231896250945092865e-01; diff = 1.925929944387235853055977942584927319e-34; -204/1000
Check failed for (fp128): alpha = -1.275486617357456054815833213611478245e+00; beta = -3.188716543393640137039583034028695613e-01; diff = 1.925929944387235853055977942584927319e-34; -203/1000
Check failed for (fp128): alpha = -1.262920246743096881861982640078360058e+00; beta = -3.157300616857742204654956600195900146e-01; diff = 1.925929944387235853055977942584927319e-34; -201/1000
Check failed for (fp128): alpha = -1.206371578978480603569655059179328988e+00; beta = -3.015928947446201508924137647948322470e-01; diff = 1.925929944387235853055977942584927319e-34; -192/1000
Check failed for (fp128): alpha = -1.156106096521043911754252765046857011e+00; beta = -2.890265241302609779385631912617142527e-01; diff = 1.925929944387235853055977942584927319e-34; -184/1000
Check failed for (fp128): alpha = -1.143539725906684738800402191513739017e+00; beta = -2.858849314766711847001005478784347542e-01; diff = 1.925929944387235853055977942584927319e-34; -182/1000
Check failed for (fp128): alpha = -1.105840614063607219938850470914385034e+00; beta = -2.764601535159018049847126177285962585e-01; diff = 1.925929944387235853055977942584927319e-34; -176/1000
Check failed for (fp128): alpha = -1.099557428756427633461925184147825941e+00; beta = -2.748893571891069083654812960369564851e-01; diff = 1.925929944387235853055977942584927319e-34; -175/1000
Check failed for (fp128): alpha = -1.093274243449248046984999897381267040e+00; beta = -2.733185608623120117462499743453167599e-01; diff = 1.925929944387235853055977942584927319e-34; -174/1000
Check failed for (fp128): alpha = -1.086991058142068460508074610614707946e+00; beta = -2.717477645355171151270186526536769866e-01; diff = 1.925929944387235853055977942584927319e-34; -173/1000
Check failed for (fp128): alpha = -1.061858316913350114600373463548471958e+00; beta = -2.654645792283375286500933658871179895e-01; diff = 1.925929944387235853055977942584927319e-34; -169/1000
Check failed for (fp128): alpha = -1.030442390377452182215747029715676876e+00; beta = -2.576105975943630455539367574289192190e-01; diff = 1.925929944387235853055977942584927319e-34; -164/1000
Check failed for (fp128): alpha = -1.024159205070272595738821742949117975e+00; beta = -2.560398012675681489347054357372794938e-01; diff = 1.925929944387235853055977942584927319e-34; -163/1000
Check failed for (fp128): alpha = -1.011592834455913422784971169415999981e+00; beta = -2.528982086139783556962427923539999952e-01; diff = 1.925929944387235853055977942584927319e-34; -161/1000
Check failed for (fp128): alpha = -9.990264638415542498311205958828818904e-01; beta = -2.497566159603885624577801489707204726e-01; diff = 1.925929944387235853055977942584927319e-34; -159/1000
Check failed for (fp128): alpha = -9.927432785343746633541953091163227970e-01; beta = -2.481858196335936658385488272790806992e-01; diff = 1.925929944387235853055977942584927319e-34; -158/1000
Check failed for (fp128): alpha = -9.676105373056563174464941620500868085e-01; beta = -2.419026343264140793616235405125217021e-01; diff = 1.925929944387235853055977942584927319e-34; -154/1000
Check failed for (fp128): alpha = -9.613273519984767309695688752835279076e-01; beta = -2.403318379996191827423922188208819769e-01; diff = 1.925929944387235853055977942584927319e-34; -153/1000
Check failed for (fp128): alpha = -9.299114254625787985849424414507329220e-01; beta = -2.324778563656446996462356103626832305e-01; diff = 1.925929944387235853055977942584927319e-34; -148/1000
Check failed for (fp128): alpha = -9.173450548482196256310918679176148315e-01; beta = -2.293362637120549064077729669794037079e-01; diff = 3.851859888774471706111955885169854637e-34; -146/1000
Check failed for (fp128): alpha = -8.984954989266808662003160076179378401e-01; beta = -2.246238747316702165500790019044844600e-01; diff = 1.925929944387235853055977942584927319e-34; -143/1000
Check failed for (fp128): alpha = -8.922123136195012797233907208513787467e-01; beta = -2.230530784048753199308476802128446867e-01; diff = 1.925929944387235853055977942584927319e-34; -142/1000
Check failed for (fp128): alpha = -8.859291283123216932464654340848197496e-01; beta = -2.214822820780804233116163585212049374e-01; diff = 1.925929944387235853055977942584927319e-34; -141/1000
Check failed for (fp128): alpha = -8.607963870836033473387642870185837611e-01; beta = -2.151990967709008368346910717546459403e-01; diff = 1.925929944387235853055977942584927319e-34; -137/1000
Check failed for (fp128): alpha = -8.545132017764237608618390002520246677e-01; beta = -2.136283004441059402154597500630061669e-01; diff = 1.925929944387235853055977942584927319e-34; -136/1000
Check failed for (fp128): alpha = -8.482300164692441743849137134854657669e-01; beta = -2.120575041173110435962284283713664417e-01; diff = 1.925929944387235853055977942584927319e-34; -135/1000
Check failed for (fp128): alpha = -8.419468311620645879079884267189067698e-01; beta = -2.104867077905161469769971066797266924e-01; diff = 1.925929944387235853055977942584927319e-34; -134/1000
Check failed for (fp128): alpha = -8.230972752405258284772125664192297784e-01; beta = -2.057743188101314571193031416048074446e-01; diff = 1.925929944387235853055977942584927319e-34; -131/1000
Check failed for (fp128): alpha = -8.042477193189870690464367061195526907e-01; beta = -2.010619298297467672616091765298881727e-01; diff = 1.925929944387235853055977942584927319e-34; -128/1000
Check failed for (fp128): alpha = -7.853981633974483096156608458198756994e-01; beta = -1.963495408493620774039152114549689248e-01; diff = 1.925929944387235853055977942584927319e-34; -125/1000
Check failed for (fp128): alpha = -7.728317927830891366618102722867577051e-01; beta = -1.932079481957722841654525680716894263e-01; diff = 1.925929944387235853055977942584927319e-34; -123/1000
Check failed for (fp128): alpha = -7.665486074759095501848849855201986117e-01; beta = -1.916371518689773875462212463800496529e-01; diff = 1.925929944387235853055977942584927319e-34; -122/1000
Check failed for (fp128): alpha = -7.414158662471912042771838384539626232e-01; beta = -1.853539665617978010692959596134906558e-01; diff = 1.925929944387235853055977942584927319e-34; -118/1000
Check failed for (fp128): alpha = -7.162831250184728583694826913877266347e-01; beta = -1.790707812546182145923706728469316587e-01; diff = 1.925929944387235853055977942584927319e-34; -114/1000
Check failed for (fp128): alpha = -7.037167544041136854156321178546086405e-01; beta = -1.759291886010284213539080294636521601e-01; diff = 1.925929944387235853055977942584927319e-34; -112/1000
Check failed for (fp128): alpha = -6.785840131753953395079309707883726520e-01; beta = -1.696460032938488348769827426970931630e-01; diff = 1.925929944387235853055977942584927319e-34; -108/1000
Check failed for (fp128): alpha = -6.660176425610361665540803972552545615e-01; beta = -1.665044106402590416385200993138136404e-01; diff = 1.925929944387235853055977942584927319e-34; -106/1000
Check failed for (fp128): alpha = -6.283185307179586476925286766559005788e-01; beta = -1.570796326794896619231321691639751447e-01; diff = 1.925929944387235853055977942584927319e-34; -100/1000
Check failed for (fp128): alpha = -6.220353454107790612156033898893415816e-01; beta = -1.555088363526947653039008474723353954e-01; diff = 1.925929944387235853055977942584927319e-34; -99/1000
Check failed for (fp128): alpha = -6.031857894892403017848275295896644940e-01; beta = -1.507964473723100754462068823974161235e-01; diff = 1.925929944387235853055977942584927319e-34; -96/1000
Check failed for (fp128): alpha = -5.906194188748811288309769560565464997e-01; beta = -1.476548547187202822077442390141366249e-01; diff = 1.925929944387235853055977942584927319e-34; -94/1000
Check failed for (fp128): alpha = -5.780530482605219558771263825234285055e-01; beta = -1.445132620651304889692815956308571264e-01; diff = 1.925929944387235853055977942584927319e-34; -92/1000
Check failed for (fp128): alpha = -5.717698629533423694002010957568695084e-01; beta = -1.429424657383355923500502739392173771e-01; diff = 1.925929944387235853055977942584927319e-34; -91/1000
Check failed for (fp128): alpha = -5.654866776461627829232758089903105112e-01; beta = -1.413716694115406957308189522475776278e-01; diff = 1.925929944387235853055977942584927319e-34; -90/1000
Check failed for (fp128): alpha = -5.592034923389831964463505222237515141e-01; beta = -1.398008730847457991115876305559378785e-01; diff = 1.925929944387235853055977942584927319e-34; -89/1000
Check failed for (fp128): alpha = -5.466371217246240234924999486906335199e-01; beta = -1.366592804311560058731249871726583800e-01; diff = 1.925929944387235853055977942584927319e-34; -87/1000
Check failed for (fp128): alpha = -5.026548245743669181540229413247204437e-01; beta = -1.256637061435917295385057353311801109e-01; diff = 1.925929944387235853055977942584927319e-34; -80/1000
Check failed for (fp128): alpha = -4.838052686528281587232470810250434042e-01; beta = -1.209513171632070396808117702562608511e-01; diff = 1.925929944387235853055977942584927319e-34; -77/1000
Check failed for (fp128): alpha = -4.712388980384689857693965074919254100e-01; beta = -1.178097245096172464423491268729813525e-01; diff = 1.925929944387235853055977942584927319e-34; -75/1000
Check failed for (fp128): alpha = -4.586725274241098128155459339588074158e-01; beta = -1.146681318560274532038864834897018539e-01; diff = 1.925929944387235853055977942584927319e-34; -73/1000
Check failed for (fp128): alpha = -4.523893421169302263386206471922484186e-01; beta = -1.130973355292325565846551617980621047e-01; diff = 1.925929944387235853055977942584927319e-34; -72/1000
Check failed for (fp128): alpha = -4.398229715025710533847700736591304244e-01; beta = -1.099557428756427633461925184147826061e-01; diff = 1.925929944387235853055977942584927319e-34; -70/1000
Check failed for (fp128): alpha = -4.335397861953914669078447868925713791e-01; beta = -1.083849465488478667269611967231428448e-01; diff = 1.925929944387235853055977942584927319e-34; -69/1000
Check failed for (fp128): alpha = -4.272566008882118804309195001260123338e-01; beta = -1.068141502220529701077298750315030835e-01; diff = 1.925929944387235853055977942584927319e-34; -68/1000
Check failed for (fp128): alpha = -4.209734155810322939539942133594533849e-01; beta = -1.052433538952580734884985533398633462e-01; diff = 1.925929944387235853055977942584927319e-34; -67/1000
Check failed for (fp128): alpha = -4.146902302738527074770689265928943396e-01; beta = -1.036725575684631768692672316482235849e-01; diff = 1.925929944387235853055977942584927319e-34; -66/1000
Check failed for (fp128): alpha = -4.084070449666731210001436398263353906e-01; beta = -1.021017612416682802500359099565838477e-01; diff = 1.925929944387235853055977942584927319e-34; -65/1000
Check failed for (fp128): alpha = -3.832743037379547750924424927600993059e-01; beta = -9.581857593448869377311062319002482646e-02; diff = 1.925929944387235853055977942584927319e-34; -61/1000
Check failed for (fp128): alpha = -3.769911184307751886155172059935403087e-01; beta = -9.424777960769379715387930149838507718e-02; diff = 1.925929944387235853055977942584927319e-34; -60/1000
Check failed for (fp128): alpha = -3.707079331235956021385919192269813116e-01; beta = -9.267698328089890053464797980674532790e-02; diff = 1.925929944387235853055977942584927319e-34; -59/1000
Check failed for (fp128): alpha = -3.644247478164160156616666324604223145e-01; beta = -9.110618695410400391541665811510557862e-02; diff = 1.925929944387235853055977942584927319e-34; -58/1000
Check failed for (fp128): alpha = -3.581415625092364291847413456938633174e-01; beta = -8.953539062730910729618533642346582934e-02; diff = 1.925929944387235853055977942584927319e-34; -57/1000
Check failed for (fp128): alpha = -3.518583772020568427078160589273043203e-01; beta = -8.796459430051421067695401473182608006e-02; diff = 1.925929944387235853055977942584927319e-34; -56/1000
Check failed for (fp128): alpha = -3.330088212805180832770401986276272807e-01; beta = -8.325220532012952081926004965690682019e-02; diff = 1.925929944387235853055977942584927319e-34; -53/1000
Check failed for (fp128): alpha = -3.267256359733384968001149118610682836e-01; beta = -8.168140899333462420002872796526707090e-02; diff = 1.925929944387235853055977942584927319e-34; -52/1000
Check failed for (fp128): alpha = -3.015928947446201508924137647948322470e-01; beta = -7.539822368615503772310344119870806175e-02; diff = 1.925929944387235853055977942584927319e-34; -48/1000
Check failed for (fp128): alpha = -2.764601535159018049847126177285962585e-01; beta = -6.911503837897545124617815443214906463e-02; diff = 1.925929944387235853055977942584927319e-34; -44/1000
Check failed for (fp128): alpha = -2.638937829015426320308620441954782161e-01; beta = -6.597344572538565800771551104886955403e-02; diff = 1.925929944387235853055977942584927319e-34; -42/1000
Check failed for (fp128): alpha = -2.576105975943630455539367574289192190e-01; beta = -6.440264939859076138848418935722980475e-02; diff = 1.925929944387235853055977942584927319e-34; -41/1000
Check failed for (fp128): alpha = -2.513274122871834590770114706623602219e-01; beta = -6.283185307179586476925286766559005547e-02; diff = 1.925929944387235853055977942584927319e-34; -40/1000
Check failed for (fp128): alpha = -2.387610416728242861231608971292422276e-01; beta = -5.969026041820607153079022428231055691e-02; diff = 1.925929944387235853055977942584927319e-34; -38/1000
Check failed for (fp128): alpha = -2.261946710584651131693103235961242093e-01; beta = -5.654866776461627829232758089903105233e-02; diff = 1.925929944387235853055977942584927319e-34; -36/1000
Check failed for (fp128): alpha = -2.136283004441059402154597500630061669e-01; beta = -5.340707511102648505386493751575154173e-02; diff = 1.925929944387235853055977942584927319e-34; -34/1000
Check failed for (fp128): alpha = -1.947787445225671807846838897633291756e-01; beta = -4.869468613064179519617097244083229389e-02; diff = 1.925929944387235853055977942584927319e-34; -31/1000
Check failed for (fp128): alpha = -1.884955592153875943077586029967701544e-01; beta = -4.712388980384689857693965074919253859e-02; diff = 1.925929944387235853055977942584927319e-34; -30/1000
Check failed for (fp128): alpha = -1.759291886010284213539080294636521601e-01; beta = -4.398229715025710533847700736591304003e-02; diff = 1.925929944387235853055977942584927319e-34; -28/1000
Check failed for (fp128): alpha = -1.633628179866692484000574559305341418e-01; beta = -4.084070449666731210001436398263353545e-02; diff = 1.925929944387235853055977942584927319e-34; -26/1000
Check failed for (fp128): alpha = -1.570796326794896619231321691639751447e-01; beta = -3.926990816987241548078304229099378617e-02; diff = 1.925929944387235853055977942584927319e-34; -25/1000
Check failed for (fp128): alpha = -1.507964473723100754462068823974161235e-01; beta = -3.769911184307751886155172059935403087e-02; diff = 1.925929944387235853055977942584927319e-34; -24/1000
Check failed for (fp128): alpha = -1.382300767579509024923563088642981293e-01; beta = -3.455751918948772562308907721607453231e-02; diff = 1.925929944387235853055977942584927319e-34; -22/1000
Check failed for (fp128): alpha = -1.256637061435917295385057353311801109e-01; beta = -3.141592653589793238462643383279502773e-02; diff = 1.925929944387235853055977942584927319e-34; -20/1000
Check failed for (fp128): alpha = -1.068141502220529701077298750315030835e-01; beta = -2.670353755551324252693246875787577087e-02; diff = 1.925929944387235853055977942584927319e-34; -17/1000
Check failed for (fp128): alpha = -1.005309649148733836308045882649440863e-01; beta = -2.513274122871834590770114706623602159e-02; diff = 1.925929944387235853055977942584927319e-34; -16/1000
Check failed for (fp128): alpha = -9.424777960769379715387930149838507718e-02; beta = -2.356194490192344928846982537459626930e-02; diff = 1.925929944387235853055977942584927319e-34; -15/1000
Check failed for (fp128): alpha = -5.026548245743669181540229413247204317e-02; beta = -1.256637061435917295385057353311801079e-02; diff = 1.925929944387235853055977942584927319e-34; -8/1000
Check failed for (fp128): alpha = -3.769911184307751886155172059935403087e-02; beta = -9.424777960769379715387930149838507718e-03; diff = 1.925929944387235853055977942584927319e-34; -6/1000
Check failed for (fp128): alpha = -3.141592653589793238462643383279502773e-02; beta = -7.853981633974483096156608458198756934e-03; diff = 1.925929944387235853055977942584927319e-34; -5/1000
Check failed for (fp128): alpha = -1.884955592153875943077586029967701544e-02; beta = -4.712388980384689857693965074919253859e-03; diff = 1.925929944387235853055977942584927319e-34; -3/1000
Check failed for (fp128): alpha = -1.256637061435917295385057353311801079e-02; beta = -3.141592653589793238462643383279502698e-03; diff = 1.925929944387235853055977942584927319e-34; -2/1000
Check failed for (fp128): alpha = 1.256637061435917295385057353311801079e-02; beta = 3.141592653589793238462643383279502698e-03; diff = 1.925929944387235853055977942584927319e-34; 2/1000
Check failed for (fp128): alpha = 1.884955592153875943077586029967701544e-02; beta = 4.712388980384689857693965074919253859e-03; diff = 1.925929944387235853055977942584927319e-34; 3/1000
Check failed for (fp128): alpha = 3.141592653589793238462643383279502773e-02; beta = 7.853981633974483096156608458198756934e-03; diff = 1.925929944387235853055977942584927319e-34; 5/1000
Check failed for (fp128): alpha = 3.769911184307751886155172059935403087e-02; beta = 9.424777960769379715387930149838507718e-03; diff = 1.925929944387235853055977942584927319e-34; 6/1000
Check failed for (fp128): alpha = 5.026548245743669181540229413247204317e-02; beta = 1.256637061435917295385057353311801079e-02; diff = 1.925929944387235853055977942584927319e-34; 8/1000
Check failed for (fp128): alpha = 9.424777960769379715387930149838507718e-02; beta = 2.356194490192344928846982537459626930e-02; diff = 1.925929944387235853055977942584927319e-34; 15/1000
Check failed for (fp128): alpha = 1.005309649148733836308045882649440863e-01; beta = 2.513274122871834590770114706623602159e-02; diff = 1.925929944387235853055977942584927319e-34; 16/1000
Check failed for (fp128): alpha = 1.068141502220529701077298750315030835e-01; beta = 2.670353755551324252693246875787577087e-02; diff = 1.925929944387235853055977942584927319e-34; 17/1000
Check failed for (fp128): alpha = 1.256637061435917295385057353311801109e-01; beta = 3.141592653589793238462643383279502773e-02; diff = 1.925929944387235853055977942584927319e-34; 20/1000
Check failed for (fp128): alpha = 1.382300767579509024923563088642981293e-01; beta = 3.455751918948772562308907721607453231e-02; diff = 1.925929944387235853055977942584927319e-34; 22/1000
Check failed for (fp128): alpha = 1.507964473723100754462068823974161235e-01; beta = 3.769911184307751886155172059935403087e-02; diff = 1.925929944387235853055977942584927319e-34; 24/1000
Check failed for (fp128): alpha = 1.570796326794896619231321691639751447e-01; beta = 3.926990816987241548078304229099378617e-02; diff = 1.925929944387235853055977942584927319e-34; 25/1000
Check failed for (fp128): alpha = 1.633628179866692484000574559305341418e-01; beta = 4.084070449666731210001436398263353545e-02; diff = 1.925929944387235853055977942584927319e-34; 26/1000
Check failed for (fp128): alpha = 1.759291886010284213539080294636521601e-01; beta = 4.398229715025710533847700736591304003e-02; diff = 1.925929944387235853055977942584927319e-34; 28/1000
Check failed for (fp128): alpha = 1.884955592153875943077586029967701544e-01; beta = 4.712388980384689857693965074919253859e-02; diff = 1.925929944387235853055977942584927319e-34; 30/1000
Check failed for (fp128): alpha = 1.947787445225671807846838897633291756e-01; beta = 4.869468613064179519617097244083229389e-02; diff = 1.925929944387235853055977942584927319e-34; 31/1000
Check failed for (fp128): alpha = 2.136283004441059402154597500630061669e-01; beta = 5.340707511102648505386493751575154173e-02; diff = 1.925929944387235853055977942584927319e-34; 34/1000
Check failed for (fp128): alpha = 2.261946710584651131693103235961242093e-01; beta = 5.654866776461627829232758089903105233e-02; diff = 1.925929944387235853055977942584927319e-34; 36/1000
Check failed for (fp128): alpha = 2.387610416728242861231608971292422276e-01; beta = 5.969026041820607153079022428231055691e-02; diff = 1.925929944387235853055977942584927319e-34; 38/1000
Check failed for (fp128): alpha = 2.513274122871834590770114706623602219e-01; beta = 6.283185307179586476925286766559005547e-02; diff = 1.925929944387235853055977942584927319e-34; 40/1000
Check failed for (fp128): alpha = 2.576105975943630455539367574289192190e-01; beta = 6.440264939859076138848418935722980475e-02; diff = 1.925929944387235853055977942584927319e-34; 41/1000
Check failed for (fp128): alpha = 2.638937829015426320308620441954782161e-01; beta = 6.597344572538565800771551104886955403e-02; diff = 1.925929944387235853055977942584927319e-34; 42/1000
Check failed for (fp128): alpha = 2.764601535159018049847126177285962585e-01; beta = 6.911503837897545124617815443214906463e-02; diff = 1.925929944387235853055977942584927319e-34; 44/1000
Check failed for (fp128): alpha = 3.015928947446201508924137647948322470e-01; beta = 7.539822368615503772310344119870806175e-02; diff = 1.925929944387235853055977942584927319e-34; 48/1000
Check failed for (fp128): alpha = 3.267256359733384968001149118610682836e-01; beta = 8.168140899333462420002872796526707090e-02; diff = 1.925929944387235853055977942584927319e-34; 52/1000
Check failed for (fp128): alpha = 3.330088212805180832770401986276272807e-01; beta = 8.325220532012952081926004965690682019e-02; diff = 1.925929944387235853055977942584927319e-34; 53/1000
Check failed for (fp128): alpha = 3.518583772020568427078160589273043203e-01; beta = 8.796459430051421067695401473182608006e-02; diff = 1.925929944387235853055977942584927319e-34; 56/1000
Check failed for (fp128): alpha = 3.581415625092364291847413456938633174e-01; beta = 8.953539062730910729618533642346582934e-02; diff = 1.925929944387235853055977942584927319e-34; 57/1000
Check failed for (fp128): alpha = 3.644247478164160156616666324604223145e-01; beta = 9.110618695410400391541665811510557862e-02; diff = 1.925929944387235853055977942584927319e-34; 58/1000
Check failed for (fp128): alpha = 3.707079331235956021385919192269813116e-01; beta = 9.267698328089890053464797980674532790e-02; diff = 1.925929944387235853055977942584927319e-34; 59/1000
Check failed for (fp128): alpha = 3.769911184307751886155172059935403087e-01; beta = 9.424777960769379715387930149838507718e-02; diff = 1.925929944387235853055977942584927319e-34; 60/1000
Check failed for (fp128): alpha = 3.832743037379547750924424927600993059e-01; beta = 9.581857593448869377311062319002482646e-02; diff = 1.925929944387235853055977942584927319e-34; 61/1000
Check failed for (fp128): alpha = 4.084070449666731210001436398263353906e-01; beta = 1.021017612416682802500359099565838477e-01; diff = 1.925929944387235853055977942584927319e-34; 65/1000
Check failed for (fp128): alpha = 4.146902302738527074770689265928943396e-01; beta = 1.036725575684631768692672316482235849e-01; diff = 1.925929944387235853055977942584927319e-34; 66/1000
Check failed for (fp128): alpha = 4.209734155810322939539942133594533849e-01; beta = 1.052433538952580734884985533398633462e-01; diff = 1.925929944387235853055977942584927319e-34; 67/1000
Check failed for (fp128): alpha = 4.272566008882118804309195001260123338e-01; beta = 1.068141502220529701077298750315030835e-01; diff = 1.925929944387235853055977942584927319e-34; 68/1000
Check failed for (fp128): alpha = 4.335397861953914669078447868925713791e-01; beta = 1.083849465488478667269611967231428448e-01; diff = 1.925929944387235853055977942584927319e-34; 69/1000
Check failed for (fp128): alpha = 4.398229715025710533847700736591304244e-01; beta = 1.099557428756427633461925184147826061e-01; diff = 1.925929944387235853055977942584927319e-34; 70/1000
Check failed for (fp128): alpha = 4.523893421169302263386206471922484186e-01; beta = 1.130973355292325565846551617980621047e-01; diff = 1.925929944387235853055977942584927319e-34; 72/1000
Check failed for (fp128): alpha = 4.586725274241098128155459339588074158e-01; beta = 1.146681318560274532038864834897018539e-01; diff = 1.925929944387235853055977942584927319e-34; 73/1000
Check failed for (fp128): alpha = 4.712388980384689857693965074919254100e-01; beta = 1.178097245096172464423491268729813525e-01; diff = 1.925929944387235853055977942584927319e-34; 75/1000
Check failed for (fp128): alpha = 4.838052686528281587232470810250434042e-01; beta = 1.209513171632070396808117702562608511e-01; diff = 1.925929944387235853055977942584927319e-34; 77/1000
Check failed for (fp128): alpha = 5.026548245743669181540229413247204437e-01; beta = 1.256637061435917295385057353311801109e-01; diff = 1.925929944387235853055977942584927319e-34; 80/1000
