Check failed for (fp128): alpha = -5.767964111990860385817413251701167253e+00; beta = -1.441991027997715096454353312925291813e+00; diff = 7.703719777548943412223911770339709274e-34; -918/1000
Check failed for (fp128): alpha = -5.761680926683680799340487964934608352e+00; beta = -1.440420231670920199835121991233652088e+00; diff = 7.703719777548943412223911770339709274e-34; -917/1000
Check failed for (fp128): alpha = -5.755397741376501212863562678168049452e+00; beta = -1.438849435344125303215890669542012363e+00; diff = 1.540743955509788682444782354067941855e-33; -916/1000
Check failed for (fp128): alpha = -5.749114556069321626386637391401490551e+00; beta = -1.437278639017330406596659347850372638e+00; diff = 1.540743955509788682444782354067941855e-33; -915/1000
Check failed for (fp128): alpha = -5.736548185454962453432786817868371979e+00; beta = -1.434137046363740613358196704467092995e+00; diff = 1.540743955509788682444782354067941855e-33; -913/1000
Check failed for (fp128): alpha = -5.730265000147782866955861531101813078e+00; beta = -1.432566250036945716738965382775453269e+00; diff = 7.703719777548943412223911770339709274e-34; -912/1000
Check failed for (fp128): alpha = -5.723981814840603280478936244335254177e+00; beta = -1.430995453710150820119734061083813544e+00; diff = 2.311115933264683023667173531101912782e-33; -911/1000
Check failed for (fp128): alpha = -5.711415444226244107525085670802136375e+00; beta = -1.427853861056561026881271417700534094e+00; diff = 2.311115933264683023667173531101912782e-33; -909/1000
Check failed for (fp128): alpha = -5.705132258919064521048160384035576704e+00; beta = -1.426283064729766130262040096008894176e+00; diff = 7.703719777548943412223911770339709274e-34; -908/1000
Check failed for (fp128): alpha = -5.698849073611884934571235097269017803e+00; beta = -1.424712268402971233642808774317254451e+00; diff = 7.703719777548943412223911770339709274e-34; -907/1000
Check failed for (fp128): alpha = -5.686282702997525761617384523735900002e+00; beta = -1.421570675749381440404346130933975000e+00; diff = 1.540743955509788682444782354067941855e-33; -905/1000
Check failed for (fp128): alpha = -5.679999517690346175140459236969341101e+00; beta = -1.419999879422586543785114809242335275e+00; diff = 1.540743955509788682444782354067941855e-33; -904/1000
Check failed for (fp128): alpha = -5.673716332383166588663533950202782200e+00; beta = -1.418429083095791647165883487550695550e+00; diff = 7.703719777548943412223911770339709274e-34; -903/1000
Check failed for (fp128): alpha = -5.667433147075987002186608663436223299e+00; beta = -1.416858286768996750546652165859055825e+00; diff = 7.703719777548943412223911770339709274e-34; -902/1000
Check failed for (fp128): alpha = -5.661149961768807415709683376669664399e+00; beta = -1.415287490442201853927420844167416100e+00; diff = 1.540743955509788682444782354067941855e-33; -901/1000
Check failed for (fp128): alpha = -5.654866776461627829232758089903105498e+00; beta = -1.413716694115406957308189522475776374e+00; diff = 7.703719777548943412223911770339709274e-34; -900/1000
Check failed for (fp128): alpha = -5.648583591154448242755832803136546597e+00; beta = -1.412145897788612060688958200784136649e+00; diff = 1.540743955509788682444782354067941855e-33; -899/1000
Check failed for (fp128): alpha = -5.642300405847268656278907516369986926e+00; beta = -1.410575101461817164069726879092496731e+00; diff = 2.311115933264683023667173531101912782e-33; -898/1000
Check failed for (fp128): alpha = -5.636017220540089069801982229603428025e+00; beta = -1.409004305135022267450495557400857006e+00; diff = 7.703719777548943412223911770339709274e-34; -897/1000
Check failed for (fp128): alpha = -5.629734035232909483325056942836869124e+00; beta = -1.407433508808227370831264235709217281e+00; diff = 2.311115933264683023667173531101912782e-33; -896/1000
Check failed for (fp128): alpha = -5.623450849925729896848131656070310223e+00; beta = -1.405862712481432474212032914017577556e+00; diff = 7.703719777548943412223911770339709274e-34; -895/1000
Check failed for (fp128): alpha = -5.617167664618550310371206369303751322e+00; beta = -1.404291916154637577592801592325937831e+00; diff = 3.081487911019577364889564708135883710e-33; -894/1000
Check failed for (fp128): alpha = -5.610884479311370723894281082537191651e+00; beta = -1.402721119827842680973570270634297913e+00; diff = 2.311115933264683023667173531101912782e-33; -893/1000
