Check failed for (fp64): alpha = -5.05796417227957; beta = -1.26449104306989; diff = 2.22044604925031e-16; -805/1000
Check failed for (fp64): alpha = -5.04539780166521; beta = -1.2613494504163; diff = 2.22044604925031e-16; -803/1000
Check failed for (fp64): alpha = -5.03911461635803; beta = -1.25977865408951; diff = 2.22044604925031e-16; -802/1000
Check failed for (fp64): alpha = -5.01398187512931; beta = -1.25349546878233; diff = 1.11022302462516e-16; -798/1000
Check failed for (fp64): alpha = -4.99513231920777; beta = -1.24878307980194; diff = 1.11022302462516e-16; -795/1000
Check failed for (fp64): alpha = -4.98884913390059; beta = -1.24721228347515; diff = 1.11022302462516e-16; -794/1000
Check failed for (fp64): alpha = -4.98256594859341; beta = -1.24564148714835; diff = 2.22044604925031e-16; -793/1000
Check failed for (fp64): alpha = -4.96371639267187; beta = -1.24092909816797; diff = 1.11022302462516e-16; -790/1000
Check failed for (fp64): alpha = -4.95115002205751; beta = -1.23778750551438; diff = 1.11022302462516e-16; -788/1000
Check failed for (fp64): alpha = -4.91973409552162; beta = -1.2299335238804; diff = 1.11022302462516e-16; -783/1000
Check failed for (fp64): alpha = -4.90716772490726; beta = -1.22679193122681; diff = 1.11022302462516e-16; -781/1000
Check failed for (fp64): alpha = -4.90088453960008; beta = -1.22522113490002; diff = 1.11022302462516e-16; -780/1000
Check failed for (fp64): alpha = -4.46106156809751; beta = -1.11526539202438; diff = 1.11022302462516e-16; -710/1000
Check failed for (fp64): alpha = -4.44221201217597; beta = -1.11055300304399; diff = 1.11022302462516e-16; -707/1000
Check failed for (fp64): alpha = -4.42964564156161; beta = -1.1074114103904; diff = 1.11022302462516e-16; -705/1000
Check failed for (fp64): alpha = -4.41079608564007; beta = -1.10269902141002; diff = 1.11022302462516e-16; -702/1000
Check failed for (fp64): alpha = -4.40451290033289; beta = -1.10112822508322; diff = 1.11022302462516e-16; -701/1000
Check failed for (fp64): alpha = -4.39194652971853; beta = -1.09798663242963; diff = 1.11022302462516e-16; -699/1000
Check failed for (fp64): alpha = -4.37938015910417; beta = -1.09484503977604; diff = 1.11022302462516e-16; -697/1000
