Check failed for (fp128): alpha = -5.472654402553419821401924773672893522e+00; beta = -1.368163600638354955350481193418223380e+00; diff = 7.703719777548943412223911770339709274e-34; -871/1000
Check failed for (fp128): alpha = -5.460088031939060648448074200139775720e+00; beta = -1.365022007984765162112018550034943930e+00; diff = 7.703719777548943412223911770339709274e-34; -869/1000
Check failed for (fp128): alpha = -5.453804846631881061971148913373216819e+00; beta = -1.363451211657970265492787228343304205e+00; diff = 7.703719777548943412223911770339709274e-34; -868/1000
Check failed for (fp128): alpha = -5.447521661324701475494223626606657919e+00; beta = -1.361880415331175368873555906651664480e+00; diff = 7.703719777548943412223911770339709274e-34; -867/1000
Check failed for (fp128): alpha = -5.422388920095983129586522479540422315e+00; beta = -1.355597230023995782396630619885105579e+00; diff = 3.851859888774471706111955885169854637e-34; -863/1000
Check failed for (fp128): alpha = -5.416105734788803543109597192773863414e+00; beta = -1.354026433697200885777399298193465854e+00; diff = 3.851859888774471706111955885169854637e-34; -862/1000
Check failed for (fp128): alpha = -5.409822549481623956632671906007303743e+00; beta = -1.352455637370405989158167976501825936e+00; diff = 3.851859888774471706111955885169854637e-34; -861/1000
Check failed for (fp128): alpha = -5.403539364174444370155746619240744842e+00; beta = -1.350884841043611092538936654810186211e+00; diff = 3.851859888774471706111955885169854637e-34; -860/1000
Check failed for (fp128): alpha = -5.378406622945726024248045472174508469e+00; beta = -1.344601655736431506062011368043627117e+00; diff = 3.851859888774471706111955885169854637e-34; -856/1000
Check failed for (fp128): alpha = -5.359557067024187264817269611874831766e+00; beta = -1.339889266756046816204317402968707942e+00; diff = 3.851859888774471706111955885169854637e-34; -853/1000
Check failed for (fp128): alpha = -5.353273881717007678340344325108272866e+00; beta = -1.338318470429251919585086081277068216e+00; diff = 3.851859888774471706111955885169854637e-34; -852/1000
Check failed for (fp128): alpha = -5.346990696409828091863419038341713194e+00; beta = -1.336747674102457022965854759585428299e+00; diff = 3.851859888774471706111955885169854637e-34; -851/1000
Check failed for (fp128): alpha = -5.340707511102648505386493751575154293e+00; beta = -1.335176877775662126346623437893788573e+00; diff = 3.851859888774471706111955885169854637e-34; -850/1000
Check failed for (fp128): alpha = -5.334424325795468918909568464808595393e+00; beta = -1.333606081448867229727392116202148848e+00; diff = 3.851859888774471706111955885169854637e-34; -849/1000
Check failed for (fp128): alpha = -5.328141140488289332432643178042036492e+00; beta = -1.332035285122072333108160794510509123e+00; diff = 3.851859888774471706111955885169854637e-34; -848/1000
Check failed for (fp128): alpha = -5.321857955181109745955717891275477591e+00; beta = -1.330464488795277436488929472818869398e+00; diff = 3.851859888774471706111955885169854637e-34; -847/1000
Check failed for (fp128): alpha = -5.315574769873930159478792604508918690e+00; beta = -1.328893692468482539869698151127229673e+00; diff = 3.851859888774471706111955885169854637e-34; -846/1000
Check failed for (fp128): alpha = -5.309291584566750573001867317742359789e+00; beta = -1.327322896141687643250466829435589947e+00; diff = 3.851859888774471706111955885169854637e-34; -845/1000
Check failed for (fp128): alpha = -5.290442028645211813571091457442683087e+00; beta = -1.322610507161302953392772864360670772e+00; diff = 3.851859888774471706111955885169854637e-34; -842/1000
Check failed for (fp128): alpha = -5.284158843338032227094166170676123416e+00; beta = -1.321039710834508056773541542669030854e+00; diff = 3.851859888774471706111955885169854637e-34; -841/1000
Check failed for (fp128): alpha = -5.277875658030852640617240883909564515e+00; beta = -1.319468914507713160154310220977391129e+00; diff = 3.851859888774471706111955885169854637e-34; -840/1000
Check failed for (fp128): alpha = -5.271592472723673054140315597143005614e+00; beta = -1.317898118180918263535078899285751404e+00; diff = 3.851859888774471706111955885169854637e-34; -839/1000
Check failed for (fp128): alpha = -5.265309287416493467663390310376446713e+00; beta = -1.316327321854123366915847577594111678e+00; diff = 3.851859888774471706111955885169854637e-34; -838/1000
Check failed for (fp128): alpha = -5.259026102109313881186465023609887812e+00; beta = -1.314756525527328470296616255902471953e+00; diff = 3.851859888774471706111955885169854637e-34; -837/1000
Check failed for (fp128): alpha = -5.252742916802134294709539736843328912e+00; beta = -1.313185729200533573677384934210832228e+00; diff = 3.851859888774471706111955885169854637e-34; -836/1000
Check failed for (fp128): alpha = -5.246459731494954708232614450076769240e+00; beta = -1.311614932873738677058153612519192310e+00; diff = 3.851859888774471706111955885169854637e-34; -835/1000
Check failed for (fp128): alpha = -5.240176546187775121755689163310210340e+00; beta = -1.310044136546943780438922290827552585e+00; diff = 3.851859888774471706111955885169854637e-34; -834/1000
Check failed for (fp128): alpha = -5.221326990266236362324913303010533637e+00; beta = -1.305331747566559090581228325752633409e+00; diff = 3.851859888774471706111955885169854637e-34; -831/1000
Check failed for (fp128): alpha = -5.215043804959056775847988016243974736e+00; beta = -1.303760951239764193961997004060993684e+00; diff = 3.851859888774471706111955885169854637e-34; -830/1000
Check failed for (fp128): alpha = -5.208760619651877189371062729477415835e+00; beta = -1.302190154912969297342765682369353959e+00; diff = 1.925929944387235853055977942584927319e-34; -829/1000
Check failed for (fp128): alpha = -5.202477434344697602894137442710856935e+00; beta = -1.300619358586174400723534360677714234e+00; diff = 1.925929944387235853055977942584927319e-34; -828/1000
Check failed for (fp128): alpha = -5.196194249037518016417212155944298034e+00; beta = -1.299048562259379504104303038986074508e+00; diff = 3.851859888774471706111955885169854637e-34; -827/1000
Check failed for (fp128): alpha = -5.152211951887260911078735148578384187e+00; beta = -1.288052987971815227769683787144596047e+00; diff = 1.925929944387235853055977942584927319e-34; -820/1000
Check failed for (fp128): alpha = -5.145928766580081324601809861811825286e+00; beta = -1.286482191645020331150452465452956322e+00; diff = 1.925929944387235853055977942584927319e-34; -819/1000
Check failed for (fp128): alpha = -5.127079210658542565171034001512148584e+00; beta = -1.281769802664635641292758500378037146e+00; diff = 1.925929944387235853055977942584927319e-34; -816/1000
Check failed for (fp128): alpha = -5.120796025351362978694108714745588913e+00; beta = -1.280199006337840744673527178686397228e+00; diff = 1.925929944387235853055977942584927319e-34; -815/1000
Check failed for (fp128): alpha = -5.108229654737003805740258141212471111e+00; beta = -1.277057413684250951435064535303117778e+00; diff = 1.925929944387235853055977942584927319e-34; -813/1000
Check failed for (fp128): alpha = -5.101946469429824219263332854445912981e+00; beta = -1.275486617357456054815833213611478245e+00; diff = 1.925929944387235853055977942584927319e-34; -812/1000
Check failed for (fp128): alpha = -5.095663284122644632786407567679354080e+00; beta = -1.273915821030661158196601891919838520e+00; diff = 1.925929944387235853055977942584927319e-34; -811/1000
Check failed for (fp128): alpha = -5.083096913508285459832556994146235508e+00; beta = -1.270774228377071364958139248536558877e+00; diff = 1.925929944387235853055977942584927319e-34; -809/1000
Check failed for (fp128): alpha = -5.076813728201105873355631707379676607e+00; beta = -1.269203432050276468338907926844919152e+00; diff = 1.925929944387235853055977942584927319e-34; -808/1000
Check failed for (fp128): alpha = -5.070530542893926286878706420613117706e+00; beta = -1.267632635723481571719676605153279427e+00; diff = 1.925929944387235853055977942584927319e-34; -807/1000
Check failed for (fp128): alpha = -5.045397801665207940971005273546881333e+00; beta = -1.261349450416301985242751318386720333e+00; diff = 1.925929944387235853055977942584927319e-34; -803/1000
Check failed for (fp128): alpha = -5.032831431050848768017154700013763531e+00; beta = -1.258207857762712192004288675003440883e+00; diff = 1.925929944387235853055977942584927319e-34; -801/1000
Check failed for (fp128): alpha = -4.241150082346220871924568567427328931e+00; beta = -1.060287520586555217981142141856832233e+00; diff = 1.925929944387235853055977942584927319e-34; -675/1000
Check failed for (fp128): alpha = -4.209734155810322939539942133594533656e+00; beta = -1.052433538952580734884985533398633414e+00; diff = 1.925929944387235853055977942584927319e-34; -670/1000
Check failed for (fp128): alpha = -4.178318229274425007155315699761739152e+00; beta = -1.044579557318606251788828924940434788e+00; diff = 1.925929944387235853055977942584927319e-34; -665/1000
Check failed for (fp128): alpha = -4.165751858660065834201465126228620580e+00; beta = -1.041437964665016458550366281557155145e+00; diff = 3.851859888774471706111955885169854637e-34; -663/1000
Check failed for (fp128): alpha = -4.159468673352886247724539839462061679e+00; beta = -1.039867168338221561931134959865515420e+00; diff = 3.851859888774471706111955885169854637e-34; -662/1000
Check failed for (fp128): alpha = -4.140619117431347488293763979162384977e+00; beta = -1.035154779357836872073440994790596244e+00; diff = 1.925929944387235853055977942584927319e-34; -659/1000
Check failed for (fp128): alpha = -4.128052746816988315339913405629266405e+00; beta = -1.032013186704247078834978351407316601e+00; diff = 1.925929944387235853055977942584927319e-34; -657/1000
Check failed for (fp128): alpha = -4.109203190895449555909137545329589702e+00; beta = -1.027300797723862388977284386332397426e+00; diff = 1.925929944387235853055977942584927319e-34; -654/1000
Check failed for (fp128): alpha = -4.084070449666731210001436398263354099e+00; beta = -1.021017612416682802500359099565838525e+00; diff = 1.925929944387235853055977942584927319e-34; -650/1000
Check failed for (fp128): alpha = -4.077787264359551623524511111496795198e+00; beta = -1.019446816089887905881127777874198800e+00; diff = 1.925929944387235853055977942584927319e-34; -649/1000
