Check failed for (fp32): alpha = -5.416106; diff1 = 1.192093e-07; diff2 = 2.356651; -862/1000
Check failed for (fp32): alpha = -5.409823; diff1 = 1.192093e-07; diff2 = 2.386888; -861/1000
Check failed for (fp32): alpha = -5.390973; diff1 = 1.192093e-07; diff2 = 2.480398; -858/1000
Check failed for (fp32): alpha = -5.372124; diff1 = 1.192093e-07; diff2 = 2.578383; -855/1000
Check failed for (fp32): alpha = -5.359557; diff1 = 1.192093e-07; diff2 = 2.646393; -853/1000
Check failed for (fp32): alpha = -5.340708; diff1 = 1.192093e-07; diff2 = 2.752762; -850/1000
Check failed for (fp32): alpha = -5.334424; diff1 = 1.192093e-07; diff2 = 2.789453; -849/1000
Check failed for (fp32): alpha = -5.296725; diff1 = 1.192093e-07; diff2 = 3.023963; -843/1000
Check failed for (fp32): alpha = -5.290442; diff1 = 1.192093e-07; diff2 = 3.065654; -842/1000
Check failed for (fp32): alpha = -5.277875; diff1 = 2.384186e-07; diff2 = 3.151497; -840/1000
Check failed for (fp32): alpha = -5.271593; diff1 = 1.192093e-07; diff2 = 3.195701; -839/1000
Check failed for (fp32): alpha = -5.215044; diff1 = 1.192093e-07; diff2 = 3.637985; -830/1000
Check failed for (fp32): alpha = -5.189911; diff1 = 1.192093e-07; diff2 = 3.864995; -826/1000
Check failed for (fp32): alpha = -5.183628; diff1 = 1.192093e-07; diff2 = 3.925219; -825/1000
Check failed for (fp32): alpha = -5.164779; diff1 = 2.384186e-07; diff2 = 4.115177; -822/1000
Check failed for (fp32): alpha = -5.152212; diff1 = 2.384186e-07; diff2 = 4.250215; -820/1000
Check failed for (fp32): alpha = -5.145929; diff1 = 2.384186e-07; diff2 = 4.320472; -819/1000
Check failed for (fp32): alpha = -5.139646; diff1 = 2.384186e-07; diff2 = 4.392656; -818/1000
Check failed for (fp32): alpha = -5.133362; diff1 = 2.384186e-07; diff2 = 4.466873; -817/1000
Check failed for (fp32): alpha = -5.114513; diff1 = 2.384186e-07; diff2 = 4.702573; -814/1000
Check failed for (fp32): alpha = -5.051681; diff1 = 2.384186e-07; diff2 = 5.666677; -804/1000
Check failed for (fp32): alpha = -5.032832; diff1 = 2.384186e-07; diff2 = 6.02626; -801/1000
Check failed for (fp32): alpha = -5.026548; diff1 = 2.384186e-07; diff2 = 6.155364; -800/1000
Check failed for (fp32): alpha = -5.007699; diff1 = 2.384186e-07; diff2 = 6.574528; -797/1000
Check failed for (fp32): alpha = -4.995132; diff1 = 2.384186e-07; diff2 = 6.884042; -795/1000
Check failed for (fp32): alpha = -4.98885; diff1 = 2.384186e-07; diff2 = 7.049049; -794/1000
Check failed for (fp32): alpha = -4.982566; diff1 = 2.384186e-07; diff2 = 7.221557; -793/1000
Check failed for (fp32): alpha = -4.913451; diff1 = 4.768372e-07; diff2 = 9.812765; -782/1000
Check failed for (fp32): alpha = -4.894601; diff1 = 4.768372e-07; diff2 = 10.85446; -779/1000
Check failed for (fp32): alpha = -4.882035; diff1 = 4.768372e-07; diff2 = 11.67592; -777/1000
Check failed for (fp32): alpha = -4.743805; diff1 = 1.907349e-06; diff2 = 63.64098; -755/1000
Check failed for (fp32): alpha = -4.737522; diff1 = 3.814697e-06; diff2 = 79.55943; -754/1000
Check failed for (fp32): alpha = -4.724956; diff1 = 7.629395e-06; diff2 = 159.1439; -752/1000
Check failed for (fp32): alpha = -4.69354; diff1 = 3.814697e-06; diff2 = 106.0918; -747/1000
Check failed for (fp32): alpha = -4.687256; diff1 = 3.814697e-06; diff2 = 79.56102; -746/1000
Check failed for (fp32): alpha = -4.680973; diff1 = 1.907349e-06; diff2 = 63.64103; -745/1000
Check failed for (fp32): alpha = -4.668406; diff1 = 1.907349e-06; diff2 = 45.44331; -743/1000
Check failed for (fp32): alpha = -4.649557; diff1 = 9.536743e-07; diff2 = 31.78908; -740/1000
Check failed for (fp32): alpha = -4.643274; diff1 = 9.536743e-07; diff2 = 28.89132; -739/1000
Check failed for (fp32): alpha = -4.636991; diff1 = 9.536743e-07; diff2 = 26.47546; -738/1000
Check failed for (fp32): alpha = -4.624424; diff1 = 9.536743e-07; diff2 = 22.67776; -736/1000
Check failed for (fp32): alpha = -4.611858; diff1 = 9.536743e-07; diff2 = 19.82737; -734/1000
Check failed for (fp32): alpha = -4.586726; diff1 = 4.768372e-07; diff2 = 15.83169; -730/1000
Check failed for (fp32): alpha = -4.567876; diff1 = 4.768372e-07; diff2 = 13.7431; -727/1000
Check failed for (fp32): alpha = -4.561593; diff1 = 4.768372e-07; diff2 = 13.16223; -726/1000
Check failed for (fp32): alpha = -4.549026; diff1 = 4.768372e-07; diff2 = 12.13357; -724/1000
Check failed for (fp32): alpha = -4.53646; diff1 = 4.768372e-07; diff2 = 11.25069; -722/1000
Check failed for (fp32): alpha = -4.523894; diff1 = 4.768372e-07; diff2 = 10.48439; -720/1000
Check failed for (fp32): alpha = -4.505044; diff1 = 4.768372e-07; diff2 = 9.507132; -717/1000
Check failed for (fp32): alpha = -4.479911; diff1 = 4.768372e-07; diff2 = 8.447432; -713/1000
Check failed for (fp32): alpha = -4.454779; diff1 = 2.384186e-07; diff2 = 7.59116; -709/1000
Check failed for (fp32): alpha = -4.448495; diff1 = 2.384186e-07; diff2 = 7.402061; -708/1000
Check failed for (fp32): alpha = -4.442212; diff1 = 2.384186e-07; diff2 = 7.221558; -707/1000
Check failed for (fp32): alpha = -4.429646; diff1 = 2.384186e-07; diff2 = 6.884043; -705/1000
Check failed for (fp32): alpha = -4.423363; diff1 = 2.384186e-07; diff2 = 6.726021; -704/1000
Check failed for (fp32): alpha = -4.404513; diff1 = 2.384186e-07; diff2 = 6.28956; -701/1000
Check failed for (fp32): alpha = -4.39823; diff1 = 2.384186e-07; diff2 = 6.155365; -700/1000
Check failed for (fp32): alpha = -4.366814; diff1 = 2.384186e-07; diff2 = 5.555211; -695/1000
Check failed for (fp32): alpha = -4.360531; diff1 = 2.384186e-07; diff2 = 5.447577; -694/1000
Check failed for (fp32): alpha = -4.354248; diff1 = 2.384186e-07; diff2 = 5.343558; -693/1000
Check failed for (fp32): alpha = -4.347964; diff1 = 2.384186e-07; diff2 = 5.242974; -692/1000
Check failed for (fp32): alpha = -4.341681; diff1 = 2.384186e-07; diff2 = 5.145649; -691/1000
Check failed for (fp32): alpha = -4.266283; diff1 = 2.384186e-07; diff2 = 4.181814; -679/1000
Check failed for (fp32): alpha = -4.26; diff1 = 2.384186e-07; diff2 = 4.115182; -678/1000
Check failed for (fp32): alpha = -4.247433; diff1 = 1.192093e-07; diff2 = 3.986952; -676/1000
