Check failed for (fp64): alpha = -3.92699081698724; beta = -0.98174770424681; gamma = -0.490873852123405; diff = 1.11022302462516e-16; -625/1000
Check failed for (fp64): alpha = -3.91442444637288; beta = -0.978606111593221; gamma = -0.48930305579661; diff = 1.66533453693773e-16; -623/1000
Check failed for (fp64): alpha = -3.84530940799391; beta = -0.961327351998477; gamma = -0.480663675999238; diff = 1.11022302462516e-16; -612/1000
Check failed for (fp64): alpha = -3.82645985207237; beta = -0.956614963018092; gamma = -0.478307481509046; diff = 1.11022302462516e-16; -609/1000
Check failed for (fp64): alpha = -3.82017666676519; beta = -0.955044166691297; gamma = -0.477522083345649; diff = 1.11022302462516e-16; -608/1000
Check failed for (fp64): alpha = -3.81389348145801; beta = -0.953473370364502; gamma = -0.476736685182251; diff = 1.11022302462516e-16; -607/1000
Check failed for (fp64): alpha = -3.80761029615083; beta = -0.951902574037707; gamma = -0.475951287018854; diff = 1.11022302462516e-16; -606/1000
Check failed for (fp64): alpha = -3.80132711084365; beta = -0.950331777710912; gamma = -0.475165888855456; diff = 1.11022302462516e-16; -605/1000
Check failed for (fp64): alpha = -3.78247755492211; beta = -0.945619388730528; gamma = -0.472809694365264; diff = 2.77555756156289e-16; -602/1000
Check failed for (fp64): alpha = -3.76991118430775; beta = -0.942477796076938; gamma = -0.471238898038469; diff = 1.11022302462516e-16; -600/1000
Check failed for (fp64): alpha = -3.76362799900057; beta = -0.940906999750143; gamma = -0.470453499875072; diff = 1.11022302462516e-16; -599/1000
Check failed for (fp64): alpha = -3.75106162838621; beta = -0.937765407096553; gamma = -0.468882703548277; diff = 1.11022302462516e-16; -597/1000
Check failed for (fp64): alpha = -3.74477844307903; beta = -0.936194610769758; gamma = -0.468097305384879; diff = 2.22044604925031e-16; -596/1000
Check failed for (fp64): alpha = -3.72592888715749; beta = -0.931482221789374; gamma = -0.465741110894687; diff = 2.77555756156289e-16; -593/1000
Check failed for (fp64): alpha = -3.71964570185032; beta = -0.929911425462579; gamma = -0.464955712731289; diff = 1.66533453693773e-16; -592/1000
Check failed for (fp64): alpha = -3.70707933123596; beta = -0.926769832808989; gamma = -0.463384916404494; diff = 1.11022302462516e-16; -590/1000
Check failed for (fp64): alpha = -3.68822977531442; beta = -0.922057443828604; gamma = -0.461028721914302; diff = 3.33066907387547e-16; -587/1000
Check failed for (fp64): alpha = -3.68194659000724; beta = -0.920486647501809; gamma = -0.460243323750905; diff = 1.11022302462516e-16; -586/1000
Check failed for (fp64): alpha = -3.66938021939288; beta = -0.917345054848219; gamma = -0.45867252742411; diff = 2.22044604925031e-16; -584/1000
Check failed for (fp64): alpha = -3.65053066347134; beta = -0.912632665867835; gamma = -0.456316332933917; diff = 1.11022302462516e-16; -581/1000
Check failed for (fp64): alpha = -3.64424747816416; beta = -0.91106186954104; gamma = -0.45553093477052; diff = 1.66533453693773e-16; -580/1000
Check failed for (fp64): alpha = -3.63796429285698; beta = -0.909491073214245; gamma = -0.454745536607123; diff = 1.66533453693773e-16; -579/1000
Check failed for (fp64): alpha = -3.6316811075498; beta = -0.90792027688745; gamma = -0.453960138443725; diff = 2.22044604925031e-16; -578/1000
Check failed for (fp64): alpha = -3.61283155162826; beta = -0.903207887907065; gamma = -0.451603943953533; diff = 1.66533453693773e-16; -575/1000
Check failed for (fp64): alpha = -3.59398199570672; beta = -0.898495498926681; gamma = -0.44924774946334; diff = 1.11022302462516e-16; -572/1000
Check failed for (fp64): alpha = -3.58769881039954; beta = -0.896924702599886; gamma = -0.448462351299943; diff = 1.11022302462516e-16; -571/1000
Check failed for (fp64): alpha = -3.58141562509236; beta = -0.895353906273091; gamma = -0.447676953136545; diff = 1.11022302462516e-16; -570/1000
Check failed for (fp64): alpha = -3.57513243978518; beta = -0.893783109946296; gamma = -0.446891554973148; diff = 1.11022302462516e-16; -569/1000
Check failed for (fp64): alpha = -3.55628288386365; beta = -0.889070720965911; gamma = -0.444535360482956; diff = 2.22044604925031e-16; -566/1000
Check failed for (fp64): alpha = -3.54999969855647; beta = -0.887499924639116; gamma = -0.443749962319558; diff = 1.11022302462516e-16; -565/1000
Check failed for (fp64): alpha = -3.54371651324929; beta = -0.885929128312322; gamma = -0.442964564156161; diff = 1.11022302462516e-16; -564/1000
Check failed for (fp64): alpha = -3.53743332794211; beta = -0.884358331985527; gamma = -0.442179165992763; diff = 1.11022302462516e-16; -563/1000
Check failed for (fp64): alpha = -3.53115014263493; beta = -0.882787535658732; gamma = -0.441393767829366; diff = 1.11022302462516e-16; -562/1000
Check failed for (fp64): alpha = -3.52486695732775; beta = -0.881216739331937; gamma = -0.440608369665969; diff = 1.11022302462516e-16; -561/1000
Check failed for (fp64): alpha = -3.51230058671339; beta = -0.878075146678347; gamma = -0.439037573339174; diff = 1.11022302462516e-16; -559/1000
Check failed for (fp64): alpha = -3.50601740140621; beta = -0.876504350351552; gamma = -0.438252175175776; diff = 1.11022302462516e-16; -558/1000
Check failed for (fp64): alpha = -3.49345103079185; beta = -0.873362757697963; gamma = -0.436681378848981; diff = 1.11022302462516e-16; -556/1000
Check failed for (fp64): alpha = -3.48716784548467; beta = -0.871791961371168; gamma = -0.435895980685584; diff = 3.33066907387547e-16; -555/1000
Check failed for (fp64): alpha = -3.48088466017749; beta = -0.870221165044373; gamma = -0.435110582522186; diff = 1.11022302462516e-16; -554/1000
Check failed for (fp64): alpha = -3.47460147487031; beta = -0.868650368717578; gamma = -0.434325184358789; diff = 1.11022302462516e-16; -553/1000
Check failed for (fp64): alpha = -3.46203510425595; beta = -0.865508776063988; gamma = -0.432754388031994; diff = 1.11022302462516e-16; -551/1000
Check failed for (fp64): alpha = -3.45575191894877; beta = -0.863937979737193; gamma = -0.431968989868597; diff = 1.11022302462516e-16; -550/1000
Check failed for (fp64): alpha = -3.44946873364159; beta = -0.862367183410398; gamma = -0.431183591705199; diff = 1.11022302462516e-16; -549/1000
Check failed for (fp64): alpha = -3.44318554833441; beta = -0.860796387083603; gamma = -0.430398193541802; diff = 1.11022302462516e-16; -548/1000
Check failed for (fp64): alpha = -3.43690236302723; beta = -0.859225590756808; gamma = -0.429612795378404; diff = 1.11022302462516e-16; -547/1000
Check failed for (fp64): alpha = -3.43061917772005; beta = -0.857654794430014; gamma = -0.428827397215007; diff = 1.11022302462516e-16; -546/1000
Check failed for (fp64): alpha = -3.42433599241287; beta = -0.856083998103219; gamma = -0.428041999051609; diff = 1.11022302462516e-16; -545/1000
Check failed for (fp64): alpha = -3.4180528071057; beta = -0.854513201776424; gamma = -0.427256600888212; diff = 1.11022302462516e-16; -544/1000
Check failed for (fp64): alpha = -3.41176962179852; beta = -0.852942405449629; gamma = -0.426471202724814; diff = 1.11022302462516e-16; -543/1000
Check failed for (fp64): alpha = -3.39920325118416; beta = -0.849800812796039; gamma = -0.42490040639802; diff = 1.11022302462516e-16; -541/1000
