Check failed for (fp128): alpha = 3.763627999000572299678246773168844379e+00; beta = 9.409069997501430749195616932922110948e-01; gamma = 4.704534998750715374597808466461055474e-01; diff = 1.925929944387235853055977942584927319e-34; 599/1000
Check failed for (fp128): alpha = 3.795043925536470232062873207001639268e+00; beta = 9.487609813841175580157183017504098171e-01; gamma = 4.743804906920587790078591508752049086e-01; diff = 1.925929944387235853055977942584927319e-34; 604/1000
Check failed for (fp128): alpha = 3.857875778608266096832126074667229432e+00; beta = 9.644689446520665242080315186668073581e-01; gamma = 4.822344723260332621040157593334036790e-01; diff = 1.925929944387235853055977942584927319e-34; 614/1000
Check failed for (fp128): alpha = 3.883008519836984442739827221733465806e+00; beta = 9.707521299592461106849568054333664515e-01; gamma = 4.853760649796230553424784027166832257e-01; diff = 1.925929944387235853055977942584927319e-34; 618/1000
Check failed for (fp128): alpha = 3.989822670059037412847557096764968661e+00; beta = 9.974556675147593532118892741912421652e-01; gamma = 4.987278337573796766059446370956210826e-01; diff = 1.925929944387235853055977942584927319e-34; 635/1000
Check failed for (fp128): alpha = 4.008672225980576172278332957064644978e+00; beta = 1.002168056495144043069583239266161244e+00; gamma = 5.010840282475720215347916196330806222e-01; diff = 1.925929944387235853055977942584927319e-34; 638/1000
Check failed for (fp128): alpha = 4.052654523130833277616809964430558824e+00; beta = 1.013163630782708319404202491107639706e+00; gamma = 5.065818153913541597021012455538198531e-01; diff = 1.925929944387235853055977942584927319e-34; 645/1000
Check failed for (fp128): alpha = 4.065220893745192450570660537963676626e+00; beta = 1.016305223436298112642665134490919157e+00; gamma = 5.081526117181490563213325672454595783e-01; diff = 1.925929944387235853055977942584927319e-34; 647/1000
Check failed for (fp128): alpha = 4.812919945299563241324769663184198150e+00; beta = 1.203229986324890810331192415796049538e+00; gamma = 6.016149931624454051655962078980247688e-01; diff = 2.046300565911438093871976563996485276e-34; 766/1000
Check failed for (fp128): alpha = 4.894601354292897865524798391149465402e+00; beta = 1.223650338573224466381199597787366350e+00; gamma = 6.118251692866122331905997988936831752e-01; diff = 2.046300565911438093871976563996485276e-34; 779/1000
Check failed for (fp128): alpha = 4.919734095521616211432499538215701005e+00; beta = 1.229933523880404052858124884553925251e+00; gamma = 6.149667619402020264290624422769626256e-01; diff = 2.166671187435640334687975185408043233e-34; 783/1000
Check failed for (fp128): alpha = 4.976282763286232489724827119114732653e+00; beta = 1.244070690821558122431206779778683163e+00; gamma = 6.220353454107790612156033898893415816e-01; diff = 2.166671187435640334687975185408043233e-34; 792/1000
Check failed for (fp128): alpha = 5.001415504514950835632528266180968256e+00; beta = 1.250353876128737708908132066545242064e+00; gamma = 6.251769380643688544540660332726210320e-01; diff = 2.046300565911438093871976563996485276e-34; 796/1000
Check failed for (fp128): alpha = 5.083096913508285459832556994146235508e+00; beta = 1.270774228377071364958139248536558877e+00; gamma = 6.353871141885356824790696242682794385e-01; diff = 2.287041808959842575503973806819601191e-34; 809/1000
Check failed for (fp128): alpha = 5.108229654737003805740258141212471111e+00; beta = 1.277057413684250951435064535303117778e+00; gamma = 6.385287068421254757175322676515588889e-01; diff = 2.166671187435640334687975185408043233e-34; 813/1000
Check failed for (fp128): alpha = 5.164778322501620084032585722111502759e+00; beta = 1.291194580625405021008146430527875690e+00; gamma = 6.455972903127025105040732152639378449e-01; diff = 2.287041808959842575503973806819601191e-34; 822/1000
