Check failed for (fp80): alpha = -5.55433581154675444589; beta = -1.38858395288668861147; diff = 1.08420217248550443401e-19; -884/1000
Check failed for (fp80): alpha = -5.54176944093239527266; beta = -1.38544236023309881817; diff = 5.42101086242752217004e-20; -882/1000
Check failed for (fp80): alpha = -5.53548625562521568648; beta = -1.38387156390630392162; diff = 5.42101086242752217004e-20; -881/1000
Check failed for (fp80): alpha = -5.52291988501085651326; beta = -1.38072997125271412831; diff = 5.42101086242752217004e-20; -879/1000
Check failed for (fp80): alpha = -5.51035351439649734046; beta = -1.37758837859912433512; diff = 5.42101086242752217004e-20; -877/1000
Check failed for (fp80): alpha = -5.49778714378213816723; beta = -1.37444678594553454181; diff = 1.35525271560688054251e-19; -875/1000
Check failed for (fp80): alpha = -5.48522077316777899444; beta = -1.37130519329194474861; diff = 5.42101086242752217004e-20; -873/1000
Check failed for (fp80): alpha = -5.46637121724624023503; beta = -1.36659280431156005876; diff = 1.08420217248550443401e-19; -870/1000
Check failed for (fp80): alpha = -5.44123847601752188901; beta = -1.36030961900438047225; diff = 5.42101086242752217004e-20; -866/1000
Check failed for (fp80): alpha = -5.43495529071034230283; beta = -1.35873882267758557571; diff = 5.42101086242752217004e-20; -865/1000
Check failed for (fp80): alpha = -5.42238892009598312961; beta = -1.3555972300239957824; diff = 1.08420217248550443401e-19; -863/1000
Check failed for (fp80): alpha = -5.40982254948162395638; beta = -1.35245563737040598909; diff = 1.08420217248550443401e-19; -861/1000
Check failed for (fp80): alpha = -5.39725617886726478359; beta = -1.3493140447168161959; diff = 5.42101086242752217004e-20; -859/1000
Check failed for (fp80): alpha = -5.39097299356008519741; beta = -1.34774324839002129935; diff = 1.08420217248550443401e-19; -858/1000
Check failed for (fp80): alpha = -5.37840662294572602418; beta = -1.34460165573643150604; diff = 1.08420217248550443401e-19; -856/1000
Check failed for (fp80): alpha = -5.372123437638546438; beta = -1.3430308594096366095; diff = 5.42101086242752217004e-20; -855/1000
Check failed for (fp80): alpha = -5.36584025233136685138; beta = -1.34146006308284171285; diff = 5.42101086242752217004e-20; -854/1000
Check failed for (fp80): alpha = -5.35955706702418726477; beta = -1.33988926675604681619; diff = 5.42101086242752217004e-20; -853/1000
Check failed for (fp80): alpha = -5.34699069640982809198; beta = -1.33674767410245702299; diff = 5.42101086242752217004e-20; -851/1000
Check failed for (fp80): alpha = -5.3407075111026485058; beta = -1.33517687777566212645; diff = 8.13151629364128325506e-20; -850/1000
Check failed for (fp80): alpha = -5.33442432579546891918; beta = -1.3336060814488672298; diff = 5.42101086242752217004e-20; -849/1000
Check failed for (fp80): alpha = -5.32185795518110974596; beta = -1.33046448879527743649; diff = 5.42101086242752217004e-20; -847/1000
Check failed for (fp80): alpha = -5.31557476987393015934; beta = -1.32889369246848253984; diff = 5.42101086242752217004e-20; -846/1000
Check failed for (fp80): alpha = -5.30300839925957098655; beta = -1.32575209981489274664; diff = 1.89735380184963275951e-19; -844/1000
Check failed for (fp80): alpha = -5.29044202864521181376; beta = -1.32261050716130295344; diff = 1.08420217248550443401e-19; -842/1000
Check failed for (fp80): alpha = -5.28415884333803222714; beta = -1.32103971083450805679; diff = 5.42101086242752217004e-20; -841/1000
Check failed for (fp80): alpha = -5.27159247272367305435; beta = -1.31789811818091826359; diff = 1.76182853028894470526e-19; -839/1000
Check failed for (fp80): alpha = -5.25274291680213429494; beta = -1.31318572920053357374; diff = 5.42101086242752217004e-20; -836/1000
Check failed for (fp80): alpha = -5.24017654618777512171; beta = -1.31004413654694378043; diff = 6.77626357803440271255e-20; -834/1000
Check failed for (fp80): alpha = -5.22761017557341594892; beta = -1.30690254389335398723; diff = 1.35525271560688054251e-19; -832/1000
Check failed for (fp80): alpha = -5.21504380495905677569; beta = -1.30376095123976419392; diff = 1.49077798716756859676e-19; -830/1000
Check failed for (fp80): alpha = -5.20876061965187718951; beta = -1.30219015491296929738; diff = 6.77626357803440271255e-20; -829/1000
Check failed for (fp80): alpha = -5.19619424903751801629; beta = -1.29904856225937950407; diff = 5.42101086242752217004e-20; -827/1000
Check failed for (fp80): alpha = -5.18362787842315884349; beta = -1.29590696960578971087; diff = 1.35525271560688054251e-19; -825/1000
Check failed for (fp80): alpha = -5.17734469311597925731; beta = -1.29433617327899481433; diff = 6.77626357803440271255e-20; -824/1000
Check failed for (fp80): alpha = -5.1710615078087996707; beta = -1.29276537695219991767; diff = 5.42101086242752217004e-20; -823/1000
Check failed for (fp80): alpha = -5.16477832250162008408; beta = -1.29119458062540502102; diff = 5.42101086242752217004e-20; -822/1000
Check failed for (fp80): alpha = -5.15221195188726091129; beta = -1.28805298797181522782; diff = 1.15196480826584846113e-19; -820/1000
Check failed for (fp80): alpha = -5.13964558127290173806; beta = -1.28491139531822543452; diff = 1.49077798716756859676e-19; -818/1000
Check failed for (fp80): alpha = -5.12707921065854256527; beta = -1.28176980266463564132; diff = 5.42101086242752217004e-20; -816/1000
Check failed for (fp80): alpha = -5.12079602535136297866; beta = -1.28019900633784074466; diff = 6.09863722023096244129e-20; -815/1000
Check failed for (fp80): alpha = -5.11451284004418339204; beta = -1.27862821001104584801; diff = 6.77626357803440271255e-20; -814/1000
Check failed for (fp80): alpha = -5.10822965473700380586; beta = -1.27705741368425095147; diff = 1.21972744404619248826e-19; -813/1000
Check failed for (fp80): alpha = -5.09566328412264463307; beta = -1.27391582103066115827; diff = 5.42101086242752217004e-20; -811/1000
Check failed for (fp80): alpha = -5.08938009881546504646; beta = -1.27234502470386626161; diff = 6.43745039913268257692e-20; -810/1000
Check failed for (fp80): alpha = -5.07681372820110587366; beta = -1.26920343205027646842; diff = 1.4568966692773965832e-19; -808/1000
Check failed for (fp80): alpha = -5.06424735758674670043; beta = -1.26606183939668667511; diff = 1.33831205666179453573e-19; -806/1000
Check failed for (fp80): alpha = -5.05796417227956711425; beta = -1.26449104306989177856; diff = 6.60685698858354264473e-20; -805/1000
Check failed for (fp80): alpha = -5.05168098697238752764; beta = -1.26292024674309688191; diff = 6.43745039913268257692e-20; -804/1000
Check failed for (fp80): alpha = -5.04539780166520794103; beta = -1.26134945041630198526; diff = 7.79270311473956311943e-20; -803/1000
Check failed for (fp80): alpha = -5.03911461635802835441; beta = -1.2597786540895070886; diff = 6.1833405149563924752e-20; -802/1000
Check failed for (fp80): alpha = -5.0328314310508487678; beta = -1.25820785776271219195; diff = 6.60685698858354264473e-20; -801/1000
Check failed for (fp80): alpha = -5.02026506043648959501; beta = -1.25506626510912239875; diff = 1.16467030247466296622e-19; -799/1000
Check failed for (fp80): alpha = -5.01398187512931000883; beta = -1.25349546878232750221; diff = 6.94567016748526278036e-20; -798/1000
Check failed for (fp80): alpha = -5.00769868982213042221; beta = -1.25192467245553260555; diff = 6.01393392550553240739e-20; -797/1000
Check failed for (fp80): alpha = -5.0014155045149508356; beta = -1.2503538761287377089; diff = 6.60685698858354264473e-20; -796/1000
Check failed for (fp80): alpha = -4.98884913390059166281; beta = -1.2472122834751479157; diff = 1.1858461261560204747e-19; -794/1000
Check failed for (fp80): alpha = -4.97628276328623249001; beta = -1.2440706908215581225; diff = 6.09863722023096244129e-20; -792/1000
Check failed for (fp80): alpha = -4.9699995779790529034; beta = -1.24249989449476322585; diff = 6.09863722023096244129e-20; -791/1000
Check failed for (fp80): alpha = -4.96371639267187331679; beta = -1.2409290981679683292; diff = 6.43745039913268257692e-20; -790/1000
Check failed for (fp80): alpha = -4.95743320736469373017; beta = -1.23935830184117343254; diff = 5.75982404132924230566e-20; -789/1000
Check failed for (fp80): alpha = -4.95115002205751414356; beta = -1.23778750551437853589; diff = 6.43745039913268257692e-20; -788/1000
Check failed for (fp80): alpha = -4.94486683675033455738; beta = -1.23621670918758363934; diff = 1.25360876193636450182e-19; -787/1000
Check failed for (fp80): alpha = -4.93230046613597538458; beta = -1.23307511653399384615; diff = 7.4538899358378429838e-20; -785/1000
Check failed for (fp80): alpha = -4.92601728082879579797; beta = -1.23150432020719894949; diff = 7.4538899358378429838e-20; -784/1000
Check failed for (fp80): alpha = -4.91973409552161621136; beta = -1.22993352388040405284; diff = 7.4538899358378429838e-20; -783/1000
Check failed for (fp80): alpha = -4.91345091021443662518; beta = -1.22836272755360915629; diff = 1.21972744404619248826e-19; -782/1000
Check failed for (fp80): alpha = -4.90088453960007745195; beta = -1.22522113490001936299; diff = 1.15196480826584846113e-19; -780/1000
Check failed for (fp80): alpha = -4.89460135429289786577; beta = -1.22365033857322446644; diff = 5.42101086242752217004e-20; -779/1000
Check failed for (fp80): alpha = -4.88831816898571827916; beta = -1.22207954224642956979; diff = 6.77626357803440271255e-20; -778/1000
Check failed for (fp80): alpha = -4.88203498367853869298; beta = -1.22050874591963467324; diff = 1.08420217248550443401e-19; -777/1000
Check failed for (fp80): alpha = -4.86946861306417951975; beta = -1.21736715326604487994; diff = 1.08420217248550443401e-19; -775/1000
Check failed for (fp80): alpha = -4.85690224244982034652; beta = -1.21422556061245508663; diff = 1.08420217248550443401e-19; -773/1000
Check failed for (fp80): alpha = -4.85061905714264076034; beta = -1.21265476428566019009; diff = 6.77626357803440271255e-20; -772/1000
Check failed for (fp80): alpha = -4.84433587183546117373; beta = -1.21108396795886529343; diff = 7.4538899358378429838e-20; -771/1000
Check failed for (fp80): alpha = -4.83805268652828158711; beta = -1.20951317163207039678; diff = 7.4538899358378429838e-20; -770/1000
Check failed for (fp80): alpha = -4.82548631591392241432; beta = -1.20637157897848060358; diff = 1.08420217248550443401e-19; -768/1000
Check failed for (fp80): alpha = -4.81291994529956324153; beta = -1.20322998632489081038; diff = 8.13151629364128325506e-20; -766/1000
Check failed for (fp80): alpha = -4.80663675999238365491; beta = -1.20165918999809591373; diff = 7.4538899358378429838e-20; -765/1000
Check failed for (fp80): alpha = -4.79407038937802448212; beta = -1.19851759734450612053; diff = 9.48676900924816379757e-20; -763/1000
Check failed for (fp80): alpha = -4.78150401876366530889; beta = -1.19537600469091632722; diff = 9.48676900924816379757e-20; -761/1000
Check failed for (fp80): alpha = -4.7689376481493061361; beta = -1.19223441203732653402; diff = 5.42101086242752217004e-20; -759/1000
Check failed for (fp80): alpha = -4.76265446284212654949; beta = -1.19066361571053163737; diff = 8.13151629364128325506e-20; -758/1000
Check failed for (fp80): alpha = -4.75637127753494696287; beta = -1.18909281938373674072; diff = 8.13151629364128325506e-20; -757/1000
Check failed for (fp80): alpha = -4.75008809222776737669; beta = -1.18752202305694184417; diff = 6.77626357803440271255e-20; -756/1000
Check failed for (fp80): alpha = -4.73752172161340820346; beta = -1.18438043040335205087; diff = 8.13151629364128325506e-20; -754/1000
Check failed for (fp80): alpha = -4.73123853630622861728; beta = -1.18280963407655715432; diff = 6.77626357803440271255e-20; -753/1000
Check failed for (fp80): alpha = -4.72495535099904903067; beta = -1.18123883774976225767; diff = 8.13151629364128325506e-20; -752/1000
Check failed for (fp80): alpha = -4.71867216569186944449; beta = -1.17966804142296736112; diff = 8.13151629364128325506e-20; -751/1000
Check failed for (fp80): alpha = -4.70610579507751027126; beta = -1.17652644876937756782; diff = 8.13151629364128325506e-20; -749/1000
Check failed for (fp80): alpha = -4.69982260977033068508; beta = -1.17495565244258267127; diff = 8.13151629364128325506e-20; -748/1000
Check failed for (fp80): alpha = -4.69353942446315109847; beta = -1.17338485611578777462; diff = 8.13151629364128325506e-20; -747/1000
Check failed for (fp80): alpha = -4.68725623915597151186; beta = -1.17181405978899287796; diff = 8.13151629364128325506e-20; -746/1000
Check failed for (fp80): alpha = -4.68097305384879192524; beta = -1.17024326346219798131; diff = 6.77626357803440271255e-20; -745/1000
Check failed for (fp80): alpha = -4.67468986854161233863; beta = -1.16867246713540308466; diff = 6.77626357803440271255e-20; -744/1000
Check failed for (fp80): alpha = -4.66212349792725316584; beta = -1.16553087448181329146; diff = 6.77626357803440271255e-20; -742/1000
Check failed for (fp80): alpha = -4.64955712731289399304; beta = -1.16238928182822349826; diff = 6.77626357803440271255e-20; -740/1000
Check failed for (fp80): alpha = -4.64327394200571440643; beta = -1.16081848550142860161; diff = 9.48676900924816379757e-20; -739/1000
Check failed for (fp80): alpha = -4.63070757139135523364; beta = -1.15767689284783880841; diff = 6.77626357803440271255e-20; -737/1000
Check failed for (fp80): alpha = -4.61814120077699606084; beta = -1.15453530019424901521; diff = 6.77626357803440271255e-20; -735/1000
Check failed for (fp80): alpha = -4.61185801546981647423; beta = -1.15296450386745411856; diff = 9.48676900924816379757e-20; -734/1000
Check failed for (fp80): alpha = -4.60557483016263688761; beta = -1.1513937075406592219; diff = 6.77626357803440271255e-20; -733/1000
Check failed for (fp80): alpha = -4.599291644855457301; beta = -1.14982291121386432525; diff = 6.77626357803440271255e-20; -732/1000
Check failed for (fp80): alpha = -4.57415890362673895498; beta = -1.14353972590668473874; diff = 5.42101086242752217004e-20; -728/1000
Check failed for (fp80): alpha = -4.5678757183195593688; beta = -1.1419689295798898422; diff = 6.77626357803440271255e-20; -727/1000
Check failed for (fp80): alpha = -4.56159253301237978219; beta = -1.14039813325309494555; diff = 8.13151629364128325506e-20; -726/1000
Check failed for (fp80): alpha = -4.5364597917836614366; beta = -1.13411494794591535915; diff = 9.48676900924816379757e-20; -722/1000
Check failed for (fp80): alpha = -4.53017660647648184999; beta = -1.1325441516191204625; diff = 9.48676900924816379757e-20; -721/1000
Check failed for (fp80): alpha = -4.49876067994058391735; beta = -1.12469016998514597934; diff = 5.42101086242752217004e-20; -716/1000
Check failed for (fp80): alpha = -4.48619430932622474456; beta = -1.12154857733155618614; diff = 8.13151629364128325506e-20; -714/1000
Check failed for (fp80): alpha = -4.47991112401904515794; beta = -1.11997778100476128949; diff = 9.48676900924816379757e-20; -713/1000
Check failed for (fp80): alpha = -4.45477838279032681236; beta = -1.11369459569758170309; diff = 9.48676900924816379757e-20; -709/1000
Check failed for (fp80): alpha = -4.44849519748314722574; beta = -1.11212379937078680644; diff = 9.48676900924816379757e-20; -708/1000
Check failed for (fp80): alpha = -4.42336245625442888016; beta = -1.10584061406360722004; diff = 9.48676900924816379757e-20; -704/1000
Check failed for (fp80): alpha = -4.41707927094724929354; beta = -1.10426981773681232339; diff = 9.48676900924816379757e-20; -703/1000
Check failed for (fp80): alpha = -4.41079608564006970693; beta = -1.10269902141001742673; diff = 1.01643953670516040688e-19; -702/1000
Check failed for (fp80): alpha = -4.40451290033289012031; beta = -1.10112822508322253008; diff = 7.4538899358378429838e-20; -701/1000
Check failed for (fp80): alpha = -4.3982297150257105337; beta = -1.09955742875642763343; diff = 7.4538899358378429838e-20; -700/1000
Check failed for (fp80): alpha = -4.37309697379699218811; beta = -1.09327424344924804703; diff = 8.13151629364128325506e-20; -696/1000
Check failed for (fp80): alpha = -4.3668137884898126015; beta = -1.09170344712245315038; diff = 1.08420217248550443401e-19; -695/1000
Check failed for (fp80): alpha = -4.34168104726109425591; beta = -1.08542026181527356398; diff = 1.08420217248550443401e-19; -691/1000
Check failed for (fp80): alpha = -4.3353978619539146693; beta = -1.08384946548847866732; diff = 8.80914265144472352631e-20; -690/1000
Check failed for (fp80): alpha = -4.32911467664673508269; beta = -1.08227866916168377067; diff = 1.08420217248550443401e-19; -689/1000
Check failed for (fp80): alpha = -4.32283149133955549607; beta = -1.08070787283488887402; diff = 1.01643953670516040688e-19; -688/1000
Check failed for (fp80): alpha = -4.31654830603237590946; beta = -1.07913707650809397736; diff = 8.80914265144472352631e-20; -687/1000
Check failed for (fp80): alpha = -4.29141556480365756387; beta = -1.07285389120091439097; diff = 9.14795583034644366194e-20; -683/1000
Check failed for (fp80): alpha = -4.28513237949647797726; beta = -1.07128309487411949431; diff = 6.43745039913268257692e-20; -682/1000
Check failed for (fp80): alpha = -4.27884919418929839064; beta = -1.06971229854732459766; diff = 1.05032085459533242044e-19; -681/1000
Check failed for (fp80): alpha = -4.25999963826775963167; beta = -1.06499990956693990792; diff = 1.11808349037567644757e-19; -678/1000
