Check failed for (fp64): alpha = -6.28318530717959; diff1 = inf; diff2 = inf; -1000/1000
Check failed for (fp64): alpha = -5.23389336088059; diff1 = 1.11022302462516e-16; diff2 = 1.14912222191436; -833/1000
Check failed for (fp64): alpha = -5.22132699026624; diff1 = 1.11022302462516e-16; diff2 = 1.11593054995451; -831/1000
Check failed for (fp64): alpha = -5.20876061965188; diff1 = 1.11022302462516e-16; diff2 = 1.08320111465858; -829/1000
Check failed for (fp64): alpha = -4.25999963826776; diff1 = 1.11022302462516e-16; diff2 = 0.972010705718402; -678/1000
Check failed for (fp64): alpha = -4.2160173411175; diff1 = 1.11022302462516e-16; diff2 = 1.08320111465858; -671/1000
Check failed for (fp64): alpha = -4.19716778519596; diff1 = 1.11022302462516e-16; diff2 = 1.13246734130406; -668/1000
Check failed for (fp64): alpha = -4.19088459988878; diff1 = 1.11022302462516e-16; diff2 = 1.14912222191436; -667/1000
Check failed for (fp64): alpha = -4.1846014145816; diff1 = 1.11022302462516e-16; diff2 = 1.165897790506; -666/1000
Check failed for (fp64): alpha = -4.17203504396725; diff1 = 1.11022302462516e-16; diff2 = 1.19982167333428; -664/1000
Check failed for (fp64): alpha = -4.16575185866007; diff1 = 1.11022302462516e-16; diff2 = 1.21697547736151; -663/1000
Check failed for (fp64): alpha = -4.14061911743135; diff1 = 1.11022302462516e-16; diff2 = 1.28693676971692; -659/1000
Check failed for (fp64): alpha = -4.12805274681699; diff1 = 2.22044604925031e-16; diff2 = 1.32276737629755; -657/1000
Check failed for (fp64): alpha = -4.11548637620263; diff1 = 1.11022302462516e-16; diff2 = 1.35919859644905; -655/1000
Check failed for (fp64): alpha = -4.10920319089545; diff1 = 1.11022302462516e-16; diff2 = 1.3776478326671; -654/1000
Check failed for (fp64): alpha = -4.09035363497391; diff1 = 1.11022302462516e-16; diff2 = 1.4339723481958; -651/1000
Check failed for (fp64): alpha = -4.07778726435955; diff1 = 1.11022302462516e-16; diff2 = 1.47237306545816; -649/1000
Check failed for (fp64): alpha = -4.05893770843801; diff1 = 1.11022302462516e-16; diff2 = 1.53132909095604; -646/1000
Check failed for (fp64): alpha = -4.05265452313083; diff1 = 1.11022302462516e-16; diff2 = 1.55135902209923; -645/1000
Check failed for (fp64): alpha = -4.04637133782365; diff1 = 1.11022302462516e-16; diff2 = 1.57158515332954; -644/1000
Check failed for (fp64): alpha = -4.03380496720929; diff1 = 1.11022302462516e-16; diff2 = 1.61264420904435; -642/1000
Check failed for (fp64): alpha = -4.02752178190211; diff1 = 1.11022302462516e-16; diff2 = 1.6334865397454; -641/1000
Check failed for (fp64): alpha = -4.02123859659494; diff1 = 2.22044604925031e-16; diff2 = 1.65454389194495; -640/1000
Check failed for (fp64): alpha = -4.01495541128776; diff1 = 1.11022302462516e-16; diff2 = 1.6758212990098; -639/1000
Check failed for (fp64): alpha = -4.0023890406734; diff1 = 2.22044604925031e-16; diff2 = 1.71905712077515; -637/1000
Check failed for (fp64): alpha = -3.98353948475186; diff1 = 2.22044604925031e-16; diff2 = 1.78569548420746; -634/1000
