Check failed for (fp80): alpha = -5.6046012940041911375; diff1 = 5.42101086242752217004e-20; diff2 = 1.612644209044355401; -892/1000
Check failed for (fp80): alpha = -5.59831810869701155088; diff1 = 1.08420217248550443401e-19; diff2 = 1.63348653974539479317; -891/1000
Check failed for (fp80): alpha = -5.59203492338983196427; diff1 = 5.42101086242752217004e-20; diff2 = 1.65454389194495126857; -890/1000
Check failed for (fp80): alpha = -5.57318536746829320486; diff1 = 5.42101086242752217004e-20; diff2 = 1.71905712077514886732; -887/1000
Check failed for (fp80): alpha = -5.56061899685393403207; diff1 = 5.42101086242752217004e-20; diff2 = 1.76323718472637822941; -885/1000
Check failed for (fp80): alpha = -5.54805262623957485928; diff1 = 5.42101086242752217004e-20; diff2 = 1.80840718747804159801; -883/1000
Check failed for (fp80): alpha = -5.54176944093239527266; diff1 = 5.42101086242752217004e-20; diff2 = 1.83137843172231596007; -882/1000
Check failed for (fp80): alpha = -5.53548625562521568648; diff1 = 5.42101086242752217004e-20; diff2 = 1.85461553666200633264; -881/1000
Check failed for (fp80): alpha = -5.52920307031803609987; diff1 = 1.08420217248550443401e-19; diff2 = 1.87812501163498470438; -880/1000
Check failed for (fp80): alpha = -5.52291988501085651326; diff1 = 5.42101086242752217004e-20; diff2 = 1.9019135630021364574; -879/1000
Check failed for (fp80): alpha = -5.51663669970367692708; diff1 = 5.42101086242752217004e-20; diff2 = 1.92598810190043076194; -878/1000
Check failed for (fp80): alpha = -5.50407032908931775385; diff1 = 5.42101086242752217004e-20; diff2 = 1.97502385981462860731; -876/1000
Check failed for (fp80): alpha = -5.49778714378213816723; diff1 = 1.08420217248550443401e-19; diff2 = 2.00000000000000000043; -875/1000
Check failed for (fp80): alpha = -5.47893758786059940783; diff1 = 1.08420217248550443401e-19; diff2 = 2.07685602836958281992; -872/1000
Check failed for (fp80): alpha = -5.46637121724624023503; diff1 = 1.08420217248550443401e-19; diff2 = 2.12978368064958373338; -870/1000
Check failed for (fp80): alpha = -5.45380484663188106224; diff1 = 1.08420217248550443401e-19; diff2 = 2.18414715970975397211; -868/1000
Check failed for (fp80): alpha = -5.43495529071034230283; diff1 = 1.08420217248550443401e-19; diff2 = 2.26855469851081092709; -865/1000
Check failed for (fp80): alpha = -5.42867210540316271622; diff1 = 1.08420217248550443401e-19; diff2 = 2.29749541206889823768; -864/1000
Check failed for (fp80): alpha = -5.37840662294572602418; diff1 = 1.08420217248550443401e-19; diff2 = 2.54520093392690927026; -856/1000
Check failed for (fp80): alpha = -5.372123437638546438; diff1 = 1.08420217248550443401e-19; diff2 = 2.57838446357013333955; -855/1000
Check failed for (fp80): alpha = -5.36584025233136685138; diff1 = 1.08420217248550443401e-19; diff2 = 2.61210997924863248202; -854/1000
Check failed for (fp80): alpha = -5.35327388171700767859; diff1 = 1.08420217248550443401e-19; diff2 = 2.68125206373724189355; -852/1000
Check failed for (fp80): alpha = -5.34699069640982809198; diff1 = 1.08420217248550443401e-19; diff2 = 2.71670277991352752478; -851/1000
Check failed for (fp80): alpha = -5.33442432579546891918; diff1 = 1.08420217248550443401e-19; diff2 = 2.7894540679481836451; -849/1000
Check failed for (fp80): alpha = -5.32814114048828933257; diff1 = 1.08420217248550443401e-19; diff2 = 2.82679304572450476683; -848/1000
Check failed for (fp80): alpha = -5.31557476987393015934; diff1 = 1.08420217248550443401e-19; diff2 = 2.90349965002018367164; -846/1000
Check failed for (fp80): alpha = -5.30300839925957098655; diff1 = 1.08420217248550443401e-19; diff2 = 2.98305716610032456079; -844/1000
Check failed for (fp80): alpha = -5.29044202864521181376; diff1 = 1.08420217248550443401e-19; diff2 = 3.06565411976878028069; -842/1000
Check failed for (fp80): alpha = -5.27787565803085264053; diff1 = 1.08420217248550443401e-19; diff2 = 3.15149571993730217428; -840/1000
Check failed for (fp80): alpha = -5.25902610210931388155; diff1 = 1.08420217248550443401e-19; diff2 = 3.28683697774442365501; -837/1000
Check failed for (fp80): alpha = -5.24017654618777512171; diff1 = 1.08420217248550443401e-19; diff2 = 3.43083247311412429343; -834/1000
Check failed for (fp80): alpha = -5.22132699026623636231; diff1 = 1.08420217248550443401e-19; diff2 = 3.58445245554307682272; -831/1000
Check failed for (fp80): alpha = -5.2024774343446976029; diff1 = 1.08420217248550443401e-19; diff2 = 3.74881604398857071637; -828/1000
Check failed for (fp80): alpha = -5.19619424903751801629; diff1 = 1.08420217248550443401e-19; diff2 = 3.80620986622778006807; -827/1000
Check failed for (fp80): alpha = -5.18991106373033843011; diff1 = 1.08420217248550443401e-19; diff2 = 3.86499289856836394713; -826/1000
Check failed for (fp80): alpha = -5.15221195188726091129; diff1 = 2.16840434497100886801e-19; diff2 = 4.25021634631440551992; -820/1000
Check failed for (fp80): alpha = -5.12707921065854256527; diff1 = 2.16840434497100886801e-19; diff2 = 4.54319460546597321884; -816/1000
Check failed for (fp80): alpha = -5.09566328412264463307; diff1 = 2.16840434497100886801e-19; diff2 = 4.96014078062265804415; -811/1000
Check failed for (fp80): alpha = -5.06424735758674670043; diff1 = 2.16840434497100886801e-19; diff2 = 5.44757367426649187665; -806/1000
Check failed for (fp80): alpha = -5.05796417227956711425; diff1 = 2.16840434497100886801e-19; diff2 = 5.55521370782994977112; -805/1000
Check failed for (fp80): alpha = -5.03911461635802835441; diff1 = 2.16840434497100886801e-19; diff2 = 5.90196081837345384175; -802/1000
Check failed for (fp80): alpha = -4.98884913390059166281; diff1 = 2.16840434497100886801e-19; diff2 = 7.04906283051451423589; -794/1000
Check failed for (fp80): alpha = -4.98256594859341207619; diff1 = 2.16840434497100886801e-19; diff2 = 7.22155485422931677289; -793/1000
Check failed for (fp80): alpha = -4.97628276328623249001; diff1 = 2.16840434497100886801e-19; diff2 = 7.40205539037454652001; -792/1000
Check failed for (fp80): alpha = -4.95743320736469373017; diff1 = 2.16840434497100886801e-19; diff2 = 7.99777141344894166707; -789/1000
Check failed for (fp80): alpha = -4.91345091021443662518; diff1 = 4.33680868994201773603e-19; diff2 = 9.81278001089745654552; -782/1000
Check failed for (fp80): alpha = -4.88203498367853869298; diff1 = 4.33680868994201773603e-19; diff2 = 11.675940117505143297; -777/1000
Check failed for (fp80): alpha = -4.86946861306417951975; diff1 = 4.33680868994201773603e-19; diff2 = 12.6275030293500861861; -775/1000
Check failed for (fp80): alpha = -4.86318542775699993314; diff1 = 4.33680868994201773603e-19; diff2 = 13.1622282265533077656; -774/1000
Check failed for (fp80): alpha = -4.84433587183546117373; diff1 = 4.33680868994201773603e-19; diff2 = 15.0695467664487889985; -771/1000
Check failed for (fp80): alpha = -4.81291994529956324153; diff1 = 8.67361737988403547206e-19; diff2 = 19.8273020435392883752; -766/1000
