Check failed for (fp64): x = -4.63070757139135; diff = 1.11022302462516e-16; -737/1000
Check failed for (fp64): x = -4.62442438608418; diff = 1.11022302462516e-16; -736/1000
Check failed for (fp64): x = -4.60557483016264; diff = 1.11022302462516e-16; -733/1000
Check failed for (fp64): x = -4.59929164485546; diff = 1.11022302462516e-16; -732/1000
Check failed for (fp64): x = -4.59300845954828; diff = 1.11022302462516e-16; -731/1000
Check failed for (fp64): x = -4.57415890362674; diff = 1.11022302462516e-16; -728/1000
Check failed for (fp64): x = -4.56787571831956; diff = 1.11022302462516e-16; -727/1000
Check failed for (fp64): x = -4.56159253301238; diff = 1.11022302462516e-16; -726/1000
Check failed for (fp64): x = -4.5553093477052; diff = 1.11022302462516e-16; -725/1000
Check failed for (fp64): x = -4.53017660647648; diff = 1.11022302462516e-16; -721/1000
Check failed for (fp64): x = -4.5238934211693; diff = 1.11022302462516e-16; -720/1000
Check failed for (fp64): x = -4.49876067994058; diff = 1.11022302462516e-16; -716/1000
Check failed for (fp64): x = -4.4924774946334; diff = 1.11022302462516e-16; -715/1000
Check failed for (fp64): x = -4.48619430932622; diff = 2.22044604925031e-16; -714/1000
Check failed for (fp64): x = -4.47991112401904; diff = 1.11022302462516e-16; -713/1000
Check failed for (fp64): x = -4.47362793871187; diff = 1.11022302462516e-16; -712/1000
Check failed for (fp64): x = -4.44849519748315; diff = 1.11022302462516e-16; -708/1000
Check failed for (fp64): x = -4.44221201217597; diff = 1.11022302462516e-16; -707/1000
Check failed for (fp64): x = -4.42336245625443; diff = 1.11022302462516e-16; -704/1000
Check failed for (fp64): x = -4.41079608564007; diff = 1.11022302462516e-16; -702/1000
Check failed for (fp64): x = -4.35424741787545; diff = 1.11022302462516e-16; -693/1000
Check failed for (fp64): x = -4.29769875011084; diff = 1.11022302462516e-16; -684/1000
Check failed for (fp64): x = -4.28513237949648; diff = 1.11022302462516e-16; -682/1000
Check failed for (fp64): x = -4.25371645296058; diff = 1.11022302462516e-16; -677/1000
Check failed for (fp64): x = -4.2474332676534; diff = 1.11022302462516e-16; -676/1000
Check failed for (fp64): x = -4.22230052642468; diff = 1.11022302462516e-16; -672/1000
Check failed for (fp64): x = -4.20973415581032; diff = 1.11022302462516e-16; -670/1000
Check failed for (fp64): x = -4.1846014145816; diff = 1.11022302462516e-16; -666/1000
