Check failed for (fp32): x = -4.090354; diff = 4.768372e-07; -651/1000
Check failed for (fp32): x = -4.08407; diff = 4.768372e-07; -650/1000
Check failed for (fp32): x = -4.077787; diff = 2.384186e-07; -649/1000
Check failed for (fp32): x = -4.071504; diff = 2.384186e-07; -648/1000
Check failed for (fp32): x = -4.058938; diff = 7.152557e-07; -646/1000
Check failed for (fp32): x = -4.052655; diff = 2.384186e-07; -645/1000
Check failed for (fp32): x = -4.046371; diff = 4.768372e-07; -644/1000
Check failed for (fp32): x = -4.040088; diff = 4.768372e-07; -643/1000
Check failed for (fp32): x = -4.027522; diff = 4.768372e-07; -641/1000
Check failed for (fp32): x = -4.021239; diff = 1.430511e-06; -640/1000
Check failed for (fp32): x = -4.014956; diff = 9.536743e-07; -639/1000
Check failed for (fp32): x = -4.008672; diff = 1.430511e-06; -638/1000
Check failed for (fp32): x = -4.002389; diff = 4.768372e-07; -637/1000
Check failed for (fp32): x = -3.996106; diff = 1.430511e-06; -636/1000
Check failed for (fp32): x = -3.989823; diff = 9.536743e-07; -635/1000
Check failed for (fp32): x = -3.98354; diff = 1.907349e-06; -634/1000
Check failed for (fp32): x = -3.977257; diff = 3.814697e-06; -633/1000
Check failed for (fp32): x = -3.970973; diff = 9.536743e-07; -632/1000
Check failed for (fp32): x = -3.96469; diff = 2.861023e-06; -631/1000
Check failed for (fp32): x = -3.958407; diff = 1.621246e-05; -630/1000
Check failed for (fp32): x = -3.952124; diff = 1.907349e-06; -629/1000
Check failed for (fp32): x = -3.945841; diff = 4.005432e-05; -628/1000
Check failed for (fp32): x = -3.939557; diff = 4.577637e-05; -627/1000
Check failed for (fp32): x = -3.933274; diff = 8.392334e-05; -626/1000
Check failed for (fp32): x = -3.926991; diff = 164424.8; -625/1000
Check failed for (fp32): x = -3.920708; diff = 2.288818e-05; -624/1000
Check failed for (fp32): x = -3.914425; diff = 5.722046e-05; -623/1000
Check failed for (fp32): x = -3.908141; diff = 1.525879e-05; -622/1000
Check failed for (fp32): x = -3.901858; diff = 5.722046e-06; -621/1000
Check failed for (fp32): x = -3.895575; diff = 1.144409e-05; -620/1000
Check failed for (fp32): x = -3.889292; diff = 1.907349e-06; -619/1000
Check failed for (fp32): x = -3.883008; diff = 9.536743e-07; -618/1000
Check failed for (fp32): x = -3.876725; diff = 9.536743e-07; -617/1000
Check failed for (fp32): x = -3.864159; diff = 1.430511e-06; -615/1000
Check failed for (fp32): x = -3.857876; diff = 4.768372e-07; -614/1000
Check failed for (fp32): x = -3.851593; diff = 1.430511e-06; -613/1000
Check failed for (fp32): x = -3.845309; diff = 1.907349e-06; -612/1000
Check failed for (fp32): x = -3.839026; diff = 9.536743e-07; -611/1000
Check failed for (fp32): x = -3.832743; diff = 9.536743e-07; -610/1000
Check failed for (fp32): x = -3.813894; diff = 4.768372e-07; -607/1000
Check failed for (fp32): x = -3.807611; diff = 9.536743e-07; -606/1000
Check failed for (fp32): x = -3.801327; diff = 4.768372e-07; -605/1000
Check failed for (fp32): x = -3.795044; diff = 2.384186e-07; -604/1000
Check failed for (fp32): x = -3.782478; diff = 2.384186e-07; -602/1000
Check failed for (fp32): x = -3.776195; diff = 2.384186e-07; -601/1000
Check failed for (fp32): x = -3.757345; diff = 2.384186e-07; -598/1000
Check failed for (fp32): x = -3.751062; diff = 2.384186e-07; -597/1000
Check failed for (fp32): x = -3.744779; diff = 4.768372e-07; -596/1000
Check failed for (fp32): x = -3.732212; diff = 2.384186e-07; -594/1000
Check failed for (fp32): x = -3.719646; diff = 4.768372e-07; -592/1000
Check failed for (fp32): x = -3.713363; diff = 2.384186e-07; -591/1000
Check failed for (fp32): x = -3.68823; diff = 1.192093e-07; -587/1000
Check failed for (fp32): x = -3.681947; diff = 2.384186e-07; -586/1000
Check failed for (fp32): x = -3.663097; diff = 1.192093e-07; -583/1000
Check failed for (fp32): x = -3.656814; diff = 1.192093e-07; -582/1000
Check failed for (fp32): x = -3.650531; diff = 1.192093e-07; -581/1000
Check failed for (fp32): x = -3.644248; diff = 1.192093e-07; -580/1000
Check failed for (fp32): x = -3.625398; diff = 2.384186e-07; -577/1000
Check failed for (fp32): x = -3.619115; diff = 1.192093e-07; -576/1000
Check failed for (fp32): x = -3.612832; diff = 1.192093e-07; -575/1000
Check failed for (fp32): x = -3.600265; diff = 1.192093e-07; -573/1000
Check failed for (fp32): x = -3.593982; diff = 1.192093e-07; -572/1000
Check failed for (fp32): x = -3.581416; diff = 1.192093e-07; -570/1000
Check failed for (fp32): x = -3.562566; diff = 1.192093e-07; -567/1000
Check failed for (fp32): x = -3.543717; diff = 1.192093e-07; -564/1000
Check failed for (fp32): x = -3.53115; diff = 1.192093e-07; -562/1000
Check failed for (fp32): x = -3.512301; diff = 5.960464e-08; -559/1000
Check failed for (fp32): x = -3.499734; diff = 5.960464e-08; -557/1000
Check failed for (fp32): x = -3.468318; diff = 5.960464e-08; -552/1000
Check failed for (fp32): x = -3.462035; diff = 5.960464e-08; -551/1000
Check failed for (fp32): x = -3.449469; diff = 5.960464e-08; -549/1000
Check failed for (fp32): x = -3.41177; diff = 5.960464e-08; -543/1000
Check failed for (fp32): x = -3.405487; diff = 5.960464e-08; -542/1000
Check failed for (fp32): x = -2.902832; diff = 5.960464e-08; -462/1000
Check failed for (fp32): x = -2.896549; diff = 5.960464e-08; -461/1000
Check failed for (fp32): x = -2.852566; diff = 5.960464e-08; -454/1000
Check failed for (fp32): x = -2.827433; diff = 5.960464e-08; -450/1000
Check failed for (fp32): x = -2.808584; diff = 5.960464e-08; -447/1000
Check failed for (fp32): x = -2.796017; diff = 5.960464e-08; -445/1000
Check failed for (fp32): x = -2.777168; diff = 5.960464e-08; -442/1000
Check failed for (fp32): x = -2.758318; diff = 5.960464e-08; -439/1000
Check failed for (fp32): x = -2.752035; diff = 5.960464e-08; -438/1000
Check failed for (fp32): x = -2.745752; diff = 1.192093e-07; -437/1000
Check failed for (fp32): x = -2.733186; diff = 1.192093e-07; -435/1000
Check failed for (fp32): x = -2.695487; diff = 1.192093e-07; -429/1000
Check failed for (fp32): x = -2.68292; diff = 1.192093e-07; -427/1000
Check failed for (fp32): x = -2.676637; diff = 1.192093e-07; -426/1000
Check failed for (fp32): x = -2.670354; diff = 1.192093e-07; -425/1000
Check failed for (fp32): x = -2.657788; diff = 2.384186e-07; -423/1000
Check failed for (fp32): x = -2.651504; diff = 1.192093e-07; -422/1000
Check failed for (fp32): x = -2.645221; diff = 1.192093e-07; -421/1000
Check failed for (fp32): x = -2.638938; diff = 1.192093e-07; -420/1000
Check failed for (fp32): x = -2.632655; diff = 2.384186e-07; -419/1000
Check failed for (fp32): x = -2.626372; diff = 1.192093e-07; -418/1000
Check failed for (fp32): x = -2.620088; diff = 1.192093e-07; -417/1000
Check failed for (fp32): x = -2.613805; diff = 1.192093e-07; -416/1000
Check failed for (fp32): x = -2.607522; diff = 1.192093e-07; -415/1000
Check failed for (fp32): x = -2.601239; diff = 2.384186e-07; -414/1000
Check failed for (fp32): x = -2.594955; diff = 1.192093e-07; -413/1000
Check failed for (fp32): x = -2.569823; diff = 4.768372e-07; -409/1000
Check failed for (fp32): x = -2.557256; diff = 2.384186e-07; -407/1000
Check failed for (fp32): x = -2.54469; diff = 2.384186e-07; -405/1000
Check failed for (fp32): x = -2.532124; diff = 4.768372e-07; -403/1000
Check failed for (fp32): x = -2.519557; diff = 2.384186e-07; -401/1000
Check failed for (fp32): x = -2.506991; diff = 2.384186e-07; -399/1000
Check failed for (fp32): x = -2.494425; diff = 9.536743e-07; -397/1000
Check failed for (fp32): x = -2.488142; diff = 2.384186e-07; -396/1000
Check failed for (fp32): x = -2.481858; diff = 4.768372e-07; -395/1000
Check failed for (fp32): x = -2.475575; diff = 4.768372e-07; -394/1000
Check failed for (fp32): x = -2.463009; diff = 4.768372e-07; -392/1000
Check failed for (fp32): x = -2.456726; diff = 9.536743e-07; -391/1000
Check failed for (fp32): x = -2.450442; diff = 4.768372e-07; -390/1000
