Check failed for (fp128): x = -1.947787445225671807846838897633291804e+00; diff = 1.925929944387235853055977942584927319e-34; -310/1000
Check failed for (fp128): x = -1.941504259918492221369913610866732903e+00; diff = 1.925929944387235853055977942584927319e-34; -309/1000
Check failed for (fp128): x = -1.935221074611312634892988324100173617e+00; diff = 1.925929944387235853055977942584927319e-34; -308/1000
Check failed for (fp128): x = -1.922654703996953461939137750567055815e+00; diff = 1.925929944387235853055977942584927319e-34; -306/1000
Check failed for (fp128): x = -1.916371518689773875462212463800496722e+00; diff = 1.925929944387235853055977942584927319e-34; -305/1000
Check failed for (fp128): x = -1.897521962768235116031436603500819634e+00; diff = 1.925929944387235853055977942584927319e-34; -302/1000
Check failed for (fp128): x = -1.884955592153875943077586029967701640e+00; diff = 1.925929944387235853055977942584927319e-34; -300/1000
Check failed for (fp128): x = -1.866106036232337183646810169668024552e+00; diff = 1.925929944387235853055977942584927319e-34; -297/1000
Check failed for (fp128): x = -1.847256480310798424216034309368347657e+00; diff = 1.925929944387235853055977942584927319e-34; -294/1000
Check failed for (fp128): x = -1.840973295003618837739109022601788756e+00; diff = 1.925929944387235853055977942584927319e-34; -293/1000
Check failed for (fp128): x = -1.834690109696439251262183735835229663e+00; diff = 1.925929944387235853055977942584927319e-34; -292/1000
Check failed for (fp128): x = -1.822123739082080078308333162302111476e+00; diff = 1.925929944387235853055977942584927319e-34; -290/1000
Check failed for (fp128): x = -1.809557368467720905354482588768993675e+00; diff = 1.925929944387235853055977942584927319e-34; -288/1000
Check failed for (fp128): x = -1.753008700703104627062155007869962604e+00; diff = 3.851859888774471706111955885169854637e-34; -279/1000
Check failed for (fp128): x = -1.746725515395925040585229721103403703e+00; diff = 3.851859888774471706111955885169854637e-34; -278/1000
Check failed for (fp128): x = -1.734159144781565867631379147570285516e+00; diff = 3.851859888774471706111955885169854637e-34; -276/1000
Check failed for (fp128): x = -1.727875959474386281154453860803726616e+00; diff = 7.703719777548943412223911770339709274e-34; -275/1000
Check failed for (fp128): x = -1.721592774167206694677528574037167522e+00; diff = 7.703719777548943412223911770339709274e-34; -274/1000
Check failed for (fp128): x = -1.715309588860027108200603287270608621e+00; diff = 3.851859888774471706111955885169854637e-34; -273/1000
Check failed for (fp128): x = -1.709026403552847521723678000504049335e+00; diff = 3.851859888774471706111955885169854637e-34; -272/1000
Check failed for (fp128): x = -1.677610477016949589339051566671254639e+00; diff = 7.703719777548943412223911770339709274e-34; -267/1000
Check failed for (fp128): x = -1.665044106402590416385200993138136644e+00; diff = 7.703719777548943412223911770339709274e-34; -265/1000
Check failed for (fp128): x = -1.646194550481051656954425132838459557e+00; diff = 7.703719777548943412223911770339709274e-34; -262/1000
