Check failed for (fp64): alpha = -5.4161057347888; beta = -1.3540264336972; diff = 8.88178419700125e-16; -862/1000
Check failed for (fp64): alpha = -5.40982254948162; beta = -1.35245563737041; diff = 8.88178419700125e-16; -861/1000
Check failed for (fp64): alpha = -5.40353936417444; beta = -1.35088484104361; diff = 2.66453525910038e-15; -860/1000
Check failed for (fp64): alpha = -5.39725617886726; beta = -1.34931404471682; diff = 8.88178419700125e-16; -859/1000
Check failed for (fp64): alpha = -5.39097299356008; beta = -1.34774324839002; diff = 2.66453525910038e-15; -858/1000
Check failed for (fp64): alpha = -5.38468980825291; beta = -1.34617245206323; diff = 1.77635683940025e-15; -857/1000
Check failed for (fp64): alpha = -5.37840662294573; beta = -1.34460165573643; diff = 8.88178419700125e-16; -856/1000
Check failed for (fp64): alpha = -5.35955706702419; beta = -1.33988926675605; diff = 1.77635683940025e-15; -853/1000
Check failed for (fp64): alpha = -5.35327388171701; beta = -1.33831847042925; diff = 1.77635683940025e-15; -852/1000
Check failed for (fp64): alpha = -5.34699069640983; beta = -1.33674767410246; diff = 1.77635683940025e-15; -851/1000
Check failed for (fp64): alpha = -5.34070751110265; beta = -1.33517687777566; diff = 1.77635683940025e-15; -850/1000
Check failed for (fp64): alpha = -5.33442432579547; beta = -1.33360608144887; diff = 2.66453525910038e-15; -849/1000
Check failed for (fp64): alpha = -5.32814114048829; beta = -1.33203528512207; diff = 8.88178419700125e-16; -848/1000
Check failed for (fp64): alpha = -5.32185795518111; beta = -1.33046448879528; diff = 8.88178419700125e-16; -847/1000
Check failed for (fp64): alpha = -5.30929158456675; beta = -1.32732289614169; diff = 8.88178419700125e-16; -845/1000
Check failed for (fp64): alpha = -5.30300839925957; beta = -1.32575209981489; diff = 2.66453525910038e-15; -844/1000
Check failed for (fp64): alpha = -5.29672521395239; beta = -1.3241813034881; diff = 2.66453525910038e-15; -843/1000
Check failed for (fp64): alpha = -5.28415884333803; beta = -1.32103971083451; diff = 8.88178419700125e-16; -841/1000
Check failed for (fp64): alpha = -5.27787565803085; beta = -1.31946891450771; diff = 1.77635683940025e-15; -840/1000
Check failed for (fp64): alpha = -5.27159247272367; beta = -1.31789811818092; diff = 1.77635683940025e-15; -839/1000
Check failed for (fp64): alpha = -5.26530928741649; beta = -1.31632732185412; diff = 8.88178419700125e-16; -838/1000
Check failed for (fp64): alpha = -5.25274291680213; beta = -1.31318572920053; diff = 8.88178419700125e-16; -836/1000
Check failed for (fp64): alpha = -5.24645973149495; beta = -1.31161493287374; diff = 1.77635683940025e-15; -835/1000
Check failed for (fp64): alpha = -5.24017654618777; beta = -1.31004413654694; diff = 8.88178419700125e-16; -834/1000
Check failed for (fp64): alpha = -5.23389336088059; beta = -1.30847334022015; diff = 8.88178419700125e-16; -833/1000
Check failed for (fp64): alpha = -5.22761017557342; beta = -1.30690254389335; diff = 8.88178419700125e-16; -832/1000
Check failed for (fp64): alpha = -5.22132699026624; beta = -1.30533174756656; diff = 8.88178419700125e-16; -831/1000
Check failed for (fp64): alpha = -5.21504380495906; beta = -1.30376095123976; diff = 8.88178419700125e-16; -830/1000
Check failed for (fp64): alpha = -5.18991106373034; beta = -1.29747776593258; diff = 8.88178419700125e-16; -826/1000
