Check failed for (fp64): x = -2.73318560862312; diff = 4.44089209850063e-16; -435/1000
Check failed for (fp64): x = -2.72690242331594; diff = 4.44089209850063e-16; -434/1000
Check failed for (fp64): x = -2.70176968208722; diff = 4.44089209850063e-16; -430/1000
Check failed for (fp64): x = -2.6766369408585; diff = 2.22044604925031e-16; -426/1000
Check failed for (fp64): x = -2.67035375555132; diff = 2.22044604925031e-16; -425/1000
Check failed for (fp64): x = -2.63265464370825; diff = 2.22044604925031e-16; -419/1000
Check failed for (fp64): x = -2.62637145840107; diff = 2.22044604925031e-16; -418/1000
Check failed for (fp64): x = -2.58867234655799; diff = 2.22044604925031e-16; -412/1000
Check failed for (fp64): x = -2.58238916125081; diff = 2.22044604925031e-16; -411/1000
Check failed for (fp64): x = -2.57610597594363; diff = 2.22044604925031e-16; -410/1000
Check failed for (fp64): x = -2.55725642002209; diff = 2.22044604925031e-16; -407/1000
Check failed for (fp64): x = -2.55097323471491; diff = 4.44089209850063e-16; -406/1000
Check failed for (fp64): x = -2.53840686410055; diff = 2.22044604925031e-16; -404/1000
Check failed for (fp64): x = -2.51955730817901; diff = 2.22044604925031e-16; -401/1000
Check failed for (fp64): x = -2.51327412287183; diff = 2.22044604925031e-16; -400/1000
Check failed for (fp64): x = -2.4944245669503; diff = 2.22044604925031e-16; -397/1000
Check failed for (fp64): x = -2.48814138164312; diff = 2.22044604925031e-16; -396/1000
Check failed for (fp64): x = -2.45672545510722; diff = 2.22044604925031e-16; -391/1000
Check failed for (fp64): x = -2.45044226980004; diff = 2.22044604925031e-16; -390/1000
Check failed for (fp64): x = -2.44415908449286; diff = 2.22044604925031e-16; -389/1000
Check failed for (fp64): x = -2.43787589918568; diff = 2.22044604925031e-16; -388/1000
Check failed for (fp64): x = -2.39389360203542; diff = 2.22044604925031e-16; -381/1000
Check failed for (fp64): x = -2.37504404611388; diff = 2.22044604925031e-16; -378/1000
Check failed for (fp64): x = -2.3687608608067; diff = 2.22044604925031e-16; -377/1000
Check failed for (fp64): x = -2.34991130488517; diff = 1.11022302462516e-16; -374/1000
Check failed for (fp64): x = -2.33734493427081; diff = 1.11022302462516e-16; -372/1000
Check failed for (fp64): x = -2.32477856365645; diff = 1.11022302462516e-16; -370/1000
Check failed for (fp64): x = -2.30592900773491; diff = 1.11022302462516e-16; -367/1000
Check failed for (fp64): x = -2.29336263712055; diff = 1.11022302462516e-16; -365/1000
Check failed for (fp64): x = -2.28079626650619; diff = 1.11022302462516e-16; -363/1000
Check failed for (fp64): x = -2.27451308119901; diff = 1.11022302462516e-16; -362/1000
Check failed for (fp64): x = -2.26194671058465; diff = 1.11022302462516e-16; -360/1000
Check failed for (fp64): x = -2.24309715466311; diff = 1.11022302462516e-16; -357/1000
Check failed for (fp64): x = -2.23053078404875; diff = 1.11022302462516e-16; -355/1000
Check failed for (fp64): x = -2.22424759874157; diff = 1.11022302462516e-16; -354/1000
Check failed for (fp64): x = -2.21796441343439; diff = 1.11022302462516e-16; -353/1000
Check failed for (fp64): x = -2.19283167220568; diff = 1.11022302462516e-16; -349/1000
Check failed for (fp64): x = -2.14256618974824; diff = 1.11022302462516e-16; -341/1000
Check failed for (fp64): x = -2.13628300444106; diff = 1.11022302462516e-16; -340/1000
Check failed for (fp64): x = -2.12999981913388; diff = 1.11022302462516e-16; -339/1000
Check failed for (fp64): x = -2.1237166338267; diff = 1.11022302462516e-16; -338/1000
Check failed for (fp64): x = -2.11743344851952; diff = 1.11022302462516e-16; -337/1000
Check failed for (fp64): x = -2.10486707790516; diff = 1.11022302462516e-16; -335/1000
Check failed for (fp64): x = -2.09858389259798; diff = 1.11022302462516e-16; -334/1000
Check failed for (fp64): x = -2.07973433667644; diff = 1.11022302462516e-16; -331/1000
