Check failed for (fp32): x = -3.845309; diff = 1.192093e-07; -612/1000
Check failed for (fp32): x = -3.839026; diff = 1.192093e-07; -611/1000
Check failed for (fp32): x = -3.832743; diff = 1.192093e-07; -610/1000
Check failed for (fp32): x = -3.813894; diff = 1.192093e-07; -607/1000
Check failed for (fp32): x = -3.807611; diff = 1.192093e-07; -606/1000
Check failed for (fp32): x = -3.782478; diff = 1.192093e-07; -602/1000
Check failed for (fp32): x = -3.776195; diff = 1.192093e-07; -601/1000
Check failed for (fp32): x = -3.751062; diff = 1.192093e-07; -597/1000
Check failed for (fp32): x = -3.744779; diff = 2.384186e-07; -596/1000
Check failed for (fp32): x = -3.732212; diff = 1.192093e-07; -594/1000
Check failed for (fp32): x = -3.725929; diff = 1.192093e-07; -593/1000
Check failed for (fp32): x = -3.694513; diff = 1.192093e-07; -588/1000
Check failed for (fp32): x = -3.68823; diff = 1.192093e-07; -587/1000
Check failed for (fp32): x = -3.681947; diff = 1.192093e-07; -586/1000
Check failed for (fp32): x = -3.675663; diff = 1.192093e-07; -585/1000
Check failed for (fp32): x = -3.663097; diff = 1.192093e-07; -583/1000
Check failed for (fp32): x = -3.656814; diff = 1.192093e-07; -582/1000
Check failed for (fp32): x = -3.631681; diff = 1.192093e-07; -578/1000
Check failed for (fp32): x = -3.625398; diff = 3.576279e-07; -577/1000
Check failed for (fp32): x = -3.606549; diff = 1.192093e-07; -574/1000
Check failed for (fp32): x = -3.600265; diff = 2.384186e-07; -573/1000
Check failed for (fp32): x = -3.587699; diff = 2.384186e-07; -571/1000
Check failed for (fp32): x = -3.562566; diff = 2.384186e-07; -567/1000
Check failed for (fp32): x = -3.556283; diff = 2.384186e-07; -566/1000
Check failed for (fp32): x = -3.55; diff = 2.384186e-07; -565/1000
Check failed for (fp32): x = -3.543717; diff = 2.384186e-07; -564/1000
Check failed for (fp32): x = -3.537434; diff = 2.384186e-07; -563/1000
Check failed for (fp32): x = -3.524867; diff = 2.384186e-07; -561/1000
Check failed for (fp32): x = -3.518584; diff = 2.384186e-07; -560/1000
Check failed for (fp32): x = -3.506018; diff = 2.384186e-07; -558/1000
Check failed for (fp32): x = -3.499734; diff = 2.384186e-07; -557/1000
Check failed for (fp32): x = -3.493451; diff = 2.384186e-07; -556/1000
Check failed for (fp32): x = -3.480885; diff = 2.384186e-07; -554/1000
Check failed for (fp32): x = -3.474602; diff = 2.384186e-07; -553/1000
Check failed for (fp32): x = -3.455752; diff = 2.384186e-07; -550/1000
Check failed for (fp32): x = -3.443186; diff = 2.384186e-07; -548/1000
Check failed for (fp32): x = -3.430619; diff = 2.384186e-07; -546/1000
Check failed for (fp32): x = -3.424336; diff = 2.384186e-07; -545/1000
Check failed for (fp32): x = -3.418053; diff = 2.384186e-07; -544/1000
Check failed for (fp32): x = -3.41177; diff = 4.768372e-07; -543/1000
Check failed for (fp32): x = -3.405487; diff = 2.384186e-07; -542/1000
Check failed for (fp32): x = -3.399203; diff = 2.384186e-07; -541/1000
Check failed for (fp32): x = -3.39292; diff = 4.768372e-07; -540/1000
Check failed for (fp32): x = -3.355221; diff = 4.768372e-07; -534/1000
Check failed for (fp32): x = -3.330088; diff = 4.768372e-07; -530/1000
Check failed for (fp32): x = -3.311239; diff = 4.768372e-07; -527/1000
Check failed for (fp32): x = -3.298672; diff = 4.768372e-07; -525/1000
Check failed for (fp32): x = -3.292389; diff = 4.768372e-07; -524/1000
Check failed for (fp32): x = -3.286106; diff = 4.768372e-07; -523/1000
Check failed for (fp32): x = -3.279823; diff = 4.768372e-07; -522/1000
Check failed for (fp32): x = -3.27354; diff = 4.768372e-07; -521/1000
Check failed for (fp32): x = -3.248407; diff = 9.536743e-07; -517/1000
Check failed for (fp32): x = -3.23584; diff = 9.536743e-07; -515/1000
Check failed for (fp32): x = -3.223274; diff = 9.536743e-07; -513/1000
Check failed for (fp32): x = -3.216991; diff = 9.536743e-07; -512/1000
Check failed for (fp32): x = -3.204425; diff = 9.536743e-07; -510/1000
Check failed for (fp32): x = -3.198141; diff = 1.907349e-06; -509/1000
Check failed for (fp32): x = -3.185575; diff = 1.907349e-06; -507/1000
Check failed for (fp32): x = -3.179292; diff = 1.907349e-06; -506/1000
Check failed for (fp32): x = -3.173009; diff = 1.907349e-06; -505/1000
Check failed for (fp32): x = -3.166726; diff = 3.814697e-06; -504/1000
Check failed for (fp32): x = -3.154159; diff = 7.629395e-06; -502/1000
Check failed for (fp32): x = -3.141593; diff = 1; -500/1000
Check failed for (fp32): x = -3.129026; diff = 7.629395e-06; -498/1000
Check failed for (fp32): x = -3.122743; diff = 3.814697e-06; -497/1000
Check failed for (fp32): x = -3.110177; diff = 1.907349e-06; -495/1000
Check failed for (fp32): x = -3.103894; diff = 1.907349e-06; -494/1000
Check failed for (fp32): x = -3.09761; diff = 1.907349e-06; -493/1000
Check failed for (fp32): x = -3.072478; diff = 9.536743e-07; -489/1000
Check failed for (fp32): x = -3.066195; diff = 9.536743e-07; -488/1000
Check failed for (fp32): x = -3.059911; diff = 9.536743e-07; -487/1000
Check failed for (fp32): x = -3.034779; diff = 9.536743e-07; -483/1000
Check failed for (fp32): x = -3.028495; diff = 9.536743e-07; -482/1000
Check failed for (fp32): x = -3.015929; diff = 4.768372e-07; -480/1000
Check failed for (fp32): x = -3.009646; diff = 4.768372e-07; -479/1000
Check failed for (fp32): x = -3.003363; diff = 4.768372e-07; -478/1000
Check failed for (fp32): x = -2.997079; diff = 4.768372e-07; -477/1000
Check failed for (fp32): x = -2.990796; diff = 9.536743e-07; -476/1000
Check failed for (fp32): x = -2.971947; diff = 4.768372e-07; -473/1000
Check failed for (fp32): x = -2.965664; diff = 4.768372e-07; -472/1000
Check failed for (fp32): x = -2.934248; diff = 4.768372e-07; -467/1000
Check failed for (fp32): x = -2.927964; diff = 4.768372e-07; -466/1000
Check failed for (fp32): x = -2.921681; diff = 4.768372e-07; -465/1000
Check failed for (fp32): x = -2.902832; diff = 4.768372e-07; -462/1000
Check failed for (fp32): x = -2.896549; diff = 4.768372e-07; -461/1000
Check failed for (fp32): x = -2.871416; diff = 2.384186e-07; -457/1000
Check failed for (fp32): x = -2.865133; diff = 2.384186e-07; -456/1000
Check failed for (fp32): x = -2.852566; diff = 2.384186e-07; -454/1000
Check failed for (fp32): x = -2.846283; diff = 2.384186e-07; -453/1000
Check failed for (fp32): x = -2.84; diff = 2.384186e-07; -452/1000
Check failed for (fp32): x = -2.833717; diff = 2.384186e-07; -451/1000
Check failed for (fp32): x = -2.814867; diff = 2.384186e-07; -448/1000
Check failed for (fp32): x = -2.808584; diff = 2.384186e-07; -447/1000
Check failed for (fp32): x = -2.720619; diff = 2.384186e-07; -433/1000
Check failed for (fp32): x = -2.695487; diff = 2.384186e-07; -429/1000
Check failed for (fp32): x = -2.689204; diff = 2.384186e-07; -428/1000
Check failed for (fp32): x = -2.670354; diff = 1.192093e-07; -425/1000
Check failed for (fp32): x = -2.657788; diff = 1.192093e-07; -423/1000
Check failed for (fp32): x = -2.620088; diff = 1.192093e-07; -417/1000
Check failed for (fp32): x = -2.613805; diff = 1.192093e-07; -416/1000
Check failed for (fp32): x = -2.607522; diff = 1.192093e-07; -415/1000
Check failed for (fp32): x = -2.594955; diff = 1.192093e-07; -413/1000
Check failed for (fp32): x = -2.588672; diff = 1.192093e-07; -412/1000
Check failed for (fp32): x = -2.569823; diff = 1.192093e-07; -409/1000
Check failed for (fp32): x = -2.557256; diff = 1.192093e-07; -407/1000
Check failed for (fp32): x = -2.54469; diff = 1.192093e-07; -405/1000
Check failed for (fp32): x = -2.532124; diff = 1.192093e-07; -403/1000
Check failed for (fp32): x = -2.519557; diff = 1.192093e-07; -401/1000
Check failed for (fp32): x = -2.513274; diff = 1.192093e-07; -400/1000
Check failed for (fp32): x = -2.500708; diff = 1.192093e-07; -398/1000
Check failed for (fp32): x = -2.494425; diff = 1.192093e-07; -397/1000
Check failed for (fp32): x = -2.437876; diff = 1.192093e-07; -388/1000
Check failed for (fp32): x = -2.400177; diff = 1.192093e-07; -382/1000
Check failed for (fp32): x = -2.393894; diff = 1.192093e-07; -381/1000
