Check failed for (fp128): alpha = -6.276902121872406890448361479792446694e+00; beta = -1.569225530468101722612090369948111674e+00; diff = 3.851859888774471706111955885169854637e-34; -999/1000
Check failed for (fp128): alpha = -6.006725153663684671940574148830409336e+00; beta = -1.501681288415921167985143537207602334e+00; diff = 4.814824860968089632639944856462318296e-34; -956/1000
Check failed for (fp128): alpha = -5.994158783049325498986723575297291535e+00; beta = -1.498539695762331374746680893824322884e+00; diff = 2.888894916580853779583966913877390978e-34; -954/1000
Check failed for (fp128): alpha = -5.981592412434966326032873001764173733e+00; beta = -1.495398103108741581508218250441043433e+00; diff = 3.851859888774471706111955885169854637e-34; -952/1000
Check failed for (fp128): alpha = -5.969026041820607153079022428231055161e+00; beta = -1.492256510455151788269755607057763790e+00; diff = 1.925929944387235853055977942584927319e-34; -950/1000
Check failed for (fp128): alpha = -5.962742856513427566602097141464496260e+00; beta = -1.490685714128356891650524285366124065e+00; diff = 2.888894916580853779583966913877390978e-34; -949/1000
Check failed for (fp128): alpha = -5.956459671206247980125171854697937359e+00; beta = -1.489114917801561995031292963674484340e+00; diff = 1.925929944387235853055977942584927319e-34; -948/1000
Check failed for (fp128): alpha = -5.950176485899068393648246567931378459e+00; beta = -1.487544121474767098412061641982844615e+00; diff = 2.888894916580853779583966913877390978e-34; -947/1000
Check failed for (fp128): alpha = -5.943893300591888807171321281164819558e+00; beta = -1.485973325147972201792830320291204889e+00; diff = 1.925929944387235853055977942584927319e-34; -946/1000
Check failed for (fp128): alpha = -5.937610115284709220694395994398259887e+00; beta = -1.484402528821177305173598998599564972e+00; diff = 4.814824860968089632639944856462318296e-34; -945/1000
Check failed for (fp128): alpha = -5.925043744670350047740545420865142085e+00; beta = -1.481260936167587511935136355216285521e+00; diff = 4.814824860968089632639944856462318296e-34; -943/1000
Check failed for (fp128): alpha = -5.912477374055990874786694847332024283e+00; beta = -1.478119343513997718696673711833006071e+00; diff = 2.888894916580853779583966913877390978e-34; -941/1000
Check failed for (fp128): alpha = -5.899911003441631701832844273798905711e+00; beta = -1.474977750860407925458211068449726428e+00; diff = 1.925929944387235853055977942584927319e-34; -939/1000
Check failed for (fp128): alpha = -5.887344632827272528878993700265788680e+00; beta = -1.471836158206818132219748425066447170e+00; diff = 3.851859888774471706111955885169854637e-34; -937/1000
Check failed for (fp128): alpha = -5.874778262212913355925143126732670878e+00; beta = -1.468694565553228338981285781683167720e+00; diff = 3.851859888774471706111955885169854637e-34; -935/1000
Check failed for (fp128): alpha = -5.868495076905733769448217839966111207e+00; beta = -1.467123769226433442362054459991527802e+00; diff = 2.888894916580853779583966913877390978e-34; -934/1000
Check failed for (fp128): alpha = -5.862211891598554182971292553199552306e+00; beta = -1.465552972899638545742823138299888077e+00; diff = 2.888894916580853779583966913877390978e-34; -933/1000
Check failed for (fp128): alpha = -5.855928706291374596494367266432993406e+00; beta = -1.463982176572843649123591816608248351e+00; diff = 1.925929944387235853055977942584927319e-34; -932/1000
Check failed for (fp128): alpha = -5.849645520984195010017441979666434505e+00; beta = -1.462411380246048752504360494916608626e+00; diff = 1.925929944387235853055977942584927319e-34; -931/1000
Check failed for (fp128): alpha = -5.843362335677015423540516692899875604e+00; beta = -1.460840583919253855885129173224968901e+00; diff = 1.925929944387235853055977942584927319e-34; -930/1000
Check failed for (fp128): alpha = -5.830795965062656250586666119366757032e+00; beta = -1.457698991265664062646666529841689258e+00; diff = 2.888894916580853779583966913877390978e-34; -928/1000
Check failed for (fp128): alpha = -5.818229594448297077632815545833639230e+00; beta = -1.454557398612074269408203886458409808e+00; diff = 3.851859888774471706111955885169854637e-34; -926/1000
Check failed for (fp128): alpha = -5.805663223833937904678964972300520658e+00; beta = -1.451415805958484476169741243075130165e+00; diff = 1.925929944387235853055977942584927319e-34; -924/1000
Check failed for (fp128): alpha = -5.799380038526758318202039685533961757e+00; beta = -1.449845009631689579550509921383490439e+00; diff = 1.925929944387235853055977942584927319e-34; -923/1000
Check failed for (fp128): alpha = -5.786813667912399145248189112000843956e+00; beta = -1.446703416978099786312047278000210989e+00; diff = 1.925929944387235853055977942584927319e-34; -921/1000
Check failed for (fp128): alpha = -5.780530482605219558771263825234285055e+00; beta = -1.445132620651304889692815956308571264e+00; diff = 1.925929944387235853055977942584927319e-34; -920/1000
Check failed for (fp128): alpha = -5.767964111990860385817413251701167253e+00; beta = -1.441991027997715096454353312925291813e+00; diff = 1.925929944387235853055977942584927319e-34; -918/1000
Check failed for (fp128): alpha = -5.761680926683680799340487964934608352e+00; beta = -1.440420231670920199835121991233652088e+00; diff = 1.925929944387235853055977942584927319e-34; -917/1000
Check failed for (fp128): alpha = -5.755397741376501212863562678168049452e+00; beta = -1.438849435344125303215890669542012363e+00; diff = 1.925929944387235853055977942584927319e-34; -916/1000
Check failed for (fp128): alpha = -5.749114556069321626386637391401490551e+00; beta = -1.437278639017330406596659347850372638e+00; diff = 1.925929944387235853055977942584927319e-34; -915/1000
Check failed for (fp128): alpha = -5.736548185454962453432786817868371979e+00; beta = -1.434137046363740613358196704467092995e+00; diff = 3.851859888774471706111955885169854637e-34; -913/1000
Check failed for (fp128): alpha = -5.723981814840603280478936244335254177e+00; beta = -1.430995453710150820119734061083813544e+00; diff = 2.888894916580853779583966913877390978e-34; -911/1000
Check failed for (fp128): alpha = -5.711415444226244107525085670802136375e+00; beta = -1.427853861056561026881271417700534094e+00; diff = 2.888894916580853779583966913877390978e-34; -909/1000
Check failed for (fp128): alpha = -5.698849073611884934571235097269017803e+00; beta = -1.424712268402971233642808774317254451e+00; diff = 1.925929944387235853055977942584927319e-34; -907/1000
Check failed for (fp128): alpha = -5.692565888304705348094309810502458903e+00; beta = -1.423141472076176337023577452625614726e+00; diff = 2.888894916580853779583966913877390978e-34; -906/1000
Check failed for (fp128): alpha = -5.686282702997525761617384523735900002e+00; beta = -1.421570675749381440404346130933975000e+00; diff = 2.888894916580853779583966913877390978e-34; -905/1000
Check failed for (fp128): alpha = -5.679999517690346175140459236969341101e+00; beta = -1.419999879422586543785114809242335275e+00; diff = 1.925929944387235853055977942584927319e-34; -904/1000
Check failed for (fp128): alpha = -5.673716332383166588663533950202782200e+00; beta = -1.418429083095791647165883487550695550e+00; diff = 2.888894916580853779583966913877390978e-34; -903/1000
Check failed for (fp128): alpha = -5.667433147075987002186608663436223299e+00; beta = -1.416858286768996750546652165859055825e+00; diff = 1.925929944387235853055977942584927319e-34; -902/1000
Check failed for (fp128): alpha = -5.661149961768807415709683376669664399e+00; beta = -1.415287490442201853927420844167416100e+00; diff = 1.925929944387235853055977942584927319e-34; -901/1000
Check failed for (fp128): alpha = -5.654866776461627829232758089903105498e+00; beta = -1.413716694115406957308189522475776374e+00; diff = 1.925929944387235853055977942584927319e-34; -900/1000
Check failed for (fp128): alpha = -5.648583591154448242755832803136546597e+00; beta = -1.412145897788612060688958200784136649e+00; diff = 1.925929944387235853055977942584927319e-34; -899/1000
Check failed for (fp128): alpha = -5.642300405847268656278907516369986926e+00; beta = -1.410575101461817164069726879092496731e+00; diff = 3.851859888774471706111955885169854637e-34; -898/1000
Check failed for (fp128): alpha = -5.629734035232909483325056942836869124e+00; beta = -1.407433508808227370831264235709217281e+00; diff = 2.888894916580853779583966913877390978e-34; -896/1000
Check failed for (fp128): alpha = -5.617167664618550310371206369303751322e+00; beta = -1.404291916154637577592801592325937831e+00; diff = 3.851859888774471706111955885169854637e-34; -894/1000
Check failed for (fp128): alpha = -5.610884479311370723894281082537191651e+00; beta = -1.402721119827842680973570270634297913e+00; diff = 1.925929944387235853055977942584927319e-34; -893/1000
Check failed for (fp128): alpha = -5.604601294004191137417355795770632750e+00; beta = -1.401150323501047784354338948942658188e+00; diff = 1.925929944387235853055977942584927319e-34; -892/1000
Check failed for (fp128): alpha = -5.585751738082652377986579935470956048e+00; beta = -1.396437934520663094496644983867739012e+00; diff = 1.925929944387235853055977942584927319e-34; -889/1000
Check failed for (fp128): alpha = -5.573185367468293205032729361937837476e+00; beta = -1.393296341867073301258182340484459369e+00; diff = 3.851859888774471706111955885169854637e-34; -887/1000
Check failed for (fp128): alpha = -5.560618996853934032078878788404719674e+00; beta = -1.390154749213483508019719697101179919e+00; diff = 3.851859888774471706111955885169854637e-34; -885/1000
Check failed for (fp128): alpha = -5.548052626239574859125028214871601873e+00; beta = -1.387013156559893714781257053717900468e+00; diff = 2.888894916580853779583966913877390978e-34; -883/1000
Check failed for (fp128): alpha = -5.535486255625215686171177641338484071e+00; beta = -1.383871563906303921542794410334621018e+00; diff = 4.814824860968089632639944856462318296e-34; -881/1000
Check failed for (fp128): alpha = -5.522919885010856513217327067805366269e+00; beta = -1.380729971252714128304331766951341567e+00; diff = 4.814824860968089632639944856462318296e-34; -879/1000
Check failed for (fp128): alpha = -5.497787143782138167309625920739129896e+00; beta = -1.374446785945534541827406480184782474e+00; diff = 1.925929944387235853055977942584927319e-34; -875/1000
Check failed for (fp128): alpha = -5.478937587860599407878850060439452423e+00; beta = -1.369734396965149851969712515109863106e+00; diff = 3.851859888774471706111955885169854637e-34; -872/1000
Check failed for (fp128): alpha = -5.466371217246240234924999486906334621e+00; beta = -1.366592804311560058731249871726583655e+00; diff = 3.851859888774471706111955885169854637e-34; -870/1000
Check failed for (fp128): alpha = -5.453804846631881061971148913373216819e+00; beta = -1.363451211657970265492787228343304205e+00; diff = 3.370377402677662742847961399523622807e-34; -868/1000
Check failed for (fp128): alpha = -5.441238476017521889017298339840099018e+00; beta = -1.360309619004380472254324584960024754e+00; diff = 3.370377402677662742847961399523622807e-34; -866/1000
Check failed for (fp128): alpha = -5.428672105403162716063447766306981216e+00; beta = -1.357168026350790679015861941576745304e+00; diff = 3.370377402677662742847961399523622807e-34; -864/1000
Check failed for (fp128): alpha = -5.416105734788803543109597192773863414e+00; beta = -1.354026433697200885777399298193465854e+00; diff = 3.851859888774471706111955885169854637e-34; -862/1000
Check failed for (fp128): alpha = -5.409822549481623956632671906007303743e+00; beta = -1.352455637370405989158167976501825936e+00; diff = 1.925929944387235853055977942584927319e-34; -861/1000
Check failed for (fp128): alpha = -5.403539364174444370155746619240744842e+00; beta = -1.350884841043611092538936654810186211e+00; diff = 2.407412430484044816319972428231159148e-34; -860/1000
Check failed for (fp128): alpha = -5.397256178867264783678821332474185942e+00; beta = -1.349314044716816195919705333118546485e+00; diff = 1.925929944387235853055977942584927319e-34; -859/1000
Check failed for (fp128): alpha = -5.384689808252905610724970758941068140e+00; beta = -1.346172452063226402681242689735267035e+00; diff = 2.407412430484044816319972428231159148e-34; -857/1000
Check failed for (fp128): alpha = -5.372123437638546437771120185407949568e+00; beta = -1.343030859409636609442780046351987392e+00; diff = 3.851859888774471706111955885169854637e-34; -855/1000
Check failed for (fp128): alpha = -5.359557067024187264817269611874831766e+00; beta = -1.339889266756046816204317402968707942e+00; diff = 3.370377402677662742847961399523622807e-34; -853/1000
Check failed for (fp128): alpha = -5.346990696409828091863419038341713194e+00; beta = -1.336747674102457022965854759585428299e+00; diff = 2.407412430484044816319972428231159148e-34; -851/1000
Check failed for (fp128): alpha = -5.340707511102648505386493751575154293e+00; beta = -1.335176877775662126346623437893788573e+00; diff = 2.407412430484044816319972428231159148e-34; -850/1000
Check failed for (fp128): alpha = -5.334424325795468918909568464808595393e+00; beta = -1.333606081448867229727392116202148848e+00; diff = 2.407412430484044816319972428231159148e-34; -849/1000
Check failed for (fp128): alpha = -5.328141140488289332432643178042036492e+00; beta = -1.332035285122072333108160794510509123e+00; diff = 1.925929944387235853055977942584927319e-34; -848/1000
Check failed for (fp128): alpha = -5.321857955181109745955717891275477591e+00; beta = -1.330464488795277436488929472818869398e+00; diff = 1.925929944387235853055977942584927319e-34; -847/1000
Check failed for (fp128): alpha = -5.315574769873930159478792604508918690e+00; beta = -1.328893692468482539869698151127229673e+00; diff = 1.925929944387235853055977942584927319e-34; -846/1000
Check failed for (fp128): alpha = -5.309291584566750573001867317742359789e+00; beta = -1.327322896141687643250466829435589947e+00; diff = 1.925929944387235853055977942584927319e-34; -845/1000
Check failed for (fp128): alpha = -5.277875658030852640617240883909564515e+00; beta = -1.319468914507713160154310220977391129e+00; diff = 2.888894916580853779583966913877390978e-34; -840/1000
Check failed for (fp128): alpha = -5.265309287416493467663390310376446713e+00; beta = -1.316327321854123366915847577594111678e+00; diff = 3.851859888774471706111955885169854637e-34; -838/1000
Check failed for (fp128): alpha = -5.252742916802134294709539736843328912e+00; beta = -1.313185729200533573677384934210832228e+00; diff = 4.333342374871280669375950370816086467e-34; -836/1000
Check failed for (fp128): alpha = -5.240176546187775121755689163310210340e+00; beta = -1.310044136546943780438922290827552585e+00; diff = 2.166671187435640334687975185408043233e-34; -834/1000
Check failed for (fp128): alpha = -5.233893360880595535278763876543651439e+00; beta = -1.308473340220148883819690969135912860e+00; diff = 1.925929944387235853055977942584927319e-34; -833/1000
Check failed for (fp128): alpha = -5.227610175573415948801838589777092538e+00; beta = -1.306902543893353987200459647444273134e+00; diff = 2.166671187435640334687975185408043233e-34; -832/1000
Check failed for (fp128): alpha = -5.221326990266236362324913303010533637e+00; beta = -1.305331747566559090581228325752633409e+00; diff = 1.925929944387235853055977942584927319e-34; -831/1000
Check failed for (fp128): alpha = -5.215043804959056775847988016243974736e+00; beta = -1.303760951239764193961997004060993684e+00; diff = 1.925929944387235853055977942584927319e-34; -830/1000
Check failed for (fp128): alpha = -5.196194249037518016417212155944298034e+00; beta = -1.299048562259379504104303038986074508e+00; diff = 1.925929944387235853055977942584927319e-34; -827/1000
Check failed for (fp128): alpha = -5.189911063730338429940286869177739133e+00; beta = -1.297477765932584607485071717294434783e+00; diff = 1.925929944387235853055977942584927319e-34; -826/1000
Check failed for (fp128): alpha = -5.183627878423158843463361582411179462e+00; beta = -1.295906969605789710865840395602794865e+00; diff = 3.611118645726067224479958642346738722e-34; -825/1000
Check failed for (fp128): alpha = -5.171061507808799670509511008878061660e+00; beta = -1.292765376952199917627377752219515415e+00; diff = 3.370377402677662742847961399523622807e-34; -823/1000
Check failed for (fp128): alpha = -5.158495137194440497555660435344943858e+00; beta = -1.289623784298610124388915108836235965e+00; diff = 3.851859888774471706111955885169854637e-34; -821/1000
Check failed for (fp128): alpha = -5.114512840044183392217183427979030012e+00; beta = -1.278628210011045848054295856994757503e+00; diff = 3.611118645726067224479958642346738722e-34; -814/1000
Check failed for (fp128): alpha = -5.095663284122644632786407567679354080e+00; beta = -1.273915821030661158196601891919838520e+00; diff = 2.046300565911438093871976563996485276e-34; -811/1000
Check failed for (fp128): alpha = -5.076813728201105873355631707379676607e+00; beta = -1.269203432050276468338907926844919152e+00; diff = 4.032415821060775067335953817287191573e-34; -808/1000
Check failed for (fp128): alpha = -5.064247357586746700401781133846558805e+00; beta = -1.266061839396686675100445283461639701e+00; diff = 3.912045199536572826519955195875633616e-34; -806/1000
Check failed for (fp128): alpha = -5.045397801665207940971005273546881333e+00; beta = -1.261349450416301985242751318386720333e+00; diff = 2.046300565911438093871976563996485276e-34; -803/1000
Check failed for (fp128): alpha = -5.032831431050848768017154700013763531e+00; beta = -1.258207857762712192004288675003440883e+00; diff = 1.971068927458811693361977425614261553e-34; -801/1000
Check failed for (fp128): alpha = -5.026548245743669181540229413247204630e+00; beta = -1.256637061435917295385057353311801158e+00; diff = 2.130958792562518076626383457819483537e-34; -800/1000
Check failed for (fp128): alpha = -5.020265060436489595063304126480644959e+00; beta = -1.255066265109122398765826031620161240e+00; diff = 3.866906216464996986213955712846299382e-34; -799/1000
Check failed for (fp128): alpha = -5.007698689822130422109453552947527157e+00; beta = -1.251924672455532605527363388236881789e+00; diff = 3.611118645726067224479958642346738722e-34; -797/1000
Check failed for (fp128): alpha = -4.995132319207771249155602979414409356e+00; beta = -1.248783079801942812288900744853602339e+00; diff = 3.791674578012370585703956574464075658e-34; -795/1000
Check failed for (fp128): alpha = -4.982565948593412076201752405881291554e+00; beta = -1.245641487148353019050438101470322888e+00; diff = 3.671303956488168344887957953052517701e-34; -793/1000
Check failed for (fp128): alpha = -4.969999577979052903247901832348173752e+00; beta = -1.242499894494763225811975458087043438e+00; diff = 3.370377402677662742847961399523622807e-34; -791/1000
Check failed for (fp128): alpha = -4.938583651443154970863275398515378478e+00; beta = -1.234645912860788742715818849628844619e+00; diff = 1.925929944387235853055977942584927319e-34; -786/1000
Check failed for (fp128): alpha = -4.932300466135975384386350111748819577e+00; beta = -1.233075116533993846096587527937204894e+00; diff = 1.925929944387235853055977942584927319e-34; -785/1000
Check failed for (fp128): alpha = -4.926017280828795797909424824982260676e+00; beta = -1.231504320207198949477356206245565169e+00; diff = 2.166671187435640334687975185408043233e-34; -784/1000
Check failed for (fp128): alpha = -4.913450910214436624955574251449142104e+00; beta = -1.228362727553609156238893562862285526e+00; diff = 3.851859888774471706111955885169854637e-34; -782/1000
Check failed for (fp128): alpha = -4.900884539600077452001723677916024302e+00; beta = -1.225221134900019363000430919479006076e+00; diff = 3.851859888774471706111955885169854637e-34; -780/1000
Check failed for (fp128): alpha = -4.888318168985718279047873104382906501e+00; beta = -1.222079542246429569761968276095726625e+00; diff = 3.611118645726067224479958642346738722e-34; -778/1000
Check failed for (fp128): alpha = -4.875751798371359106094022530849788699e+00; beta = -1.218937949592839776523505632712447175e+00; diff = 3.851859888774471706111955885169854637e-34; -776/1000
Check failed for (fp128): alpha = -4.863185427756999933140171957316670897e+00; beta = -1.215796356939249983285042989329167724e+00; diff = 3.851859888774471706111955885169854637e-34; -774/1000
Check failed for (fp128): alpha = -4.850619057142640760186321383783552325e+00; beta = -1.212654764285660190046580345945888081e+00; diff = 1.925929944387235853055977942584927319e-34; -772/1000
Check failed for (fp128): alpha = -4.838052686528281587232470810250434524e+00; beta = -1.209513171632070396808117702562608631e+00; diff = 1.925929944387235853055977942584927319e-34; -770/1000
Check failed for (fp128): alpha = -4.831769501221102000755545523483875623e+00; beta = -1.207942375305275500188886380870968906e+00; diff = 1.925929944387235853055977942584927319e-34; -769/1000
Check failed for (fp128): alpha = -4.819203130606742827801694949950757051e+00; beta = -1.204800782651685706950423737487689263e+00; diff = 4.333342374871280669375950370816086467e-34; -767/1000
Check failed for (fp128): alpha = -4.806636759992383654847844376417639249e+00; beta = -1.201659189998095913711961094104409812e+00; diff = 3.370377402677662742847961399523622807e-34; -765/1000
Check failed for (fp128): alpha = -4.794070389378024481893993802884520677e+00; beta = -1.198517597344506120473498450721130169e+00; diff = 1.925929944387235853055977942584927319e-34; -763/1000
Check failed for (fp128): alpha = -4.781504018763665308940143229351402876e+00; beta = -1.195376004690916327235035807337850719e+00; diff = 1.925929944387235853055977942584927319e-34; -761/1000
Check failed for (fp128): alpha = -4.768937648149306135986292655818285074e+00; beta = -1.192234412037326533996573163954571269e+00; diff = 1.925929944387235853055977942584927319e-34; -759/1000
Check failed for (fp128): alpha = -4.762654462842126549509367369051726173e+00; beta = -1.190663615710531637377341842262931543e+00; diff = 2.407412430484044816319972428231159148e-34; -758/1000
Check failed for (fp128): alpha = -4.756371277534946963032442082285167272e+00; beta = -1.189092819383736740758110520571291818e+00; diff = 1.925929944387235853055977942584927319e-34; -757/1000
Check failed for (fp128): alpha = -4.750088092227767376555516795518608372e+00; beta = -1.187522023056941844138879198879652093e+00; diff = 1.925929944387235853055977942584927319e-34; -756/1000
Check failed for (fp128): alpha = -4.737521721613408203601666221985490570e+00; beta = -1.184380430403352050900416555496372642e+00; diff = 1.925929944387235853055977942584927319e-34; -754/1000
Check failed for (fp128): alpha = -4.724955350999049030647815648452371998e+00; beta = -1.181238837749762257661953912113092999e+00; diff = 3.851859888774471706111955885169854637e-34; -752/1000
Check failed for (fp128): alpha = -4.712388980384689857693965074919254196e+00; beta = -1.178097245096172464423491268729813549e+00; diff = 3.851859888774471706111955885169854637e-34; -750/1000
Check failed for (fp128): alpha = -4.699822609770330684740114501386136395e+00; beta = -1.174955652442582671185028625346534099e+00; diff = 4.333342374871280669375950370816086467e-34; -748/1000
Check failed for (fp128): alpha = -4.693539424463151098263189214619576723e+00; beta = -1.173384856115787774565797303654894181e+00; diff = 1.925929944387235853055977942584927319e-34; -747/1000
Check failed for (fp128): alpha = -4.680973053848791925309338641086458922e+00; beta = -1.170243263462197981327334660271614730e+00; diff = 1.925929944387235853055977942584927319e-34; -745/1000
Check failed for (fp128): alpha = -4.674689868541612338832413354319900021e+00; beta = -1.168672467135403084708103338579975005e+00; diff = 2.407412430484044816319972428231159148e-34; -744/1000
Check failed for (fp128): alpha = -4.662123497927253165878562780786782219e+00; beta = -1.165530874481813291469640695196695555e+00; diff = 1.925929944387235853055977942584927319e-34; -742/1000
Check failed for (fp128): alpha = -4.655840312620073579401637494020223318e+00; beta = -1.163960078155018394850409373505055830e+00; diff = 1.925929944387235853055977942584927319e-34; -741/1000
Check failed for (fp128): alpha = -4.630707571391355233493936346953987715e+00; beta = -1.157676892847838808373484086738496929e+00; diff = 1.925929944387235853055977942584927319e-34; -737/1000
Check failed for (fp128): alpha = -4.618141200776996060540085773420869143e+00; beta = -1.154535300194249015135021443355217286e+00; diff = 3.851859888774471706111955885169854637e-34; -735/1000
Check failed for (fp128): alpha = -4.605574830162636887586235199887751341e+00; beta = -1.151393707540659221896558799971937835e+00; diff = 3.851859888774471706111955885169854637e-34; -733/1000
Check failed for (fp128): alpha = -4.593008459548277714632384626354632769e+00; beta = -1.148252114887069428658096156588658192e+00; diff = 1.925929944387235853055977942584927319e-34; -731/1000
Check failed for (fp128): alpha = -4.586725274241098128155459339588073869e+00; beta = -1.146681318560274532038864834897018467e+00; diff = 1.925929944387235853055977942584927319e-34; -730/1000
Check failed for (fp128): alpha = -4.580442088933918541678534052821514968e+00; beta = -1.145110522233479635419633513205378742e+00; diff = 1.925929944387235853055977942584927319e-34; -729/1000
Check failed for (fp128): alpha = -4.574158903626738955201608766054956067e+00; beta = -1.143539725906684738800402191513739017e+00; diff = 1.925929944387235853055977942584927319e-34; -728/1000
Check failed for (fp128): alpha = -4.567875718319559368724683479288397166e+00; beta = -1.141968929579889842181170869822099292e+00; diff = 1.925929944387235853055977942584927319e-34; -727/1000
Check failed for (fp128): alpha = -4.561592533012379782247758192521837495e+00; beta = -1.140398133253094945561939548130459374e+00; diff = 2.888894916580853779583966913877390978e-34; -726/1000
Check failed for (fp128): alpha = -4.549026162398020609293907618988719693e+00; beta = -1.137256540599505152323476904747179923e+00; diff = 2.888894916580853779583966913877390978e-34; -724/1000
Check failed for (fp128): alpha = -4.536459791783661436340057045455601892e+00; beta = -1.134114947945915359085014261363900473e+00; diff = 3.851859888774471706111955885169854637e-34; -722/1000
Check failed for (fp128): alpha = -4.523893421169302263386206471922484090e+00; beta = -1.130973355292325565846551617980621022e+00; diff = 3.851859888774471706111955885169854637e-34; -720/1000
Check failed for (fp128): alpha = -4.511327050554943090432355898389366288e+00; beta = -1.127831762638735772608088974597341572e+00; diff = 3.851859888774471706111955885169854637e-34; -718/1000
Check failed for (fp128): alpha = -4.498760679940583917478505324856247716e+00; beta = -1.124690169985145979369626331214061929e+00; diff = 1.925929944387235853055977942584927319e-34; -716/1000
Check failed for (fp128): alpha = -4.492477494633404331001580038089688816e+00; beta = -1.123119373658351082750395009522422204e+00; diff = 1.925929944387235853055977942584927319e-34; -715/1000
