Check failed for (fp128): alpha = -4.674689868541612338832413354319900021e+00; diff1 = 7.538036533986907715278845481170112490e-02; diff2 = 4.212971753347078428559951749404528509e-34; -744/1000
Check failed for (fp128): alpha = -4.668406683234432752355488067553341120e+00; diff1 = 8.793623663572980785408347295358195529e-02; diff2 = 1.215743277394442632241586076256735370e-33; -743/1000
Check failed for (fp128): alpha = -4.662123497927253165878562780786782219e+00; diff1 = 1.004886363595391144285794205719855910e-01; diff2 = 4.634268928681786271415946924344981360e-34; -742/1000
Check failed for (fp128): alpha = -4.655840312620073579401637494020223318e+00; diff1 = 1.130370689640490518293635039568107634e-01; diff2 = 5.958345765448010920391931759872118892e-34; -741/1000
Check failed for (fp128): alpha = -4.649557127312893992924712207253664418e+00; diff1 = 1.255810390586267521523564491312624192e-01; diff2 = 4.574083617919685151007947613639202382e-34; -740/1000
Check failed for (fp128): alpha = -4.636990756698534819970861633720546616e+00; diff1 = 1.506536110558654443299760377880404218e-01; diff2 = 4.333342374871280669375950370816086467e-34; -738/1000
Check failed for (fp128): alpha = -4.618141200776996060540085773420869143e+00; diff1 = 1.882166266370286369465336977709522913e-01; diff2 = 3.009265538105056020399965535288948935e-34; -735/1000
Check failed for (fp128): alpha = -4.599291644855457301109309913121192441e+00; diff1 = 2.257127697469633742552149976079589534e-01; diff2 = 5.296307347064898595903939342108550126e-34; -732/1000
Check failed for (fp128): alpha = -4.586725274241098128155459339588073869e+00; diff1 = 2.506664671286084907462375196330186743e-01; diff2 = 4.333342374871280669375950370816086467e-34; -730/1000
Check failed for (fp128): alpha = -4.580442088933918541678534052821514968e+00; diff1 = 2.631287181845650071383585603709533251e-01; diff2 = 1.925929944387235853055977942584927319e-34; -729/1000
Check failed for (fp128): alpha = -4.574158903626738955201608766054956067e+00; diff1 = 2.755805813692761280385857582155132093e-01; diff2 = 1.925929944387235853055977942584927319e-34; -728/1000
Check failed for (fp128): alpha = -4.567875718319559368724683479288397166e+00; diff1 = 2.880215651045043258683198602970018703e-01; diff2 = 2.407412430484044816319972428231159148e-34; -727/1000
Check failed for (fp128): alpha = -4.561592533012379782247758192521837495e+00; diff1 = 3.004511782415141100334551500245128450e-01; diff2 = 2.166671187435640334687975185408043233e-34; -726/1000
Check failed for (fp128): alpha = -4.555309347705200195770832905755278594e+00; diff1 = 3.128689300804617380202106389343346942e-01; diff2 = 2.648153673532449297951969671054275063e-34; -725/1000
Check failed for (fp128): alpha = -4.542742977090841022816982332222160792e+00; diff1 = 3.376668894254677472639701039881386706e-01; diff2 = 2.888894916580853779583966913877390978e-34; -723/1000
Check failed for (fp128): alpha = -4.536459791783661436340057045455601892e+00; diff1 = 3.500461179505520951632042168488888671e-01; diff2 = 2.407412430484044816319972428231159148e-34; -722/1000
Check failed for (fp128): alpha = -4.523893421169302263386206471922484090e+00; diff1 = 3.747626291714492610851014688945832948e-01; diff2 = 2.166671187435640334687975185408043233e-34; -720/1000
Check failed for (fp128): alpha = -4.517610235862122676909281185155925189e+00; diff1 = 3.870989361017205240407168845510410486e-01; diff2 = 2.166671187435640334687975185408043233e-34; -719/1000
Check failed for (fp128): alpha = -4.505043865247763503955430611622807388e+00; diff1 = 4.117252175397626470866196933869756431e-01; diff2 = 2.648153673532449297951969671054275063e-34; -717/1000
Check failed for (fp128): alpha = -4.454778382790326812140028317490334640e+00; diff1 = 5.095414513667643444079887984827210613e-01; diff2 = 1.925929944387235853055977942584927319e-34; -709/1000
Check failed for (fp128): alpha = -4.442212012175967639186177743957216839e+00; diff1 = 5.338039786407511272904753248742439317e-01; diff2 = 2.407412430484044816319972428231159148e-34; -707/1000
Check failed for (fp128): alpha = -4.429645641561608466232327170424099037e+00; diff1 = 5.579822120784585037065017901168986071e-01; diff2 = 1.925929944387235853055977942584927319e-34; -705/1000
Check failed for (fp128): alpha = -1.897521962768235116031436603500819634e+00; diff1 = 6.418872196144189797735044111323730452e-01; diff2 = 1.925929944387235853055977942584927319e-34; -302/1000
Check failed for (fp128): alpha = -1.828406924389259664785258449068670762e+00; diff1 = 5.095414513667643444079887984827202910e-01; diff2 = 1.925929944387235853055977942584927319e-34; -291/1000
Check failed for (fp128): alpha = -1.796990997853361732400632015235875680e+00; diff1 = 4.485415218987623703448819930593393915e-01; diff2 = 1.925929944387235853055977942584927319e-34; -286/1000
Check failed for (fp128): alpha = -1.765575071317463800016005581403080598e+00; diff1 = 3.870989361017205240407168845510410486e-01; diff2 = 2.166671187435640334687975185408043233e-34; -281/1000
Check failed for (fp128): alpha = -1.759291886010284213539080294636521698e+00; diff1 = 3.747626291714492610851014688945832948e-01; diff2 = 1.925929944387235853055977942584927319e-34; -280/1000
Check failed for (fp128): alpha = -1.753008700703104627062155007869962604e+00; diff1 = 3.624115272542747127394331963240159273e-01; diff2 = 2.648153673532449297951969671054275063e-34; -279/1000
Check failed for (fp128): alpha = -1.740442330088745454108304434336844417e+00; diff1 = 3.376668894254677472639701039881375632e-01; diff2 = 2.407412430484044816319972428231159148e-34; -277/1000
Check failed for (fp128): alpha = -1.727875959474386281154453860803726616e+00; diff1 = 3.128689300804617380202106389343341165e-01; diff2 = 2.888894916580853779583966913877390978e-34; -275/1000
Check failed for (fp128): alpha = -1.721592774167206694677528574037167522e+00; diff1 = 3.004511782415141100334551500245114969e-01; diff2 = 3.129636159629258261215964156700506893e-34; -274/1000
Check failed for (fp128): alpha = -1.715309588860027108200603287270608621e+00; diff1 = 2.880215651045043258683198602970019185e-01; diff2 = 2.648153673532449297951969671054275063e-34; -273/1000
Check failed for (fp128): alpha = -1.690176847631308762292902140204372440e+00; diff1 = 2.381943201897394763244893679130948584e-01; diff2 = 3.370377402677662742847961399523622807e-34; -269/1000
Check failed for (fp128): alpha = -1.677610477016949589339051566671254639e+00; diff1 = 2.132223085505198277946445558347221861e-01; diff2 = 2.768524295056651538767968292465833020e-34; -267/1000
Check failed for (fp128): alpha = -1.665044106402590416385200993138136644e+00; diff1 = 1.882166266370286369465336977709522913e-01; diff2 = 2.888894916580853779583966913877390978e-34; -265/1000
Check failed for (fp128): alpha = -1.658760921095410829908275706371577358e+00; diff1 = 1.757023931014863517045574886959594334e-01; diff2 = 4.333342374871280669375950370816086467e-34; -264/1000
Check failed for (fp128): alpha = -1.652477735788231243431350419605018458e+00; diff1 = 1.631812231363151048563158314529219101e-01; diff2 = 3.972230510298673946927954506581412594e-34; -263/1000
Check failed for (fp128): alpha = -1.633628179866692484000574559305341563e+00; diff1 = 1.255810390586267521523564491312626358e-01; diff2 = 2.527783052008247057135971049642717106e-34; -260/1000
Check failed for (fp128): alpha = -1.627344994559512897523649272538782277e+00; diff1 = 1.130370689640490518293635039568105949e-01; diff2 = 7.703719777548943412223911770339709274e-34; -259/1000
