Check failed for (fp64): alpha = -5.29044202864521; diff1 = 1.11022302462516e-16; diff2 = 1.3047786357261; -842/1000
Check failed for (fp64): alpha = -5.28415884333803; diff1 = 1.11022302462516e-16; diff2 = 1.28693676971692; -841/1000
Check failed for (fp64): alpha = -5.27787565803085; diff1 = 1.11022302462516e-16; diff2 = 1.26923859508829; -840/1000
Check failed for (fp64): alpha = -5.27159247272367; diff1 = 2.22044604925031e-16; diff2 = 1.25168100223735; -839/1000
Check failed for (fp64): alpha = -5.26530928741649; diff1 = 1.11022302462516e-16; diff2 = 1.23426095279428; -838/1000
Check failed for (fp64): alpha = -5.25902610210931; diff1 = 1.11022302462516e-16; diff2 = 1.21697547736151; -837/1000
Check failed for (fp64): alpha = -5.25274291680213; diff1 = 2.22044604925031e-16; diff2 = 1.19982167333427; -836/1000
Check failed for (fp64): alpha = -5.24645973149495; diff1 = 3.33066907387547e-16; diff2 = 1.18279670279894; -835/1000
Check failed for (fp64): alpha = -5.23389336088059; diff1 = 1.11022302462516e-16; diff2 = 1.14912222191436; -833/1000
Check failed for (fp64): alpha = -5.22132699026624; diff1 = 1.11022302462516e-16; diff2 = 1.11593054995451; -831/1000
Check failed for (fp64): alpha = -5.16477832250162; diff1 = 1.11022302462516e-16; diff2 = 0.972010705718401; -822/1000
Check failed for (fp64): alpha = -5.15849513719444; diff1 = 1.66533453693773e-16; diff2 = 0.956523232942307; -821/1000
Check failed for (fp64): alpha = -5.14592876658008; diff1 = 1.66533453693773e-16; diff2 = 0.925824657815429; -819/1000
Check failed for (fp64): alpha = -5.1396455812729; diff1 = 1.11022302462516e-16; diff2 = 0.910609520958097; -818/1000
Check failed for (fp64): alpha = -5.12079602535136; diff1 = 1.11022302462516e-16; diff2 = 0.86547728449485; -815/1000
Check failed for (fp64): alpha = -5.11451284004418; diff1 = 1.11022302462516e-16; diff2 = 0.850597961714745; -814/1000
Check failed for (fp64): alpha = -5.108229654737; diff1 = 1.66533453693773e-16; diff2 = 0.835797950054696; -813/1000
Check failed for (fp64): alpha = -5.10194646942982; diff1 = 1.11022302462516e-16; diff2 = 0.82107545773693; -812/1000
Check failed for (fp64): alpha = -5.09566328412264; diff1 = 1.11022302462516e-16; diff2 = 0.806428723883492; -811/1000
Check failed for (fp64): alpha = -5.08938009881547; diff1 = 2.22044604925031e-16; diff2 = 0.791856017595443; -810/1000
Check failed for (fp64): alpha = -5.07681372820111; diff1 = 1.66533453693773e-16; diff2 = 0.76292590867654; -808/1000
Check failed for (fp64): alpha = -5.07053054289393; diff1 = 1.66533453693773e-16; diff2 = 0.748565186224845; -807/1000
Check failed for (fp64): alpha = -5.06424735758675; diff1 = 1.11022302462516e-16; diff2 = 0.734271850033969; -806/1000
Check failed for (fp64): alpha = -5.05796417227957; diff1 = 2.22044604925031e-16; diff2 = 0.720044306191514; -805/1000
Check failed for (fp64): alpha = -5.05168098697239; diff1 = 2.22044604925031e-16; diff2 = 0.705880985768025; -804/1000
Check failed for (fp64): alpha = -5.03911461635803; diff1 = 1.11022302462516e-16; diff2 = 0.677740859876188; -802/1000
Check failed for (fp64): alpha = -5.02026506043649; diff1 = 1.11022302462516e-16; diff2 = 0.635974477999319; -799/1000
Check failed for (fp64): alpha = -5.00769868982213; diff1 = 1.11022302462516e-16; diff2 = 0.608409116105663; -797/1000
Check failed for (fp64): alpha = -5.00141550451495; diff1 = 1.66533453693773e-16; diff2 = 0.594705860076823; -796/1000
Check failed for (fp64): alpha = -4.98256594859341; diff1 = 1.11022302462516e-16; diff2 = 0.55389733661822; -793/1000
Check failed for (fp64): alpha = -4.95115002205751; diff1 = 1.11022302462516e-16; diff2 = 0.486807890298687; -788/1000
Check failed for (fp64): alpha = -4.94486683675034; diff1 = 3.60822483003176e-16; diff2 = 0.473517170310053; -787/1000
Check failed for (fp64): alpha = -4.93858365144315; diff1 = 2.4980018054066e-16; diff2 = 0.460265934602907; -786/1000
Check failed for (fp64): alpha = -4.9260172808288; diff1 = 1.94289029309402e-16; diff2 = 0.433877059548358; -784/1000
Check failed for (fp64): alpha = -4.91973409552162; diff1 = 2.22044604925031e-16; diff2 = 0.420737024113057; -783/1000
Check failed for (fp64): alpha = -4.91345091021444; diff1 = 3.60822483003176e-16; diff2 = 0.40763167986624; -782/1000
Check failed for (fp64): alpha = -4.90716772490726; diff1 = 2.4980018054066e-16; diff2 = 0.394559858870595; -781/1000
Check failed for (fp64): alpha = -4.90088453960008; diff1 = 1.66533453693773e-16; diff2 = 0.381520404437133; -780/1000
Check failed for (fp64): alpha = -4.8946013542929; diff1 = 1.38777878078145e-16; diff2 = 0.368512170696888; -779/1000
