Check failed for (fp32): alpha = -4.882035; diff1 = 1.043081e-07; diff2 = 0.3425853; -777/1000
Check failed for (fp32): alpha = -4.875752; diff1 = 8.940697e-08; diff2 = 0.3296638; -776/1000
Check failed for (fp32): alpha = -4.869469; diff1 = 1.788139e-07; diff2 = 0.3167692; -775/1000
Check failed for (fp32): alpha = -4.863185; diff1 = 1.043081e-07; diff2 = 0.3038998; -774/1000
Check failed for (fp32): alpha = -4.856903; diff1 = 1.788139e-07; diff2 = 0.2910564; -773/1000
Check failed for (fp32): alpha = -4.844336; diff1 = 1.192093e-07; diff2 = 0.2654362; -771/1000
Check failed for (fp32): alpha = -4.838053; diff1 = 1.937151e-07; diff2 = 0.2526587; -770/1000
Check failed for (fp32): alpha = -4.825487; diff1 = 9.685755e-08; diff2 = 0.2271647; -768/1000
Check failed for (fp32): alpha = -4.819203; diff1 = 2.011657e-07; diff2 = 0.2144448; -767/1000
Check failed for (fp32): alpha = -4.81292; diff1 = 1.639128e-07; diff2 = 0.2017422; -766/1000
Check failed for (fp32): alpha = -4.806637; diff1 = 1.639128e-07; diff2 = 0.1890559; -765/1000
Check failed for (fp32): alpha = -4.800354; diff1 = 2.086163e-07; diff2 = 0.1763841; -764/1000
Check failed for (fp32): alpha = -4.794071; diff1 = 2.533197e-07; diff2 = 0.163728; -763/1000
Check failed for (fp32): alpha = -4.787787; diff1 = 1.341105e-07; diff2 = 0.1510835; -762/1000
Check failed for (fp32): alpha = -4.781504; diff1 = 1.41561e-07; diff2 = 0.138451; -761/1000
Check failed for (fp32): alpha = -4.775221; diff1 = 1.117587e-07; diff2 = 0.1258295; -760/1000
Check failed for (fp32): alpha = -4.768938; diff1 = 5.811453e-07; diff2 = 0.1132173; -759/1000
Check failed for (fp32): alpha = -4.762655; diff1 = 3.091991e-07; diff2 = 0.1006167; -758/1000
Check failed for (fp32): alpha = -4.750088; diff1 = 7.711351e-07; diff2 = 0.07543498; -756/1000
Check failed for (fp32): alpha = -4.743805; diff1 = 9.275973e-07; diff2 = 0.0628535; -755/1000
Check failed for (fp32): alpha = -4.737522; diff1 = 5.755574e-07; diff2 = 0.05027745; -754/1000
Check failed for (fp32): alpha = -4.731239; diff1 = 7.450581e-07; diff2 = 0.03770493; -753/1000
Check failed for (fp32): alpha = -4.724956; diff1 = 1.660548e-06; diff2 = 0.02513614; -752/1000
Check failed for (fp32): alpha = -4.718672; diff1 = 1.671724e-06; diff2 = 0.01256508; -751/1000
Check failed for (fp32): alpha = -4.706106; diff1 = 0.01256458; diff2 = 1.171138e-06; -749/1000
Check failed for (fp32): alpha = -4.699823; diff1 = 0.02513564; diff2 = 2.160668e-06; -748/1000
Check failed for (fp32): alpha = -4.69354; diff1 = 0.03770127; diff2 = 1.916662e-06; -747/1000
Check failed for (fp32): alpha = -4.687256; diff1 = 0.05027458; diff2 = 1.298264e-06; -746/1000
Check failed for (fp32): alpha = -4.680973; diff1 = 0.06285349; diff2 = 9.49949e-07; -745/1000
Check failed for (fp32): alpha = -4.67469; diff1 = 0.07543289; diff2 = 3.129244e-07; -744/1000
Check failed for (fp32): alpha = -4.662124; diff1 = 0.100615; diff2 = 3.762543e-07; -742/1000
Check failed for (fp32): alpha = -4.65584; diff1 = 0.1132173; diff2 = 5.550683e-07; -741/1000
Check failed for (fp32): alpha = -4.649557; diff1 = 0.1258295; diff2 = 1.41561e-07; -740/1000
Check failed for (fp32): alpha = -4.643274; diff1 = 0.1384496; diff2 = 2.235174e-07; -739/1000
Check failed for (fp32): alpha = -4.636991; diff1 = 0.1510834; diff2 = 1.564622e-07; -738/1000
Check failed for (fp32): alpha = -4.624424; diff1 = 0.176384; diff2 = 1.862645e-07; -736/1000
